	MG1655-1	23BD2-4_1	23BD4-3_1	23BD6-1_1	23BD7-4_1	metJ-1	relA-1	purT-1	MG1655-2	23BD2-4_2	23BD4-3_2	23BD6-1_2	23BD7-4_2	metJ-2	relA-2	purT-2	MG1655-3	23BD2-4_3	23BD4-3_3	23BD6-1_3	23BD7-4_3	metJ-3	relA-3	purT-3	fabR-1	clsA-1	yfgF-1	treA-1	acrB-1	metJ-lg-1	metJ-sm-1	fabR-2	clsA-2	yfgF-2	treA-2	acrB-2	metJ-lg-2	metJ-sm-2	fabR-3	clsA-3	yfgF-3	treA-3	acrB-3	metJ-lg-3	metJ-sm-3
12.00561	0.565	11.693	6.053	8.917	26.879	3.291	0.861	1.295	0.429	11.523	6.033	9.233	25.318	2.872	0.922	0.858	0.249	8.738	6.923	7.974	25.991	2.479	0.629	1.065	0.226	0.379	0.818	0.679	0.834	1.305	1.473	0.433	0.317	0.528	0.725	0.791	1.04	1.824	0.396	0.52	0.724	0.505	0.802	0.937	1.475
12.17236	0.66	12.076	6.321	9.358	27.7	3.331	0.868	1.501	0.304	11.884	6.302	9.59	27.074	2.969	0.937	0.954	0.265	9.549	7.277	8.753	25.789	2.321	0.671	1.249	0.296	0.475	0.943	0.774	0.845	1.261	1.573	0.585	0.413	0.511	0.679	0.575	1.053	1.779	0.293	0.818	0.763	0.63	0.813	0.863	1.315
12.33902	0.44	12.426	6.13	10.362	27.633	3.423	0.873	1.421	0.314	13.146	6.908	10.084	27.461	3.233	0.947	0.819	0.332	10.043	7.514	9.217	27.367	2.583	0.651	1.287	0.418	0.483	0.866	0.809	0.682	1.326	1.612	0.45	0.42	0.546	0.573	0.724	0.977	1.929	0.301	0.403	0.77	0.553	0.821	1.126	1.578
12.50583	0.575	12.501	6.604	10.833	29.033	3.444	0.981	1.416	0.389	13.33	6.416	11.377	28.294	2.884	0.994	0.869	0.237	10.826	8.327	10.03	28.087	2.519	0.671	1.277	0.296	0.447	0.943	0.717	0.845	1.233	1.658	0.443	0.413	0.624	0.736	0.802	1.082	1.921	0.237	0.62	0.735	0.63	0.813	1.118	1.429
12.67246	0.773	13.252	6.922	11.76	30.359	3.559	0.887	1.492	0.404	14.041	6.853	12.192	29.789	3.343	0.949	0.925	0.365	11.5	8.536	10.439	29.21	2.606	0.705	1.286	0.415	0.477	1.031	0.744	0.817	1.21	1.642	0.528	0.412	0.71	0.68	0.773	1.174	2.037	0.352	0.602	0.707	0.549	0.73	1.034	1.6
12.83907	0.617	14.388	7.173	12.287	32.163	3.565	0.95	1.441	0.318	14.425	7.031	12.94	31.541	3.255	0.844	0.852	0.337	11.283	8.914	11.436	29.809	2.866	0.587	1.218	0.241	0.343	0.978	0.758	0.741	1.404	1.678	0.398	0.424	0.577	0.462	0.841	1.109	1.956	0.188	0.811	0.774	0.493	0.849	1.043	1.438
13.00585	0.66	15.168	7.37	13.443	31.501	3.955	0.896	1.558	0.219	15.287	7.153	13.448	31.613	3.451	0.909	0.869	0.52	12.017	8.922	12.327	29.931	2.859	0.642	1.192	0.296	0.447	1.085	0.802	0.873	1.318	1.857	0.5	0.413	0.624	0.736	0.83	1.167	2.034	0.293	0.563	0.621	0.63	0.898	1.289	1.684
13.1724	0.637	15.384	7.51	14.617	31.629	3.588	0.879	1.455	0.237	15.631	7.826	14.762	30.58	3.563	0.959	0.844	0.284	12.397	9.057	12.686	30.403	2.832	0.471	1.16	0.294	0.421	1.058	0.835	0.989	1.288	1.878	0.475	0.36	0.57	0.569	0.777	1.221	2.092	0.267	0.274	0.653	0.432	0.702	1.008	1.46
13.33918	0.649	15.281	7.846	15.036	32.687	4.087	0.993	1.684	0.387	15.78	8.144	15.354	33.338	3.785	1.048	0.971	0.349	13.61	9.629	13.774	32.05	3.049	0.663	1.386	0.43	0.551	0.963	0.819	1.034	1.282	1.883	0.46	0.345	0.472	0.584	0.848	1.274	2.025	0.341	0.588	0.639	0.565	0.832	1.194	1.759
13.50585	0.744	16.349	8.684	16.192	33.115	4.07	0.887	1.492	0.233	16.485	7.847	16.681	32.175	3.968	0.807	0.925	0.223	13.972	9.786	14.36	32.023	2.947	0.676	1.399	0.443	0.505	1.06	0.886	0.988	1.38	1.955	0.528	0.412	0.483	0.623	0.859	1.202	2.151	0.352	0.688	0.763	0.577	0.844	1.233	1.714
13.67249	0.748	16.383	8.319	17.108	33.183	4.245	0.918	1.665	0.523	17.317	8.421	17.143	34.26	4.001	1.039	0.9	0.285	13.751	9.99	15.758	30.811	3.235	0.681	1.29	0.334	0.48	1.035	0.833	0.792	1.498	2.074	0.531	0.444	0.657	0.712	0.919	1.292	2.211	0.356	0.778	0.767	0.496	0.904	1.322	1.774
13.83917	0.734	16.615	8.471	18.415	36.236	4.258	0.965	1.57	0.331	17.029	8.627	18.335	33.877	4.04	0.934	0.829	0.292	14.15	10.225	16.642	33.214	3.276	0.692	1.386	0.402	0.551	1.133	1.046	0.892	1.424	2.138	0.517	0.43	0.614	0.754	0.933	1.359	2.111	0.341	0.758	0.753	0.622	0.747	1.307	1.788
14.00589	0.677	17.495	8.897	19.465	34.419	4.57	0.965	1.655	0.416	17.938	9.393	19.102	32.912	4.296	1.104	0.971	0.292	14.547	10.651	16.557	32.505	3.305	0.692	1.386	0.487	0.551	1.133	0.876	1.034	1.453	2.223	0.517	0.515	0.699	0.84	0.905	1.331	2.224	0.255	0.559	0.923	0.451	0.917	1.279	1.788
14.17249	0.727	17.058	8.717	20.074	34.312	4.505	0.818	1.764	0.32	18.035	9.042	20.392	34.282	4.315	0.867	0.879	0.366	14.959	10.498	17.963	33.45	3.439	0.57	1.32	0.422	0.487	1.097	0.812	1.111	1.558	2.213	0.51	0.338	0.635	0.832	0.898	1.35	2.387	0.305	0.578	0.689	0.642	0.91	1.186	1.922
14.33915	0.622	18.468	8.973	21.106	34.334	4.68	0.946	1.72	0.344	18.496	9.179	21.847	33.964	4.544	0.922	0.943	0.391	15.456	11.147	19.114	32.68	3.585	0.629	1.349	0.481	0.351	1.073	0.849	0.919	1.532	2.097	0.433	0.374	0.585	0.725	0.876	1.409	2.448	0.311	0.634	0.724	0.533	0.802	1.419	1.843
14.50582	0.662	18.77	9.228	22.99	35.655	4.813	1.003	1.58	0.324	19.107	9.472	22.486	36.107	4.626	0.982	0.843	0.37	15.627	11.383	20.646	34.619	3.633	0.681	1.404	0.533	0.423	1.121	0.89	1.134	1.555	2.329	0.588	0.444	0.799	0.797	0.947	1.548	2.41	0.413	0.579	0.71	0.581	0.819	1.322	2.03
14.67255	0.701	18.078	9.214	22.39	35.034	5.138	0.925	1.872	0.34	20.213	9.346	23.108	35.628	4.639	0.969	0.938	0.415	16.331	11.115	20.44	34.365	3.816	0.693	1.418	0.432	0.491	1.047	0.928	1.173	1.682	2.317	0.684	0.455	0.725	0.808	0.958	1.476	2.564	0.452	0.793	0.863	0.678	0.916	1.504	2.127
14.83926	0.762	18.518	8.982	23.724	35.555	5.223	0.908	1.769	0.501	20.039	9.649	24.61	33.82	4.864	1.104	0.914	0.434	16.28	10.992	21.696	32.732	3.929	0.663	1.471	0.43	0.551	1.105	0.819	1.204	1.737	2.394	0.46	0.402	0.784	0.754	0.905	1.445	2.536	0.312	0.588	0.866	0.565	0.974	1.392	2.043
15.00584	0.809	19.407	9.252	25.146	36.317	5.182	0.986	1.648	0.456	19.275	9.433	25.662	36.201	5.02	0.919	0.875	0.446	16.854	11.429	23.064	33.61	3.974	0.679	1.485	0.389	0.454	1.207	0.809	1.278	1.695	2.548	0.592	0.391	0.603	0.687	0.923	1.488	2.61	0.471	0.63	0.77	0.553	0.963	1.381	2.032
15.17263	0.725	19.27	9.639	26.125	36.059	5.263	0.967	1.741	0.441	20.143	9.956	26.554	36.114	5.154	1.077	0.961	0.46	17.134	10.876	24.731	33.755	4.224	0.702	1.533	0.525	0.453	1.232	0.924	1.248	1.689	2.506	0.564	0.392	0.687	0.827	1.206	1.48	2.691	0.441	0.931	0.827	0.662	0.847	1.408	2.257
15.33919	0.717	19.309	9.696	27.483	37.089	5.259	0.953	1.785	0.531	19.854	9.706	27.006	34.648	4.926	1.022	0.897	0.492	16.867	11.475	25.347	35.32	4.306	0.671	1.476	0.551	0.475	1.284	0.944	1.129	1.601	2.821	0.642	0.469	0.709	0.849	0.972	1.677	2.687	0.407	0.648	0.735	0.687	0.898	1.544	2.28
15.5059	0.704	19.198	9.592	28.155	36.789	5.385	1.0	1.831	0.367	20.415	10.222	28.018	34.606	5.532	0.974	0.883	0.385	17.773	10.971	25.796	35.448	4.233	0.625	1.542	0.449	0.461	1.154	0.874	1.029	1.783	2.687	0.628	0.37	0.694	0.92	0.986	1.546	2.529	0.392	0.515	0.749	0.529	0.798	1.586	2.151
15.67271	0.762	19.455	9.692	29.744	37.23	5.734	0.88	1.769	0.501	20.692	9.933	29.437	35.297	5.744	1.104	0.886	0.519	17.075	11.02	26.807	34.719	4.526	0.749	1.641	0.487	0.551	1.304	0.876	1.317	1.879	2.649	0.744	0.402	0.699	0.698	1.104	1.672	2.991	0.397	0.417	0.781	0.537	0.804	1.477	2.214
15.83932	0.697	19.493	9.749	30.711	38.292	5.617	0.98	1.784	0.42	21.313	10.109	29.667	36.754	5.744	1.078	0.906	0.466	17.261	11.195	27.739	34.099	4.437	0.632	1.584	0.513	0.516	1.157	0.982	1.255	1.82	3.051	0.68	0.337	0.721	0.805	1.011	1.529	3.015	0.449	0.702	0.774	0.731	0.94	1.727	2.663
16.00607	0.697	18.562	10.007	31.253	38.523	5.716	0.882	2.025	0.498	21.191	10.041	31.426	36.143	6.146	0.992	0.848	0.403	17.814	11.385	28.272	35.739	4.536	0.787	1.59	0.61	0.51	1.317	0.867	1.276	2.086	2.846	0.706	0.448	0.602	0.884	1.064	1.792	2.946	0.441	0.534	0.883	0.606	0.876	1.493	2.512
16.1727	0.691	20.162	9.654	32.908	37.985	5.921	1.003	1.864	0.494	20.556	9.955	31.579	36.902	5.933	1.068	0.9	0.455	18.383	11.298	28.915	35.073	4.685	0.681	1.603	0.504	0.509	1.376	0.975	1.162	2.01	3.04	0.616	0.359	0.629	1.025	1.033	1.775	3.007	0.413	0.607	0.937	0.581	0.904	1.549	2.4
16.33932	0.775	19.703	9.778	33.275	39.272	5.955	0.937	1.999	0.453	20.626	10.313	33.141	35.596	5.886	0.937	0.927	0.442	18.644	11.569	29.955	37.491	4.633	0.743	1.555	0.71	0.453	1.408	1.002	1.277	1.874	3.14	0.787	0.387	0.829	0.884	1.033	1.84	3.125	0.357	0.647	0.796	0.756	0.878	1.75	2.402
16.50609	0.871	20.609	10.124	34.275	40.493	6.247	0.84	1.9	0.369	21.634	10.114	33.259	37.021	6.118	1.054	0.91	0.415	18.321	11.712	30.677	35.076	4.726	0.637	1.589	0.546	0.491	1.332	0.985	1.258	2.08	3.198	0.627	0.426	0.725	0.951	1.129	1.874	3.19	0.623	0.764	0.891	0.565	0.916	1.504	2.639
16.67277	0.744	20.326	9.82	34.489	40.502	6.571	0.972	1.975	0.489	21.286	10.717	34.581	37.232	6.127	1.063	0.925	0.393	18.034	11.775	32.089	36.455	5.135	0.79	1.769	0.614	0.477	1.401	1.0	1.329	1.92	3.262	0.869	0.526	0.71	0.936	1.086	1.941	3.315	0.352	0.688	0.792	0.549	0.844	1.659	2.538
16.83943	0.679	20.395	10.361	35.975	40.915	6.426	0.987	2.133	0.465	21.339	10.837	35.243	37.868	6.469	1.064	0.945	0.482	18.849	12.434	32.26	37.43	4.905	0.702	1.769	0.526	0.527	1.567	1.106	1.323	2.089	3.38	0.805	0.376	0.818	0.816	1.278	1.912	3.426	0.517	0.632	0.899	0.601	1.094	1.653	2.845
17.00609	0.851	20.483	10.322	35.717	39.399	6.761	0.882	2.141	0.563	21.836	10.591	36.575	37.665	6.714	1.024	0.889	0.524	18.644	12.9	33.489	36.604	5.382	0.753	1.589	0.747	0.498	1.478	0.993	1.406	1.968	3.45	0.691	0.405	0.788	0.928	1.164	2.046	3.25	0.43	0.507	0.927	0.626	1.063	1.652	2.729
17.17266	0.758	20.694	10.55	36.948	40.152	6.759	0.982	1.957	0.539	22.231	11.252	36.529	39.068	6.886	1.083	0.853	0.415	19.288	12.963	33.094	37.977	5.607	0.722	1.844	0.517	0.52	1.559	1.014	1.315	2.25	3.454	0.769	0.426	0.981	0.894	1.214	1.732	3.446	0.452	0.849	0.891	0.678	0.944	1.93	3.179
17.3395	0.812	21.116	11.187	35.429	41.635	7.003	0.989	2.019	0.632	21.866	11.454	35.974	39.135	6.841	1.179	1.049	0.536	19.188	12.996	33.942	38.871	5.653	0.768	1.632	0.592	0.487	1.267	1.068	1.395	2.296	3.746	0.595	0.395	0.805	0.861	1.153	2.003	3.38	0.418	0.663	0.859	0.443	0.995	1.64	3.114
17.50602	0.807	20.934	11.435	34.595	42.814	7.127	0.997	2.314	0.572	23.254	12.426	34.518	38.055	7.314	1.084	0.874	0.504	19.762	13.881	34.519	39.524	5.862	0.833	1.873	0.628	0.599	1.526	1.091	1.509	2.306	3.658	0.733	0.39	0.747	0.888	1.236	2.016	3.613	0.447	0.908	0.913	0.674	1.28	1.839	3.032
17.67281	0.809	21.024	11.806	34.454	42.531	7.084	0.986	2.215	0.456	22.453	12.101	34.601	40.004	7.205	1.032	0.961	0.446	19.606	14.778	35.493	38.803	5.96	0.821	1.655	0.503	0.483	1.547	0.979	1.448	2.319	3.825	0.819	0.391	0.716	0.999	1.263	2.084	3.461	0.471	0.743	0.827	0.638	0.963	1.807	2.883
17.83941	0.904	21.783	12.872	33.634	42.738	7.182	1.079	2.053	0.643	22.85	13.51	34.804	39.669	7.561	1.048	0.999	0.462	19.403	15.08	35.041	38.638	6.059	0.749	1.755	0.601	0.494	1.559	1.046	1.403	2.163	3.7	0.744	0.402	0.869	1.038	1.246	2.296	3.757	0.341	0.588	0.923	0.65	1.145	1.875	3.037
18.00615	0.687	22.457	12.746	33.523	42.321	7.395	1.029	2.203	0.489	23.133	13.671	34.325	37.801	7.15	1.119	0.981	0.478	20.705	15.866	34.873	38.529	5.845	0.705	1.769	0.443	0.59	1.571	1.17	1.556	2.233	3.802	0.67	0.412	0.824	0.936	1.2	2.026	3.77	0.409	0.574	0.792	0.577	0.9	1.744	3.049
18.17282	0.793	22.841	13.121	33.102	43.049	7.564	1.044	2.247	0.607	23.359	13.994	33.11	40.826	7.521	1.007	0.917	0.482	20.157	16.246	33.824	41.1	6.271	0.73	1.769	0.526	0.499	1.652	1.248	1.579	2.288	4.062	0.719	0.376	0.931	0.987	1.278	1.997	3.71	0.431	0.689	0.813	0.601	1.037	1.824	3.158
18.33935	0.679	24.15	13.291	32.533	42.394	7.422	1.044	2.048	0.522	23.956	14.336	32.313	40.343	7.721	1.15	0.86	0.482	20.555	17.014	33.028	39.962	6.441	0.816	1.797	0.611	0.499	1.482	1.163	1.664	2.515	4.005	0.805	0.376	0.818	0.873	1.307	2.168	3.881	0.431	0.632	0.87	0.601	1.037	1.853	3.158
18.50615	0.778	24.208	14.566	32.887	43.155	8.01	0.997	2.229	0.629	25.047	14.817	31.928	40.077	7.741	1.084	0.845	0.504	20.417	17.667	33.01	39.922	6.118	0.748	1.873	0.543	0.599	1.526	1.177	1.509	2.391	4.255	0.819	0.447	0.69	1.058	1.207	2.016	3.784	0.361	0.708	0.828	0.703	0.967	1.925	3.26
18.67282	0.795	24.131	15.394	32.084	42.79	7.634	1.038	2.242	0.429	25.666	15.706	33.775	39.622	8.194	1.024	0.977	0.56	21.427	18.243	32.575	39.752	6.426	0.769	1.925	0.565	0.561	1.604	1.109	1.471	2.414	4.198	0.808	0.408	0.851	0.935	1.254	2.125	3.891	0.494	0.648	1.017	0.609	0.872	1.859	3.508
18.83959	0.884	25.478	16.084	32.607	42.518	8.038	1.011	2.273	0.434	25.989	16.596	32.645	40.603	8.285	1.058	0.895	0.48	22.376	18.906	32.1	39.82	6.773	0.859	1.844	0.654	0.536	1.693	1.112	1.702	2.589	4.375	0.812	0.412	0.883	1.109	1.258	2.272	4.18	0.469	0.681	0.935	0.699	1.218	1.862	3.427
19.00615	0.909	25.727	16.562	31.542	43.161	7.777	0.952	2.185	0.657	26.236	17.017	33.29	40.791	8.479	1.138	0.948	0.702	22.653	19.611	31.834	41.063	6.939	0.684	1.669	0.65	0.532	1.547	1.194	1.556	2.585	4.369	0.723	0.408	0.937	1.02	1.397	2.267	4.233	0.466	0.847	0.903	0.552	1.043	1.944	3.366
19.17291	0.775	25.88	17.322	32.649	43.968	8.318	1.023	2.255	0.652	28.197	17.885	32.914	40.976	8.277	1.279	1.013	0.527	21.918	21.731	32.118	40.082	6.854	0.829	1.868	0.653	0.624	1.665	1.173	1.533	2.557	4.534	0.73	0.529	0.857	0.912	1.289	2.267	4.32	0.528	0.561	0.881	0.67	1.105	2.006	3.683
19.33957	0.775	26.591	18.432	33.247	43.257	8.204	1.051	2.255	0.481	27.144	19.422	33.312	41.744	8.447	1.279	0.956	0.584	22.345	22.187	33.086	41.078	7.167	0.743	1.897	0.624	0.51	1.408	1.202	1.533	2.871	4.762	0.815	0.444	0.943	0.827	1.403	2.182	4.32	0.3	0.703	0.881	0.613	0.935	2.092	3.597
19.50628	0.933	27.294	19.46	32.583	44.39	8.437	1.026	2.432	0.724	28.018	20.491	32.794	40.76	8.773	1.402	1.058	0.769	22.799	22.545	33.128	41.373	7.172	0.856	1.844	0.68	0.558	1.746	1.161	1.64	2.788	4.865	0.776	0.49	0.906	1.018	1.251	2.5	4.349	0.492	0.711	1.128	0.666	1.156	2.085	3.822
19.67289	0.899	27.242	19.733	32.594	44.291	8.475	1.116	2.32	0.669	28.741	22.378	32.404	41.068	8.805	1.18	1.052	0.515	24.165	23.748	32.916	41.626	7.523	0.842	1.882	0.666	0.606	1.705	1.212	1.63	2.799	4.95	0.797	0.398	0.783	1.066	1.329	2.595	4.22	0.483	0.975	0.977	0.711	1.202	2.189	3.695
19.8395	0.796	27.201	20.865	32.629	42.691	8.565	1.018	2.306	0.613	28.547	21.512	33.575	41.464	8.864	1.098	0.863	0.573	24.205	24.077	32.696	40.656	7.271	0.82	1.944	0.729	0.531	1.514	1.195	1.668	2.804	5.121	0.865	0.437	0.85	1.132	1.282	2.343	4.482	0.464	0.694	0.988	0.747	1.041	2.283	4.187
20.0063	0.878	28.303	20.631	32.504	44.386	8.987	1.044	2.332	0.522	29.39	23.097	33.479	41.794	9.114	1.15	0.945	0.767	24.822	25.15	33.398	42.237	7.579	0.702	1.854	0.554	0.499	1.596	1.277	1.522	2.8	4.745	0.691	0.519	0.846	0.987	1.193	2.31	4.45	0.46	0.689	1.069	0.658	1.009	2.251	3.727
20.17297	0.882	28.311	21.463	33.112	43.317	9.276	1.046	2.249	0.698	29.856	22.593	33.49	41.293	8.75	1.155	0.949	0.687	24.831	25.102	33.749	41.026	7.499	0.82	2.2	0.559	0.588	1.571	1.195	1.611	2.861	5.007	0.78	0.465	0.907	0.99	1.453	2.4	4.482	0.464	0.864	0.902	0.662	0.955	2.34	3.845
20.33958	0.85	29.327	22.878	33.813	43.646	8.844	1.101	2.332	0.607	30.471	24.577	34.105	41.907	9.143	1.235	1.088	0.681	25.619	25.719	34.137	41.384	8.006	0.901	2.025	0.611	0.499	1.51	1.163	1.493	2.971	5.115	0.861	0.348	1.074	0.901	1.307	2.566	4.649	0.545	0.859	0.899	0.658	1.094	2.251	4.012
20.50631	1.052	30.189	24.052	34.478	44.455	9.248	1.018	2.306	0.641	31.335	24.358	34.628	43.058	9.034	1.098	1.091	0.431	26.368	25.244	33.977	41.367	7.84	0.792	1.944	0.644	0.502	1.571	1.109	1.611	2.947	5.348	0.694	0.437	0.821	0.962	1.396	2.599	4.909	0.464	0.779	0.988	0.776	1.041	2.084	4.187
20.67299	0.778	31.268	24.075	34.709	44.066	9.092	1.025	2.229	0.743	32.678	26.262	34.433	42.724	9.762	1.198	0.931	0.589	25.827	25.383	35.43	41.346	7.798	0.833	1.987	0.657	0.542	1.612	1.12	1.622	3.131	5.394	0.79	0.476	0.861	1.172	1.236	2.699	4.809	0.475	0.737	0.885	0.674	1.024	2.181	4.0
20.83956	1.073	33.005	24.013	34.827	44.703	9.049	1.061	2.408	0.76	32.54	25.805	35.918	42.448	9.352	1.128	1.112	0.862	26.253	25.921	34.692	43.347	7.727	0.817	2.087	0.67	0.61	1.681	1.273	1.634	3.174	5.497	0.744	0.458	0.844	0.899	1.475	2.6	5.079	0.458	0.666	1.066	0.886	1.149	2.193	4.013
21.00636	1.031	33.224	24.722	35.467	45.733	9.457	1.023	2.34	0.737	33.52	26.31	36.301	41.773	9.415	1.022	0.927	0.442	27.411	25.005	36.359	41.476	8.163	0.743	1.897	0.567	0.51	1.665	1.116	1.59	2.956	5.588	0.872	0.387	0.743	0.912	1.46	2.751	4.918	0.471	0.732	0.909	0.67	0.963	2.12	4.081
21.1729	0.806	34.068	24.587	35.579	44.756	9.501	1.087	2.495	0.624	34.734	27.033	36.909	43.147	9.701	1.24	1.19	0.64	27.863	24.908	36.576	41.728	8.179	0.827	2.106	0.68	0.635	1.599	1.379	1.69	3.363	5.885	0.794	0.622	0.926	0.981	1.499	2.877	5.35	0.656	0.832	1.061	0.776	1.12	2.394	4.277
21.33974	0.813	33.508	24.775	35.528	44.291	9.728	1.116	2.348	0.64	35.491	27.107	37.217	42.407	10.144	1.094	1.052	0.515	29.092	25.229	37.615	41.939	8.264	0.756	2.224	0.836	0.606	1.762	1.269	1.687	3.141	5.662	0.911	0.454	1.039	1.009	1.329	2.794	5.188	0.483	0.718	0.977	0.625	1.231	2.132	4.037
21.50635	0.995	36.215	24.2	35.732	44.671	9.601	1.038	2.413	0.771	37.18	26.222	37.537	43.441	9.876	1.11	1.062	0.702	30.091	24.57	38.275	42.431	8.421	0.769	2.267	0.85	0.646	1.775	1.28	1.813	3.183	5.88	0.837	0.494	0.965	0.935	1.34	2.866	5.259	0.323	0.562	0.988	0.723	1.157	2.372	4.563
21.67299	1.052	36.985	25.255	35.732	44.643	9.145	1.123	2.356	0.657	38.89	25.966	37.708	42.985	10.075	1.138	0.977	0.617	29.236	24.884	38.759	41.462	8.507	0.769	2.182	0.65	0.646	1.547	1.223	1.642	3.269	5.766	0.837	0.579	0.851	0.849	1.397	2.638	4.945	0.58	0.933	1.017	0.552	1.072	2.315	4.363
21.83973	0.919	38.812	24.566	35.907	44.424	9.758	1.016	2.478	0.844	39.583	25.736	37.115	41.853	10.491	1.21	0.958	0.661	30.321	24.823	38.821	43.009	8.465	0.953	2.082	0.663	0.629	1.616	1.147	1.71	3.511	5.783	0.762	0.476	0.891	1.088	1.579	2.652	5.443	0.563	0.605	1.199	0.707	1.169	2.241	4.461
22.00642	1.032	40.297	24.321	35.94	44.915	9.954	1.084	2.378	0.876	41.132	25.879	37.298	42.076	10.44	1.12	1.129	0.663	32.031	25.3	38.626	42.717	8.947	1.023	2.102	0.761	0.689	1.71	1.375	1.629	3.673	5.993	0.819	0.618	1.122	1.091	1.381	2.958	5.603	0.653	0.684	1.086	0.686	1.202	2.533	4.616
22.17315	0.98	42.102	24.859	36.118	45.892	9.934	0.962	2.452	0.679	42.534	26.116	37.24	44.004	10.24	1.073	1.048	0.895	31.587	25.687	39.088	43.192	8.698	0.872	2.115	0.696	0.632	1.705	1.379	1.714	3.344	5.961	0.765	0.479	1.066	1.035	1.44	2.885	5.476	0.595	0.696	0.86	0.739	1.144	2.33	4.808
22.3398	1.015	43.152	25.988	35.769	45.519	10.316	1.138	2.572	0.69	43.959	25.677	38.119	43.773	10.822	1.14	1.055	0.763	33.291	25.533	38.768	42.76	8.537	0.795	2.125	0.59	0.669	1.714	1.329	1.807	3.354	6.229	0.658	0.515	0.902	1.043	1.419	2.923	5.971	0.517	0.963	0.953	0.662	1.095	2.395	4.474
22.50638	0.772	43.398	25.593	35.898	45.485	9.737	1.091	2.497	0.826	45.555	26.513	36.881	43.651	10.303	1.16	1.069	0.671	34.106	25.681	38.869	41.866	8.729	0.869	1.973	0.693	0.598	1.816	1.315	1.68	3.658	6.282	0.872	0.5	0.888	1.029	1.376	3.028	5.675	0.532	0.954	1.053	0.592	1.167	2.497	4.691
22.67318	0.933	44.962	25.454	35.808	44.561	10.349	1.055	2.375	0.781	45.77	26.685	36.847	43.3	10.457	1.231	1.001	0.569	35.186	25.912	38.751	41.716	9.398	0.799	2.13	0.68	0.729	1.889	1.047	2.068	3.701	6.321	0.747	0.49	1.048	1.018	1.365	2.928	5.747	0.521	0.425	0.928	0.552	1.241	2.57	4.507
22.83978	0.918	45.866	25.858	35.938	45.184	9.827	1.065	2.557	0.832	47.626	26.722	37.063	43.35	10.651	1.251	0.986	0.534	38.03	26.204	37.909	42.363	8.905	0.874	2.12	0.641	0.602	1.734	1.318	1.684	3.549	6.345	0.876	0.447	0.806	1.204	1.38	3.004	5.851	0.593	0.645	0.971	0.739	1.085	2.672	4.496
23.00648	0.985	46.714	25.147	36.059	45.326	10.427	1.206	2.587	0.807	48.042	25.849	36.645	44.575	10.457	1.25	1.025	0.852	39.45	26.242	38.773	44.386	9.163	0.921	2.173	0.66	0.643	1.693	1.271	1.812	3.773	6.527	0.887	0.629	0.876	1.103	1.42	3.144	5.817	0.721	0.699	1.011	0.784	1.214	2.716	5.145
23.17313	0.793	46.841	26.786	35.65	45.048	10.31	1.048	2.57	0.659	48.756	26.138	37.178	42.297	11.137	1.276	1.09	0.561	40.177	26.333	38.278	44.168	9.846	0.838	2.001	0.72	0.763	1.697	1.279	1.703	3.83	6.833	0.951	0.465	1.025	0.908	1.57	3.229	5.789	0.555	0.898	0.961	0.703	1.105	2.521	4.718
23.33979	0.977	47.447	26.428	35.466	46.006	10.602	1.107	2.546	0.726	49.706	26.763	36.599	43.705	11.093	1.252	1.218	0.77	42.934	27.383	38.553	43.572	9.165	0.89	2.059	0.772	0.637	1.661	1.235	1.749	3.572	6.535	0.679	0.565	0.985	1.097	1.529	3.116	5.903	0.515	0.729	1.205	0.752	1.094	2.597	5.028
23.50658	0.929	48.674	26.426	35.856	45.737	10.614	1.101	2.365	0.82	49.956	27.578	37.069	43.33	10.783	1.095	1.025	0.607	43.268	27.03	38.599	43.4	9.435	0.972	1.963	0.625	0.613	1.603	1.272	1.781	3.935	6.564	0.887	0.372	0.932	1.073	1.562	3.305	5.923	0.605	0.974	1.068	0.866	1.126	2.684	4.795
23.67322	1.001	48.453	27.192	35.898	46.056	10.536	1.148	2.497	0.797	50.296	27.198	36.395	43.823	10.902	1.189	1.011	0.671	44.844	27.223	38.898	43.436	9.243	0.869	2.144	0.779	0.826	1.73	1.258	1.766	3.801	6.939	0.872	0.586	0.888	1.2	1.548	3.114	6.361	0.504	0.697	1.024	0.65	1.196	2.754	5.206
23.8398	1.167	49.329	27.119	35.605	44.964	10.414	1.099	2.509	0.91	51.18	27.91	35.104	42.493	10.732	1.007	1.035	0.61	46.247	27.471	38.606	42.446	9.178	1.02	2.274	0.759	0.797	1.82	1.54	1.824	3.816	6.975	0.84	0.668	1.117	1.343	1.431	3.015	6.261	0.59	0.542	1.022	0.797	1.168	2.585	5.187
24.00659	0.881	49.358	27.062	35.089	45.967	10.443	1.185	2.509	0.652	50.779	27.738	35.018	44.355	10.703	1.179	1.121	0.696	46.563	27.385	38.462	43.879	9.522	1.106	2.131	0.673	0.74	1.648	1.396	1.881	4.389	7.376	0.926	0.497	0.945	1.085	1.317	3.187	6.433	0.733	0.771	0.993	0.653	1.168	2.585	5.101
