	MG1655-1	12PD3-8_1	12PD4-6_1	12PD6-3_1	12PD7-6_1	metJ-1	acrB-1	metJ_acrB-1	MG1655-2	12PD3-8_2	12PD4-6_2	12PD6-3_2	12PD7-6_2	metJ-2	acrB-2	metJ_acrB-2	MG1655-3	12PD3-8_3	12PD4-6_3	12PD6-3_3	12PD7-6_3	metJ-3	acrB-3	metJ_acrB-3	metJ_relA_acrB-1	metJ_relA_purT-1	metJ_relA_clsA-1	metJ_relA_rnb-1	metJ_relA_yeaR-1	metJ_relA_treR-1	metJ_relA_treA-1	metJ_relA_acrB-2	metJ_relA_purT-2	metJ_relA_clsA-2	metJ_relA_rnb-2	metJ_relA_yeaR-2	metJ_relA_treR-2	metJ_relA_treA-2	metJ_relA_acrB-3	metJ_relA_purT-3	metJ_relA_clsA-3	metJ_relA_rnb-3	metJ_relA_yeaR-3	metJ_relA_treR-3	metJ_relA_treA-3
1.67148	0.48	0.55	0.291	0.679	0.433	0.595	0.823	0.948	0.915	0.424	0.198	1.941	0.66	0.388	0.769	1.207	1.372	1.378	0.426	0.718	0.361	0.55	0.606	0.713	0.576	0.56	0.696	0.799	0.619	0.519	0.63	1.017	1.325	0.632	0.567	0.616	0.648	0.902	0.813	1.14	0.738	0.802	0.394	0.496	0.798
1.83816	0.698	0.707	0.282	0.699	0.446	0.702	0.88	1.022	0.927	0.622	0.219	2.554	0.569	0.266	0.72	1.276	1.396	1.564	0.413	0.879	0.457	0.539	0.778	0.743	0.56	0.564	0.747	0.959	0.665	0.6	0.629	0.971	1.42	0.574	0.613	0.694	0.868	0.961	1.103	1.144	0.661	0.84	0.54	0.758	0.777
2.00498	0.561	0.541	0.202	0.791	0.482	0.623	0.887	1.114	0.763	0.542	0.311	3.45	0.576	0.473	0.727	1.287	1.463	1.744	0.448	0.885	0.348	0.546	0.699	0.75	0.568	0.658	0.668	0.966	0.614	0.549	0.636	0.924	1.599	0.667	0.648	0.557	0.848	0.91	1.113	1.41	0.611	0.933	0.49	0.536	0.986
2.17154	0.722	0.702	0.221	0.924	0.477	0.641	0.85	1.046	0.902	0.735	0.33	3.877	0.509	0.464	0.807	1.49	1.489	2.314	0.523	1.017	0.45	0.679	0.778	0.857	0.678	0.593	0.773	0.898	0.775	0.453	0.656	1.155	1.68	0.687	0.723	0.633	0.989	1.017	1.199	1.432	0.72	0.927	0.511	0.73	1.152
2.33822	0.668	0.82	0.31	1.014	0.51	0.616	0.939	1.049	0.963	0.795	0.419	5.03	0.599	0.409	0.782	1.208	1.522	2.49	0.44	1.25	0.481	0.682	0.781	0.831	0.538	0.712	0.719	1.073	0.807	0.572	0.688	1.189	1.971	0.662	0.669	0.637	0.964	1.164	1.29	1.522	0.723	0.931	0.486	0.647	0.926
2.50492	0.627	0.779	0.298	1.144	0.465	0.775	0.926	1.094	0.89	0.897	0.378	5.528	0.643	0.54	0.939	1.273	1.648	2.818	0.543	1.496	0.614	0.669	0.968	0.932	0.58	0.669	0.792	1.003	0.766	0.731	0.818	1.168	1.955	0.734	0.657	0.739	0.89	1.179	0.984	1.363	0.766	0.945	0.644	0.518	1.083
2.67155	0.621	0.945	0.349	1.425	0.544	0.712	0.976	1.117	1.025	1.062	0.4	6.637	0.665	0.562	0.874	1.292	1.754	3.554	0.594	1.862	0.78	0.663	0.932	0.896	0.572	0.661	0.757	0.969	0.789	0.638	0.811	1.215	2.177	0.727	0.737	0.646	1.025	1.172	1.261	1.757	0.701	0.994	0.55	0.511	1.247
2.83825	0.716	1.012	0.387	1.492	0.555	0.721	0.9	1.126	1.066	1.187	0.41	7.455	0.847	0.457	0.972	1.307	1.767	4.056	0.603	1.929	0.617	0.759	1.029	0.936	0.526	0.701	0.795	1.006	0.625	0.705	0.764	1.231	2.131	0.651	0.717	0.828	0.952	1.154	1.39	1.74	0.769	0.949	0.475	0.722	1.23
3.00477	0.668	1.365	0.54	1.645	0.596	0.903	1.112	1.135	1.078	1.542	0.649	8.561	0.799	0.553	1.041	1.294	1.867	4.988	0.698	2.226	0.711	0.825	1.212	1.032	0.682	0.798	0.863	1.159	0.893	0.801	0.774	1.103	2.373	0.69	0.813	0.751	1.165	1.164	1.405	1.78	0.723	0.931	0.572	0.647	1.242
3.17155	0.905	1.43	0.604	1.852	0.74	0.766	1.087	1.171	1.05	1.775	0.626	9.814	0.92	0.531	1.215	1.487	1.95	5.843	0.792	2.461	0.864	0.746	1.273	1.094	0.597	0.772	0.84	1.138	0.843	0.807	0.98	1.325	2.746	0.753	0.705	0.787	1.135	1.398	1.428	1.553	0.754	0.933	0.576	0.708	1.33
3.33822	0.905	1.774	0.69	2.024	0.74	1.024	1.145	1.257	1.193	2.004	0.655	10.388	0.92	0.531	1.358	1.487	2.036	7.076	1.05	2.719	0.892	0.918	1.187	1.18	0.683	0.83	0.754	1.08	0.872	0.721	0.922	1.21	2.431	0.753	0.877	0.815	1.135	1.254	1.6	1.725	0.697	0.991	0.662	0.622	1.301
3.50484	0.917	2.045	0.76	2.353	0.842	0.979	1.101	1.269	1.381	2.277	0.897	11.615	1.22	0.658	1.287	1.565	2.14	7.498	1.119	2.934	1.104	0.845	1.402	1.108	0.613	0.844	0.939	1.15	0.97	0.734	0.85	1.173	2.619	0.91	0.746	0.885	1.238	1.355	1.39	1.683	0.798	1.121	0.59	0.866	1.259
3.67156	0.942	2.242	0.814	2.521	1.01	1.034	1.155	1.438	1.377	2.56	0.98	12.154	1.274	0.655	1.37	1.589	2.136	9.014	1.231	3.274	1.159	0.928	1.398	1.276	0.609	0.755	0.878	1.175	0.881	0.731	0.847	1.312	2.758	0.763	0.8	0.882	1.205	1.408	1.357	1.851	0.88	1.088	0.644	0.719	1.083
3.83827	0.846	2.692	1.12	2.772	1.035	1.168	1.434	1.227	1.574	3.215	1.144	13.856	1.237	0.818	1.508	1.39	2.249	10.598	1.508	3.554	1.291	1.176	1.621	1.355	1.063	0.805	0.898	1.194	0.899	0.836	0.925	1.285	3.242	0.783	0.733	0.844	1.318	1.516	1.472	1.701	0.961	1.111	0.694	0.741	1.508
4.00498	1.08	3.182	1.238	2.83	1.088	1.228	1.607	1.375	1.541	3.499	1.375	14.952	1.611	0.734	1.821	1.636	2.385	12.386	1.712	3.841	1.497	1.093	1.735	1.355	0.687	0.862	0.872	1.255	0.846	0.954	0.926	1.215	2.922	0.813	0.823	0.79	1.283	1.344	1.892	1.815	0.844	1.08	0.579	0.626	1.247
4.17164	1.032	3.565	1.534	3.041	1.187	1.324	1.359	1.47	1.582	3.999	1.529	16.235	1.736	0.888	1.66	1.651	2.485	12.95	1.837	4.483	1.764	1.189	1.832	1.337	0.785	0.844	0.882	1.236	0.884	0.82	0.936	1.317	2.762	0.852	0.717	0.885	1.152	1.355	1.734	1.826	0.856	1.035	0.647	0.636	1.144
4.33828	1.114	3.881	1.59	3.329	1.421	1.264	1.503	1.581	1.701	4.721	1.671	17.008	1.879	0.914	1.721	1.865	2.579	13.519	2.294	4.858	2.047	1.444	1.977	1.711	0.788	0.903	0.994	1.261	0.908	0.846	0.935	1.128	3.341	0.88	0.857	0.767	1.36	1.642	1.4	1.77	0.915	1.123	0.676	0.723	1.347
4.50507	1.118	4.254	1.907	3.73	1.531	1.352	1.532	1.556	1.726	4.888	1.873	18.358	2.023	0.974	2.005	1.651	2.657	14.47	2.525	5.172	2.223	1.418	2.09	1.509	0.584	0.873	0.939	1.15	0.855	0.877	0.936	1.403	3.049	0.852	0.832	0.914	1.296	1.527	1.534	1.855	0.884	1.006	0.59	0.694	1.259
4.67167	1.133	4.76	1.982	4.122	1.782	1.455	1.578	1.4	1.833	5.943	2.177	19.572	2.3	1.019	1.967	1.677	2.91	15.911	2.714	5.823	2.67	1.348	2.109	1.7	0.891	0.949	0.984	1.28	0.899	0.923	0.925	1.199	3.731	1.042	0.819	0.93	1.26	1.516	1.501	1.96	0.961	1.197	0.751	0.712	1.451
4.83837	1.376	5.149	2.197	4.137	2.057	1.468	1.679	1.584	1.964	6.421	2.45	21.068	2.774	1.003	2.214	1.871	2.785	16.285	2.843	6.069	3.228	1.39	2.326	1.801	0.648	0.993	0.968	1.206	0.825	0.936	0.939	1.363	3.92	0.883	0.917	0.828	1.278	1.617	1.865	1.946	1.005	1.155	0.622	0.583	1.351
5.00515	1.277	5.708	2.327	4.696	2.299	1.714	1.75	1.773	2.005	7.092	2.522	22.272	3.104	1.076	2.283	1.792	2.852	16.802	2.973	6.081	3.388	1.607	2.454	1.901	0.719	0.978	0.955	1.366	0.813	0.894	1.04	1.371	4.104	0.927	0.905	0.93	1.26	1.459	1.73	2.046	0.99	1.111	0.522	0.568	1.25
5.1717	1.28	6.545	2.474	4.959	2.734	1.688	1.754	1.834	2.009	7.901	2.641	22.567	3.596	1.31	2.489	1.941	2.943	17.786	3.149	7.292	4.368	1.725	2.63	1.934	0.608	1.039	1.073	1.255	0.816	0.897	0.842	1.261	4.281	0.959	0.908	0.818	1.351	1.692	1.563	2.193	1.08	1.345	0.611	0.572	1.34
5.33829	1.353	7.591	2.632	5.115	3.175	2.048	1.883	1.763	2.193	8.37	2.626	23.682	3.982	1.296	2.673	1.949	3.154	17.44	3.307	7.705	4.927	1.97	2.787	2.062	0.764	1.139	1.06	1.443	0.947	0.97	1.029	1.356	4.521	1.031	0.896	0.834	1.391	1.62	1.629	2.178	1.122	1.272	0.654	0.701	1.41
5.50503	1.529	8.054	2.808	5.923	3.725	2.08	2.059	1.939	2.312	9.982	2.859	25.586	5.106	1.242	2.735	2.04	3.274	18.108	3.655	8.37	5.563	1.887	3.107	2.324	0.538	1.114	1.063	1.331	0.95	0.916	1.004	1.504	4.669	1.092	0.841	0.838	1.395	1.767	1.577	2.297	1.068	1.247	0.515	0.647	1.414
5.67177	1.739	9.289	2.843	6.414	4.156	1.945	2.066	1.92	2.373	10.065	3.124	25.332	5.826	1.451	2.882	2.152	3.302	17.547	3.547	8.601	6.515	1.954	3.226	2.301	0.601	1.206	1.187	1.341	0.932	1.068	1.069	1.56	4.642	1.186	0.88	0.876	1.369	1.602	1.691	2.417	1.131	1.224	0.637	0.798	1.333
5.83841	1.624	9.547	2.958	6.901	5.017	2.375	2.18	2.178	2.602	11.011	3.411	27.655	6.514	1.595	3.14	2.238	3.675	18.636	3.576	9.547	7.977	2.298	3.484	2.502	0.658	1.292	1.273	1.399	0.961	1.04	0.983	1.244	4.929	1.157	0.88	1.048	1.541	1.659	1.634	2.359	1.217	1.252	0.637	0.626	1.419
6.00508	1.746	11.221	3.023	7.082	5.743	2.324	2.331	2.356	2.783	12.944	3.418	27.73	7.527	1.688	3.378	2.277	3.742	19.254	3.727	10.245	9.047	2.477	3.607	2.768	0.781	1.357	1.28	1.434	1.11	0.96	0.933	1.398	5.684	1.337	1.059	0.968	1.406	1.753	1.729	2.453	1.311	1.26	0.5	0.719	1.399
6.17172	1.669	12.25	3.287	8.116	6.63	2.59	2.395	2.194	2.7	13.883	3.396	27.961	8.617	1.782	3.524	2.217	3.971	19.953	4.02	10.731	10.338	2.485	3.754	2.659	0.642	1.42	1.346	1.386	1.006	0.969	0.912	1.453	5.541	1.229	0.897	1.035	1.466	1.817	1.786	2.745	1.287	1.323	0.794	0.697	1.461
6.33851	1.892	12.898	3.308	8.393	7.994	2.64	2.588	2.416	3.121	14.586	3.56	28.0	9.867	1.832	3.429	2.493	3.989	21.025	4.442	11.608	11.789	2.621	4.032	2.966	0.72	1.584	1.196	1.409	1.0	1.02	0.991	1.385	5.876	1.337	0.862	0.971	1.342	1.666	1.69	2.594	1.337	1.315	0.873	0.661	1.539
6.50515	1.882	15.171	3.469	9.266	8.75	2.887	2.576	2.435	3.107	15.369	3.863	29.374	11.797	1.936	3.674	2.648	4.06	21.773	4.603	12.108	12.575	2.782	4.335	3.011	0.622	1.487	1.243	1.456	0.99	1.038	1.124	1.513	6.119	1.469	0.795	0.933	1.53	1.712	1.761	2.897	1.182	1.275	0.776	0.65	1.47
6.67185	1.987	16.038	3.749	9.668	9.673	3.023	2.771	2.627	3.191	18.302	4.144	28.601	12.06	2.1	3.929	2.767	4.176	22.883	4.626	13.0	14.612	3.147	4.532	3.207	0.818	1.625	1.521	1.332	1.009	1.144	1.087	1.458	6.32	1.519	0.986	0.952	1.47	1.82	1.705	2.692	1.262	1.384	0.712	0.787	1.408
6.83852	2.213	17.407	3.831	10.093	10.841	3.392	2.71	2.623	3.359	19.784	4.255	28.764	14.003	2.154	4.24	2.79	4.4	24.021	4.88	13.997	14.721	3.287	4.814	3.719	0.757	1.621	1.432	1.501	1.034	0.94	1.17	1.653	6.258	1.602	0.897	0.978	1.609	1.731	1.929	3.003	1.345	1.323	0.794	0.84	1.834
7.00517	2.298	18.007	4.14	11.277	12.159	3.359	2.847	2.937	3.433	19.804	4.734	29.565	14.949	2.437	4.543	3.027	4.584	24.915	5.417	14.346	16.7	3.598	5.176	3.996	0.778	1.729	1.43	1.358	1.15	1.025	1.138	1.578	6.357	1.713	0.783	0.777	1.683	1.698	1.656	2.967	1.538	1.288	0.762	0.722	1.541
7.17179	2.345	18.931	4.614	11.632	12.712	3.576	3.236	3.126	3.705	21.439	4.808	30.365	15.702	2.455	4.786	3.011	4.654	23.831	5.691	14.7	17.511	3.815	5.705	4.012	0.794	1.632	1.506	1.435	1.141	1.186	1.099	1.563	6.771	1.559	1.003	0.996	1.556	1.773	1.727	3.098	1.555	1.333	0.665	0.653	1.5
7.33865	2.493	19.084	4.843	13.165	14.721	3.864	3.351	3.274	3.759	22.641	5.293	31.095	16.628	2.515	4.925	3.115	5.104	23.913	6.291	15.515	17.838	3.818	5.617	4.183	0.766	1.776	1.454	1.356	1.062	1.135	1.075	1.641	6.68	1.62	1.01	1.059	1.611	1.833	1.864	2.813	1.613	1.335	0.669	0.714	1.73
7.50515	2.631	20.303	5.272	13.204	14.912	4.291	3.35	3.641	3.877	22.668	5.693	31.279	17.074	2.769	5.329	3.354	5.054	23.63	7.348	16.357	17.997	4.158	6.22	4.384	0.766	1.803	1.592	1.435	1.141	1.072	1.128	1.677	7.057	1.645	0.946	0.939	1.499	1.801	1.784	2.955	1.698	1.276	0.779	0.796	1.586
7.67195	2.538	20.917	5.72	13.85	16.269	4.311	3.599	3.748	3.953	23.538	6.142	32.602	17.832	2.962	5.463	3.514	5.073	24.07	8.054	16.402	18.298	4.35	6.296	4.547	0.672	1.824	1.585	1.428	1.134	1.151	1.178	1.638	7.133	1.637	0.939	1.047	1.661	1.851	1.774	3.004	1.604	1.354	0.829	0.732	1.75
7.83863	2.824	22.859	6.349	14.393	16.412	4.683	3.685	3.662	4.268	23.224	7.17	32.602	18.032	3.076	5.463	3.657	5.644	23.442	8.882	17.802	19.098	4.522	6.296	4.718	0.758	1.796	1.756	1.514	1.22	1.237	1.292	1.495	7.133	1.895	0.996	1.075	1.633	1.879	1.803	3.347	1.69	1.411	0.686	0.789	1.778
8.00522	2.881	21.231	7.32	14.821	17.041	4.911	3.971	4.177	4.382	24.281	7.97	32.373	19.432	3.419	5.92	3.971	5.587	23.442	10.139	18.287	20.412	4.979	6.696	5.147	1.101	1.967	1.899	1.514	1.134	1.237	1.178	1.553	6.847	1.895	1.082	1.047	1.547	1.851	1.803	3.09	1.775	1.354	0.686	0.818	1.835
8.17195	3.053	21.488	8.025	15.515	17.381	5.107	4.024	4.347	4.573	25.127	8.645	32.377	19.089	3.617	6.138	4.097	5.63	23.915	11.212	19.09	20.072	5.375	6.544	5.368	0.726	2.107	1.815	1.432	1.11	1.153	1.179	1.597	7.321	2.037	0.886	1.05	1.597	1.822	1.649	3.229	1.943	1.409	0.829	0.788	1.804
8.33853	3.07	21.952	9.019	16.116	18.503	5.442	4.301	4.565	4.625	24.941	10.011	31.943	20.295	3.864	6.248	4.04	5.885	24.244	12.722	19.038	20.734	5.367	6.739	6.104	0.86	2.041	2.003	1.505	1.125	1.056	1.339	1.566	7.689	2.141	0.987	1.151	1.477	1.954	2.045	3.249	2.02	1.6	0.761	0.778	1.652
8.50527	3.079	23.159	10.203	17.196	18.965	5.669	4.357	4.94	4.758	25.763	11.078	31.802	21.075	4.151	6.464	4.502	6.095	24.293	14.297	19.342	22.288	5.88	6.787	6.183	0.605	2.072	1.926	1.66	1.196	1.18	1.233	1.579	7.475	2.174	0.944	1.021	1.586	1.874	1.947	3.135	1.907	1.374	0.683	0.898	1.854
8.67194	3.185	24.345	11.631	16.779	19.952	6.321	4.468	5.049	4.787	25.843	12.507	31.663	21.719	4.346	6.779	4.793	6.042	24.773	16.298	19.925	22.759	5.99	7.157	6.524	0.714	2.295	2.061	1.508	1.101	1.2	1.339	1.696	7.876	2.282	0.963	1.012	1.784	1.925	1.806	3.416	2.017	1.54	0.733	0.749	2.049
8.83855	3.296	24.844	12.748	18.343	20.25	6.31	4.686	5.384	5.085	27.415	14.276	32.369	22.532	4.737	6.734	4.911	6.421	24.238	17.835	20.573	23.291	6.266	7.199	7.221	0.792	2.202	2.172	1.537	1.158	1.113	1.364	1.706	7.858	2.306	0.963	1.182	1.63	1.948	1.875	3.351	2.151	1.419	0.786	0.944	1.956
9.00534	3.356	26.587	14.319	17.837	21.169	6.798	4.634	5.53	5.176	28.534	15.705	32.265	23.308	4.684	6.71	5.088	6.568	25.641	19.549	21.32	23.383	6.526	7.176	7.055	0.967	2.377	2.09	1.54	1.19	1.259	1.311	1.74	7.693	2.565	1.052	1.242	1.805	1.724	1.966	3.554	2.155	1.508	0.789	0.976	2.017
9.17194	3.363	26.879	15.817	18.65	21.83	7.085	5.092	5.621	5.232	29.786	17.599	32.062	23.573	4.887	7.021	5.394	6.536	25.161	20.218	21.845	23.964	6.841	7.232	7.567	0.914	2.41	2.183	1.521	1.257	1.153	1.261	1.595	8.003	2.486	1.005	1.223	1.693	2.015	1.765	3.274	2.273	1.343	0.768	0.869	2.163
9.33873	3.637	27.148	17.186	19.139	22.555	7.249	4.971	6.209	5.171	29.606	18.913	32.71	24.267	5.334	6.99	5.878	6.648	25.547	22.984	23.361	24.372	7.119	7.626	7.676	0.849	2.458	2.258	1.537	1.244	1.284	1.45	1.649	8.257	2.562	0.935	1.182	1.744	2.034	1.79	3.379	2.293	1.447	0.7	0.887	2.013
9.50539	3.609	27.745	18.836	19.509	22.412	7.704	5.113	6.181	5.341	29.748	20.961	32.796	23.869	5.875	7.047	5.793	6.819	25.86	23.525	24.044	24.286	7.261	7.256	7.961	1.134	2.771	2.514	1.622	1.272	1.198	1.364	1.82	8.427	2.875	1.106	1.239	1.744	1.977	1.761	3.436	2.492	1.504	0.843	0.972	2.013
9.67209	3.786	28.291	19.59	20.149	22.873	7.762	5.144	6.81	5.454	30.771	22.451	32.933	24.219	5.935	7.414	5.643	6.9	26.43	23.905	25.475	24.837	7.803	7.483	8.443	0.825	2.661	2.35	1.603	1.225	1.235	1.457	1.704	8.225	2.852	1.03	1.134	1.717	2.012	2.016	3.44	2.354	1.595	0.821	0.78	2.159
9.83859	3.768	29.397	20.265	21.336	23.041	8.06	5.242	6.794	5.554	29.492	22.929	32.367	24.328	6.232	7.287	6.4	7.002	26.401	25.122	26.494	24.832	8.328	7.497	8.515	0.78	2.617	2.275	1.67	1.32	1.16	1.268	1.776	8.525	2.948	1.125	1.087	1.901	2.136	2.088	3.794	2.707	1.578	0.832	0.876	2.342
10.00536	3.871	28.603	22.09	21.655	23.754	8.33	5.57	7.293	5.568	29.919	23.445	33.104	24.844	6.446	7.016	6.695	6.985	27.283	24.189	26.583	24.979	8.4	7.483	9.21	0.854	2.832	2.606	1.717	1.31	1.321	1.457	1.675	8.595	3.05	1.087	1.134	1.859	2.125	1.931	3.611	2.695	1.509	0.991	1.093	2.103
10.17207	3.821	28.779	22.243	23.058	23.787	8.784	5.289	7.324	5.624	30.373	24.136	33.013	24.993	6.703	7.242	6.97	7.037	27.567	24.568	27.413	25.841	8.287	7.539	9.434	0.83	2.722	2.67	1.641	1.405	1.13	1.407	1.673	8.62	2.999	1.068	1.285	1.861	2.103	2.185	3.927	2.755	1.543	0.828	1.014	2.164
10.33876	3.875	27.958	22.439	24.419	23.933	8.96	5.376	7.524	5.488	30.326	24.42	33.114	25.733	6.763	7.22	7.07	7.104	28.94	25.334	27.529	25.157	8.859	7.857	9.925	1.085	3.035	2.524	1.663	1.257	1.324	1.46	1.595	9.367	3.196	1.09	1.308	2.034	2.101	1.907	3.586	2.472	1.485	0.825	1.125	2.192
10.50554	3.75	28.813	23.324	24.963	24.531	9.116	5.562	7.824	5.53	29.9	24.821	32.714	25.452	6.977	7.489	7.335	7.087	28.769	26.218	27.191	25.674	9.101	7.842	9.711	0.817	3.023	2.826	1.711	1.418	1.342	1.421	1.693	9.067	3.355	1.194	1.156	1.879	2.175	2.092	4.057	2.772	1.558	1.013	1.028	2.379
10.67204	3.927	28.08	23.788	26.9	24.563	9.143	5.62	8.195	5.586	31.205	24.687	34.213	25.487	7.318	7.685	7.354	7.395	28.683	26.169	26.857	25.456	9.072	8.011	9.906	0.878	2.828	2.833	1.72	1.286	1.379	1.429	1.662	9.234	3.19	1.091	1.193	1.909	2.408	1.948	4.06	2.832	1.535	0.877	1.063	2.468
10.83869	3.924	28.157	23.78	27.288	25.178	9.592	5.701	8.19	5.666	29.976	25.473	34.145	25.677	7.768	7.51	7.632	7.276	30.488	27.153	26.707	25.306	9.436	8.233	10.666	0.96	2.966	2.886	1.632	1.368	1.404	1.482	1.827	9.37	3.413	1.144	1.219	1.932	2.177	2.057	3.914	2.913	1.644	1.044	1.059	2.435
11.00541	3.913	28.5	24.351	27.149	25.35	9.946	5.603	8.347	5.736	29.948	26.893	34.312	25.17	7.754	7.75	7.868	7.202	30.629	28.035	26.313	25.339	9.818	8.388	10.479	0.976	3.152	2.988	1.764	1.443	1.224	1.471	1.642	10.204	3.401	1.135	1.209	2.174	2.081	2.155	3.958	2.985	1.519	0.976	1.048	2.593
11.17212	3.735	28.709	24.704	27.699	25.247	10.077	5.509	8.706	5.868	29.646	26.876	34.376	25.805	7.914	7.768	8.138	7.191	30.779	29.236	25.362	25.522	9.582	8.661	10.214	0.855	3.143	2.868	1.871	1.267	1.444	1.549	1.858	10.533	3.592	1.129	1.202	2.052	2.3	2.174	3.893	3.232	1.625	0.884	1.239	2.5
11.33869	4.054	29.18	25.627	27.319	25.35	10.144	5.943	8.801	5.878	32.499	27.772	34.199	25.907	8.15	8.203	8.321	7.287	32.187	28.998	25.52	25.141	10.3	9.182	10.791	0.976	3.208	3.158	1.962	1.387	1.394	1.556	1.614	11.309	3.514	1.135	1.436	2.174	2.222	2.496	4.185	3.155	1.519	1.033	1.133	2.508
11.50554	3.905	29.417	26.063	27.132	25.162	10.077	5.708	9.33	5.84	31.063	28.207	35.141	26.032	8.198	8.476	9.101	7.673	33.951	28.811	24.909	25.579	10.007	9.625	11.007	0.968	3.228	3.208	1.786	1.437	1.302	1.634	1.717	11.609	3.818	1.157	1.259	2.222	2.328	2.23	4.177	3.402	1.597	0.799	1.069	2.528
