	MG1655-1	GLUT1-3_1	GLUT1-10_1	GLUT4-1_1	GLUT8-6_1	kgtP-1	proV-1	ybjL-1	MG1655-2	GLUT1-3_2	GLUT1-10_2	GLUT4-1_2	GLUT8-6_2	kgtP-2	proV-2	ybjL-2	MG1655-3	GLUT1-3_3	GLUT1-10_3	GLUT4-1_3	GLUT8-6_3	kgtP-3	proV-3	ybjL-3	kgtP_proV-1	kgtP_sspA-1	kgtP_ybjL-1	kgtP_proV_ybjL-1	kgtP_proV-2	kgtP_sspA-1dup	kgtP_ybjL-2	kgtP_proV_ybjL-2	kgtP_proV-3	kgtP_sspA-3	kgtP_ybjL-3	kgtP_proV_ybjL-3
1.67175	0.458	0.258	0.682	0.819	0.566	0.603	0.914	1.011	0.859	0.604	0.778	0.785	0.525	0.655	0.904	0.991	0.792	0.747	1.008	0.939	0.816	0.959	1.43	1.607	1.09	1.034	0.952	0.961	1.083	1.106	1.055	1.206	0.708	1.156	1.152	1.083
1.83832	0.55	0.288	0.628	0.82	0.51	0.547	0.999	1.126	0.982	0.556	0.837	0.729	0.526	0.492	0.907	1.051	0.97	0.723	1.039	0.886	0.788	0.99	1.38	1.502	0.958	1.095	1.152	0.992	1.033	1.11	1.001	1.067	0.882	1.045	1.154	1.114
2.00501	0.547	0.426	0.71	0.761	0.592	0.544	1.081	1.123	0.893	0.58	0.806	0.811	0.466	0.686	0.933	1.02	0.796	0.776	1.008	0.939	0.673	0.874	1.377	1.385	1.124	1.007	0.951	1.017	0.973	1.05	0.913	1.064	0.737	1.014	1.094	1.026
2.17166	0.925	0.322	0.719	0.656	0.601	0.553	0.892	1.047	0.792	0.761	0.815	0.707	0.531	0.555	0.857	1.03	0.835	0.73	1.045	0.949	0.766	0.883	1.359	1.481	1.05	1.101	0.96	0.942	0.956	1.06	1.092	1.073	0.718	1.052	1.075	1.035
2.33848	0.466	0.279	0.705	0.668	0.642	0.451	0.905	1.033	0.93	0.471	0.858	0.833	0.515	0.603	0.958	0.99	0.886	0.86	1.004	0.935	0.664	0.785	1.407	1.447	0.875	0.976	1.032	0.9	1.005	1.019	1.078	1.06	0.593	1.066	1.033	1.049
2.50513	0.619	0.203	0.686	0.762	0.566	0.545	0.857	1.099	0.97	0.652	0.868	0.757	0.411	0.443	0.825	0.943	0.868	0.7	0.928	0.86	0.645	0.795	1.332	1.429	0.943	1.042	0.871	0.881	0.93	1.085	0.917	0.984	0.631	0.99	1.07	1.002
2.67174	0.718	0.361	0.674	0.608	0.554	0.59	0.987	1.086	0.869	0.553	0.77	0.688	0.484	0.458	0.898	0.93	0.939	0.744	1.001	0.989	0.662	0.924	1.347	1.528	0.928	0.973	0.944	0.954	1.001	1.101	1.046	1.028	0.76	1.063	1.03	1.046
2.83842	0.484	0.266	0.607	0.625	0.629	0.465	0.834	1.048	0.949	0.546	0.732	0.706	0.445	0.535	0.888	0.95	0.904	0.849	0.991	0.838	0.736	0.801	1.339	1.465	1.121	0.992	0.963	0.916	0.937	1.035	0.98	1.075	0.779	1.025	1.048	1.065
3.00511	0.516	0.322	0.748	0.651	0.598	0.548	0.889	1.075	0.898	0.607	0.731	0.647	0.471	0.51	0.86	0.951	0.936	0.821	0.877	0.951	0.79	0.829	1.285	1.498	1.069	1.106	0.905	1.001	0.968	1.121	0.95	1.16	0.752	1.053	1.075	1.121
3.17181	0.481	0.23	0.628	0.617	0.593	0.57	0.883	0.955	0.919	0.657	0.725	0.698	0.465	0.474	0.825	0.887	0.929	0.644	0.927	0.859	0.756	0.738	1.221	1.49	1.005	1.014	0.956	0.995	1.075	1.114	1.086	1.097	0.66	1.047	1.154	1.086
3.3385	0.452	0.254	0.767	0.668	0.702	0.65	0.878	1.15	0.864	0.6	0.664	0.75	0.488	0.53	0.85	0.999	0.844	0.813	0.895	0.827	0.864	0.82	1.391	1.406	1.091	1.097	1.152	1.134	0.99	1.14	1.025	1.178	0.828	0.986	1.093	1.054
3.50515	0.356	0.302	0.587	0.631	0.607	0.556	1.069	0.97	0.824	0.589	0.769	0.741	0.537	0.605	0.869	0.96	0.833	0.803	0.971	0.818	0.77	0.896	1.381	1.509	1.023	1.03	1.057	1.039	1.093	1.073	1.045	1.169	0.904	1.034	1.255	1.13
3.67178	0.427	0.343	0.656	0.643	0.591	0.682	0.967	1.039	0.839	0.518	0.838	0.725	0.491	0.505	0.882	1.002	0.848	0.73	0.984	0.802	0.867	0.994	1.252	1.523	1.124	1.1	1.069	1.108	1.078	1.001	0.971	1.21	0.831	1.046	1.267	1.199
3.8385	0.524	0.267	0.608	0.68	0.714	0.69	0.976	1.049	0.851	0.558	0.705	0.762	0.557	0.63	0.948	0.983	0.859	0.769	0.965	0.754	0.79	0.861	1.32	1.335	1.135	1.053	1.079	1.175	1.118	1.153	1.294	1.276	0.784	0.998	1.191	1.237
4.00519	0.62	0.333	0.617	0.746	0.751	0.756	0.927	1.001	0.862	0.569	0.714	0.771	0.594	0.64	0.872	0.908	0.812	0.779	1.003	0.82	0.799	0.842	1.415	1.517	1.118	1.205	1.174	1.184	1.014	0.991	1.218	1.286	0.936	1.15	1.286	1.218
4.17193	0.328	0.437	0.721	0.763	0.74	0.717	1.031	1.019	0.743	0.562	0.79	0.789	0.526	0.632	0.92	0.927	0.749	0.684	1.021	0.868	0.759	0.946	1.294	1.31	1.14	1.139	1.221	1.175	1.121	1.039	1.265	1.247	0.899	1.026	1.333	1.265
4.33857	0.299	0.351	0.607	0.792	0.74	0.774	0.945	1.019	0.8	0.505	0.79	0.76	0.526	0.718	0.977	0.927	0.891	0.627	0.85	0.868	0.817	0.889	1.379	1.396	1.14	1.339	1.136	1.203	1.121	1.096	1.265	1.333	0.956	1.254	1.333	1.379
4.50515	0.485	0.478	0.477	0.775	0.667	0.728	1.014	0.945	0.758	0.662	0.717	0.944	0.595	0.646	0.904	0.912	0.734	0.783	1.005	0.852	0.857	0.902	1.393	1.325	1.184	1.323	1.205	1.188	1.135	1.052	1.335	1.174	0.969	1.124	1.317	1.335
4.67183	0.578	0.541	0.711	0.78	0.758	0.734	1.02	0.866	0.737	0.498	0.723	0.807	0.63	0.682	0.91	0.947	0.684	0.647	0.954	0.887	0.92	1.137	1.486	1.332	1.163	1.273	1.212	1.222	1.057	1.03	1.37	1.323	1.061	1.13	1.323	1.341
4.83847	0.667	0.458	0.571	0.812	0.761	0.794	1.052	0.954	0.769	0.53	0.755	0.953	0.633	0.685	0.999	0.836	0.745	0.736	0.957	0.947	0.78	0.997	1.404	1.393	1.166	1.247	1.215	1.226	1.26	1.147	1.201	1.269	0.979	1.191	1.269	1.401
5.00524	0.31	0.675	0.559	0.857	0.778	0.84	0.954	0.999	0.754	0.573	0.799	0.941	0.621	0.643	0.815	0.908	0.759	0.723	0.916	0.791	0.94	1.07	1.361	1.321	1.237	1.32	1.231	1.184	1.16	1.192	1.332	1.342	1.051	1.292	1.4	1.332
5.17194	0.217	0.607	0.578	0.904	0.682	0.714	0.857	0.789	0.748	0.451	0.732	0.959	0.553	0.778	0.862	0.785	0.695	0.714	0.964	0.953	0.929	1.061	1.325	1.171	1.346	1.34	1.135	1.175	1.096	1.125	1.293	1.247	0.985	1.14	1.247	1.293
5.33853	0.109	0.782	0.694	0.904	0.712	0.829	0.916	0.962	0.729	0.631	0.763	0.903	0.64	0.785	0.894	0.817	0.703	0.747	0.88	1.013	0.872	1.007	1.417	1.265	1.298	1.23	1.253	1.264	1.275	1.186	1.411	1.278	1.047	1.257	1.392	1.325
5.50526	0.536	0.779	0.663	1.016	0.766	0.884	1.056	0.873	0.869	0.656	0.703	0.929	0.723	0.839	0.977	0.814	0.814	0.83	0.963	1.154	0.898	1.032	1.414	1.347	1.294	1.456	1.279	1.232	1.271	1.269	1.322	1.304	1.044	1.254	1.447	1.465
5.67205	0.041	0.913	0.595	0.977	0.927	0.787	1.016	0.834	0.748	0.678	0.693	0.861	0.597	0.745	0.967	0.805	0.749	0.878	0.839	1.087	0.887	1.109	1.349	1.283	1.231	1.332	1.269	1.165	1.235	1.26	1.312	1.409	1.035	1.359	1.494	1.398
5.83863	0.051	0.922	0.604	1.072	0.793	0.767	0.997	0.814	0.587	0.746	0.788	1.013	0.778	0.842	0.891	0.815	0.645	0.888	0.848	1.01	0.982	1.061	1.445	1.322	1.271	1.399	1.279	1.29	1.246	1.27	1.321	1.304	1.073	1.426	1.331	1.407
6.00528	0.425	1.034	0.658	1.096	0.846	0.906	0.963	0.781	0.762	0.718	0.727	0.98	0.63	0.784	0.859	0.841	0.617	0.973	0.93	1.151	0.948	1.087	1.329	1.352	1.215	1.541	1.247	1.373	1.361	1.382	1.289	1.444	1.1	1.394	1.443	1.49
6.17196	0.436	1.101	0.581	1.018	0.97	0.914	0.972	1.02	0.716	0.816	0.679	1.047	0.782	0.852	0.868	0.88	0.685	0.983	0.94	1.074	1.101	1.097	1.426	1.334	1.37	1.609	1.256	1.325	1.372	1.306	1.442	1.367	1.168	1.404	1.452	1.5
6.33862	0.346	1.184	0.635	1.102	0.938	0.94	0.969	0.873	0.625	0.812	0.676	1.072	0.808	0.906	0.779	0.934	0.595	0.979	0.879	1.071	1.04	1.151	1.48	1.272	1.309	1.72	1.34	1.293	1.369	1.389	1.382	1.594	1.337	1.458	1.535	1.525
6.50535	0.08	1.178	0.571	1.096	0.932	0.934	0.934	0.867	0.675	0.862	0.756	1.038	0.86	0.87	0.859	0.87	0.617	1.059	0.959	1.122	1.006	1.087	1.243	1.409	1.301	1.714	1.304	1.316	1.361	1.325	1.461	1.502	1.157	1.567	1.5	1.605
6.67197	0.097	1.453	0.644	1.111	0.976	0.949	0.949	0.854	0.723	0.967	0.829	1.053	0.788	1.003	0.788	0.944	0.635	1.105	1.032	1.167	1.136	1.161	1.347	1.341	1.407	1.817	1.349	1.418	1.38	1.427	1.535	1.518	1.174	1.468	1.602	1.679
6.83869	0.324	1.481	0.617	1.141	1.006	0.98	1.009	0.999	0.689	1.02	0.743	1.198	0.848	0.942	0.817	1.029	0.775	1.247	0.86	1.138	1.166	1.218	1.373	1.308	1.458	1.873	1.406	1.475	1.577	1.455	1.592	1.604	1.259	1.611	1.746	1.679
7.00539	0.213	1.542	0.706	1.144	0.923	1.012	0.954	0.944	0.693	1.052	0.804	1.115	0.879	1.061	0.763	0.917	0.692	1.336	1.036	1.198	1.255	1.25	1.463	1.398	1.462	1.933	1.467	1.565	1.494	1.545	1.624	1.578	1.349	1.614	1.663	1.682
7.17196	0.443	1.655	0.673	1.197	1.149	1.093	1.036	0.969	0.694	1.169	0.858	1.168	0.961	1.061	0.788	0.944	0.692	1.537	0.975	1.311	1.28	1.449	1.318	1.427	1.464	2.047	1.436	1.649	1.524	1.485	1.564	1.719	1.376	1.756	1.689	1.708
7.33874	0.173	1.933	0.664	1.361	1.111	1.084	1.027	1.104	0.712	1.244	0.82	1.216	1.038	1.05	0.865	0.963	0.71	1.526	1.052	1.243	1.386	1.439	1.394	1.503	1.539	2.123	1.599	1.581	1.685	1.59	1.698	1.681	1.538	1.746	1.794	1.784
7.50542	0.241	1.77	0.731	1.283	1.149	1.266	0.949	1.026	0.867	1.37	0.829	1.341	1.076	1.09	0.788	1.088	0.779	1.709	1.032	1.339	1.395	1.362	1.606	1.514	1.666	2.22	1.608	1.591	1.812	1.6	1.794	1.777	1.606	1.9	1.804	1.852
7.6721	0.263	2.023	0.753	1.421	1.229	1.289	1.145	1.02	0.687	1.42	0.852	1.335	1.185	1.14	0.753	1.052	0.8	1.702	0.969	1.39	1.475	1.442	1.34	1.535	1.658	2.3	1.602	1.757	1.718	1.651	1.73	1.799	1.427	2.008	1.884	1.96
7.83872	0.0	2.249	0.635	1.361	1.226	1.372	1.055	1.046	0.769	1.532	0.82	1.389	1.125	1.165	0.692	0.963	0.768	1.9	0.937	1.474	1.53	1.237	1.336	1.589	1.654	2.382	1.685	1.811	1.858	1.677	1.813	1.968	1.682	1.976	2.025	2.043
8.00533	0.5	2.433	0.735	1.432	1.354	1.357	0.954	1.088	0.779	1.599	0.919	1.373	1.224	1.205	0.677	1.004	0.922	2.026	1.036	1.457	1.543	1.595	1.377	1.657	1.721	2.48	1.755	1.967	1.868	1.89	1.941	1.952	1.694	1.988	1.951	2.113
8.17219	0.227	2.592	0.78	1.563	1.371	1.402	1.0	1.076	0.907	1.813	0.82	1.533	1.298	1.391	0.75	1.019	0.821	2.213	0.995	1.617	1.617	1.524	1.363	1.47	1.763	2.552	1.914	1.954	1.997	1.962	2.014	2.111	1.68	2.205	2.024	2.186
8.33869	0.364	2.814	0.827	1.61	1.476	1.535	0.931	1.094	0.844	1.923	0.896	1.581	1.346	1.413	0.683	1.039	0.929	2.235	1.186	1.579	1.779	1.601	1.326	1.492	1.873	2.717	1.934	2.003	1.876	1.983	1.976	2.189	1.672	2.311	2.101	2.292
8.50543	0.22	2.958	0.741	1.812	1.562	1.507	0.931	1.094	0.671	1.951	0.839	1.581	1.432	1.471	0.74	1.125	0.786	2.321	1.042	1.636	1.808	1.63	1.326	1.607	1.959	2.717	1.905	2.147	2.106	2.04	2.12	2.189	1.701	2.426	2.187	2.35
8.67207	0.187	3.156	0.734	1.719	1.757	1.557	0.981	0.972	0.813	2.21	0.832	1.69	1.512	1.439	0.705	1.178	0.869	2.577	1.064	1.746	1.974	1.654	1.322	1.517	1.987	2.857	1.957	2.199	2.161	2.007	2.172	2.385	1.898	2.594	2.355	2.402
8.8388	0.263	3.203	0.753	1.911	1.69	1.519	1.03	1.049	0.975	2.255	0.852	1.766	1.531	1.601	0.782	1.081	0.944	2.739	1.112	1.822	2.108	1.787	1.167	1.593	2.148	3.106	2.178	2.189	2.236	2.256	2.248	2.288	1.974	2.728	2.287	2.623
9.00548	0.795	3.505	0.913	2.128	1.763	1.622	0.845	1.238	0.959	2.412	0.839	1.869	1.691	1.643	0.654	1.125	0.958	3.069	1.042	1.924	2.239	1.803	1.24	1.492	2.16	3.062	2.193	2.319	2.192	2.127	2.206	2.361	1.96	2.743	2.504	2.551
9.17221	0.231	3.631	0.837	2.138	1.917	1.833	0.969	1.132	0.884	2.654	0.935	2.022	1.844	1.597	0.75	1.222	0.883	3.195	1.052	2.02	2.451	1.87	1.336	1.589	2.144	3.361	2.289	2.445	2.318	2.482	2.504	2.659	2.114	2.983	2.428	2.821
9.33882	0.195	3.971	0.827	2.33	1.965	1.736	0.958	1.064	0.879	2.707	1.04	2.128	1.979	1.706	0.769	1.242	1.078	3.449	1.215	2.07	2.557	1.977	1.358	1.813	2.34	3.441	2.396	2.638	2.342	2.417	2.496	2.651	2.222	3.033	2.649	2.755
9.50548	0.328	4.103	0.904	2.32	2.013	1.9	0.892	1.113	0.982	3.098	1.088	2.234	2.056	1.81	0.788	1.174	1.038	3.61	1.292	2.203	2.633	1.967	1.318	1.715	2.53	3.516	2.386	2.685	2.647	2.435	2.601	2.756	2.441	3.08	2.553	2.975
9.6722	0.162	4.252	0.913	2.445	2.195	1.909	0.931	1.181	0.959	3.16	1.098	2.559	2.209	1.873	0.769	1.24	1.016	3.673	1.215	2.269	2.7	1.975	1.211	1.607	2.563	3.752	2.509	2.866	2.623	2.587	2.638	2.879	2.362	3.26	2.676	2.983
9.83883	0.328	4.647	0.965	2.524	2.274	1.989	0.868	1.203	0.923	3.41	1.091	2.61	2.461	1.952	0.82	1.147	1.037	4.039	1.208	2.349	2.952	2.026	1.377	1.657	2.641	3.745	2.589	2.945	2.731	2.896	2.717	3.073	2.499	3.397	2.871	3.292
10.00547	0.324	4.758	0.99	2.751	2.559	2.216	0.865	1.171	1.034	3.693	1.146	2.721	2.544	2.035	0.904	1.202	1.091	4.064	1.263	2.518	3.035	2.138	1.143	1.739	2.752	3.942	2.7	2.912	2.87	2.921	2.8	3.213	2.524	3.566	2.954	3.346
10.1722	0.324	4.959	1.077	2.952	2.616	2.216	1.037	1.229	1.034	3.779	1.261	2.779	2.659	2.092	0.817	1.288	1.005	4.466	1.291	2.632	3.351	2.224	1.316	1.596	2.924	4.258	2.7	3.516	2.985	3.007	2.915	3.415	2.61	3.681	2.954	3.461
10.339	0.331	5.194	1.115	3.19	2.854	2.254	1.019	1.21	1.01	4.184	1.385	2.959	2.724	2.069	0.884	1.296	1.069	4.642	1.387	2.698	3.617	2.375	1.18	1.717	3.043	4.321	2.823	3.236	3.019	3.043	2.951	3.479	2.732	3.802	3.076	3.669
10.50559	0.414	5.62	1.14	3.445	2.994	2.308	0.902	1.15	1.064	4.266	1.238	3.157	3.065	2.266	0.881	1.121	1.094	4.696	1.384	2.924	3.642	2.171	1.119	1.828	3.125	4.432	2.905	3.519	2.958	3.212	2.977	3.648	2.9	3.885	3.331	3.694
10.67221	0.313	5.838	1.239	3.373	3.066	2.407	1.0	1.22	1.079	4.485	1.337	3.401	3.252	2.253	0.894	1.364	1.108	5.172	1.454	3.139	3.915	2.386	1.305	1.757	3.257	4.735	3.092	3.706	3.376	3.255	3.249	3.863	3.03	4.043	3.345	4.025
10.83896	0.421	6.208	1.374	3.768	3.345	2.513	1.018	1.238	1.132	4.943	1.443	3.508	3.474	2.362	0.942	1.298	1.102	5.284	1.675	3.218	4.253	2.378	1.297	1.751	3.368	4.817	3.056	4.045	3.4	3.45	3.443	3.972	3.11	4.181	3.28	4.047
11.00555	0.471	6.395	1.313	3.99	3.597	2.566	1.016	1.265	1.064	5.156	1.554	3.731	3.668	2.41	0.967	1.35	1.008	5.557	1.642	3.469	4.417	2.515	1.262	1.713	3.498	5.063	3.364	3.749	3.446	3.757	3.321	3.935	3.302	4.459	3.36	4.125
11.17223	0.55	6.759	1.478	4.27	4.049	2.646	1.068	1.43	1.085	5.319	1.576	3.953	4.12	2.603	1.047	1.344	1.144	5.72	1.808	3.691	4.812	2.623	1.342	1.763	3.719	5.113	3.357	4.172	3.581	3.807	3.543	4.214	3.467	4.623	3.668	4.519
11.339	0.654	7.291	1.583	4.345	4.181	2.751	1.059	1.278	1.159	5.419	1.624	4.258	4.224	2.706	1.123	1.248	1.161	5.879	1.941	3.909	5.058	2.67	1.36	1.809	4.05	5.387	3.49	4.418	3.741	3.881	3.705	4.518	3.398	4.956	3.744	4.45
11.50572	0.381	7.387	1.656	4.502	4.395	2.709	1.133	1.179	1.115	5.744	1.811	4.329	4.61	2.747	0.967	1.263	1.118	6.349	1.928	4.038	5.272	2.742	1.346	1.737	3.976	5.8	3.647	4.689	3.724	4.067	3.633	4.589	3.555	4.854	3.786	4.607
11.67229	0.603	7.808	1.707	4.839	4.817	2.931	0.984	1.23	0.964	6.165	1.89	4.579	4.86	2.682	1.047	1.342	1.139	6.684	2.007	4.116	5.58	2.849	1.396	1.816	4.11	6.193	3.754	4.825	4.317	4.145	3.94	4.925	3.719	5.047	3.722	4.8
11.83905	0.385	8.423	1.889	5.108	5.087	2.912	1.05	1.412	1.205	6.265	2.187	4.877	5.416	2.923	1.056	1.266	1.236	6.783	2.103	4.5	6.021	2.946	1.349	1.827	4.152	6.12	4.109	5.008	4.273	4.5	3.866	5.051	3.902	5.46	4.134	5.27
12.00573	0.514	8.691	1.99	5.293	5.329	3.099	1.152	1.313	1.103	6.704	2.259	5.205	5.515	3.079	1.044	1.568	1.135	7.338	2.29	4.713	6.463	2.96	1.335	1.869	4.65	6.647	3.893	5.508	4.256	4.485	3.88	5.265	3.973	5.501	4.148	5.511
12.17238	0.457	9.378	2.104	5.494	5.873	3.099	1.124	1.313	1.275	6.961	2.316	5.205	6.059	3.079	1.13	1.339	1.307	7.509	2.376	4.971	6.721	3.017	1.421	1.984	4.65	6.532	4.266	5.336	4.485	4.771	4.137	5.379	4.202	5.701	4.549	5.597
12.33913	0.45	9.408	2.211	5.832	6.241	3.292	1.171	1.275	1.127	7.593	2.337	5.659	6.485	3.361	1.063	1.445	1.416	7.968	2.54	5.081	7.176	3.211	1.528	1.92	4.849	6.988	4.375	5.905	4.711	4.824	4.475	5.719	4.398	6.127	4.428	5.794
12.50577	0.622	9.866	2.469	6.234	6.471	3.435	1.142	1.418	1.155	7.708	2.71	5.974	6.972	3.304	1.178	1.359	1.244	8.254	2.655	5.253	7.778	3.297	1.5	1.92	4.935	7.16	4.346	6.077	4.941	5.139	4.647	6.177	4.312	6.127	4.6	6.109
12.67238	0.718	10.442	2.623	6.471	7.051	3.361	1.27	1.402	1.193	7.911	2.864	6.011	7.351	3.427	1.133	1.428	1.196	8.602	2.694	5.72	8.415	3.393	1.396	1.901	5.255	7.338	4.413	6.371	5.177	5.205	4.771	6.214	4.635	6.45	4.839	6.69
12.83913	0.521	10.692	2.77	7.043	7.65	3.508	1.163	1.409	1.252	8.504	3.096	6.44	7.664	3.599	1.196	1.462	1.285	9.054	2.927	5.776	8.812	3.539	1.486	1.847	5.366	7.793	4.557	6.713	5.232	5.605	4.916	6.47	4.779	6.649	4.726	6.746
13.00577	0.556	11.175	2.863	7.217	7.623	3.687	1.145	1.362	1.085	8.416	3.075	6.958	8.437	3.745	1.205	1.527	1.263	9.052	3.163	5.894	9.099	3.488	1.551	1.824	5.424	7.536	4.877	6.715	5.376	5.751	4.978	6.874	5.097	6.995	5.046	7.12
13.17233	0.875	11.795	3.239	7.857	8.493	3.69	1.258	1.476	1.263	9.321	3.451	7.254	8.736	3.783	1.206	1.472	1.353	9.698	3.424	6.447	9.97	3.607	1.582	1.944	5.809	8.522	4.998	7.098	5.76	5.904	5.299	6.97	5.535	7.177	5.138	7.273
13.3392	0.582	12.07	3.432	8.134	8.999	4.055	1.223	1.412	1.17	9.482	3.729	7.674	9.385	3.803	1.228	1.465	1.546	10.432	3.474	6.867	10.561	3.857	1.747	1.879	6.143	8.655	5.105	7.604	6.18	6.238	5.291	7.333	5.469	7.426	5.216	7.751
13.5057	0.507	12.43	3.757	8.433	9.557	3.951	1.404	1.421	1.267	9.585	3.941	8.145	9.943	3.958	1.323	1.59	1.386	10.619	3.686	7.281	11.292	4.069	1.729	1.976	6.1	8.956	5.431	8.104	5.936	6.509	5.475	7.747	5.682	7.639	5.543	7.764
13.67236	0.614	12.808	4.152	8.804	10.187	4.288	1.336	1.584	1.319	10.391	4.021	8.344	10.631	4.241	1.4	1.524	1.408	11.225	4.052	7.279	11.724	4.063	1.693	2.056	6.559	9.501	5.656	8.246	6.193	6.879	5.814	8.117	5.822	8.383	5.91	8.622
13.83919	0.617	13.455	4.24	9.23	10.868	4.405	1.487	1.504	1.464	10.752	4.767	8.799	11.082	4.355	1.32	1.558	1.468	11.501	4.512	7.706	12.689	4.036	1.811	2.03	6.496	9.809	5.799	9.158	6.418	7.248	5.871	8.457	6.136	8.551	5.968	8.761
14.00576	0.631	13.5	4.794	9.773	11.206	4.361	1.279	1.524	1.331	11.197	5.033	9.143	11.791	4.389	1.367	1.517	1.508	12.12	4.465	8.336	13.281	4.105	1.711	2.098	7.123	9.806	5.579	9.157	7.133	7.394	6.079	8.801	6.14	8.723	6.119	8.876
14.17244	0.635	14.219	4.94	9.978	12.239	4.565	1.396	1.555	1.506	11.602	5.209	9.718	12.51	4.736	1.456	1.606	1.484	12.468	5.154	8.855	14.143	4.366	1.715	2.159	7.242	10.41	6.011	9.19	6.995	7.541	6.283	9.206	6.659	9.07	6.351	9.509
14.33915	0.827	14.464	5.589	10.653	12.713	4.7	1.475	1.635	1.498	12.133	5.6	9.937	13.47	4.642	1.449	1.628	1.676	12.799	5.089	8.931	14.445	4.7	1.879	1.981	7.802	10.685	6.088	9.694	7.242	7.675	6.275	9.738	7.163	9.631	6.657	9.671
14.50585	0.82	14.908	5.666	11.014	13.33	4.835	1.469	1.628	1.49	12.206	6.134	10.412	13.886	4.633	1.357	1.592	1.583	13.187	5.367	9.463	15.689	4.607	1.929	2.002	8.02	10.475	6.336	10.169	7.546	8.522	6.58	9.9	7.297	9.707	6.762	10.631
14.67246	1.103	15.122	6.409	11.592	14.141	5.033	1.491	1.565	1.432	12.62	6.278	10.733	15.012	5.092	1.466	1.616	1.523	13.371	5.995	9.926	16.302	4.749	1.983	2.199	8.171	11.226	6.395	11.576	8.009	8.384	6.953	10.191	7.243	10.027	7.049	11.038
