	MG1655-1	PUTR3-1_1	PUTR4-3_1	PUTR5-6_1	PUTR7-7_1	PUTR8-10_1	cspC-1	proV-1	MG1655-2	PUTR3-1_2	PUTR4-3_2	PUTR5-6_2	PUTR7-7_2	PUTR8-10_2	cspC-2	proV-2	MG1655-3	PUTR3-1_3	PUTR4-3_3	PUTR5-6_3	PUTR7-7_3	PUTR8-10_3	cspC-3	proV-3	yeaR-1	pstS-1	proV_cspC-1	proV_yobF-1	proV_nagC-1	proV_wbbK-1	proV_ptsP-1	proV_ptsP_wbbK-1	yeaR-2	pstS-2	proV_cspC-2	proV_yobF-2	proV_nagC-2	proV_wbbK-2	proV_ptsP-2	proV_ptsP_wbbK-2	yeaR-3	pstS-3	proV_cspC-3	proV_yobF-3	proV_nagC-3	proV_wbbK-3	proV_ptsP-3	proV_ptsP_wbbK-3
1.67149	0.646	0.619	0.168	0.7	0.086	0.365	0.636	0.263	0.721	0.508	0.16	0.64	0.068	0.499	0.708	0.372	0.507	0.687	0.334	0.602	0.027	0.43	1.064	0.558	0.63	0.37	0.846	0.614	0.285	0.814	0.179	0.356	0.436	0.688	0.841	0.757	0.313	0.749	0.206	0.291	0.522	1.052	0.903	0.474	0.13	0.572	0.181	0.139
1.83823	0.555	0.692	0.133	0.692	0.078	0.412	0.763	0.228	0.631	0.471	0.339	0.685	0.06	0.571	0.861	0.364	0.578	0.675	0.379	0.701	0.099	0.584	1.298	0.629	0.538	0.492	0.837	0.712	0.303	0.59	0.17	0.4	0.425	0.678	0.994	0.857	0.304	0.741	0.198	0.282	0.487	0.799	0.813	0.411	0.067	0.537	0.253	0.185
2.00476	0.533	0.746	0.079	0.557	0.158	0.463	0.734	0.334	0.824	0.584	0.371	0.662	0.115	0.492	0.647	0.309	0.421	0.715	0.489	0.731	0.101	0.529	1.248	0.606	0.573	0.454	0.786	0.744	0.305	0.618	0.253	0.379	0.409	0.794	1.077	0.858	0.251	0.633	0.172	0.23	0.435	0.913	0.843	0.495	0.069	0.43	0.12	0.131
2.17148	0.618	0.668	0.163	0.56	0.16	0.304	0.629	0.256	0.665	0.587	0.266	0.638	0.01	0.441	0.731	0.419	0.451	0.665	0.276	0.733	0.131	0.451	1.251	0.582	0.522	0.404	0.789	0.747	0.416	0.783	0.283	0.517	0.413	0.663	0.783	0.726	0.254	0.554	0.148	0.26	0.519	0.808	0.711	0.525	0.099	0.487	0.258	0.296
2.33828	0.545	0.779	0.193	0.563	0.027	0.574	0.737	0.446	0.753	0.567	0.3	0.699	0.203	0.555	0.87	0.421	0.458	0.71	0.307	0.739	0.243	0.562	1.123	0.562	0.478	0.289	0.768	0.673	0.368	0.814	0.478	0.473	0.536	0.702	0.868	0.757	0.257	0.718	0.206	0.266	0.713	0.845	0.744	0.477	0.051	0.545	0.235	0.245
2.50485	0.566	0.611	0.134	0.666	0.021	0.461	0.651	0.278	0.774	0.561	0.213	0.693	0.116	0.549	0.757	0.362	0.479	0.701	0.301	0.733	0.129	0.556	1.063	0.474	0.553	0.416	0.897	0.775	0.281	0.727	0.364	0.385	0.447	0.911	0.808	0.805	0.333	0.632	0.2	0.368	0.491	0.838	0.657	0.525	0.18	0.458	0.202	0.267
2.67159	0.562	0.69	0.185	0.501	0.208	0.54	0.595	0.384	0.771	0.558	0.21	0.609	0.14	0.546	0.646	0.332	0.53	0.589	0.434	0.73	0.072	0.527	1.114	0.471	0.603	0.331	0.678	0.583	0.278	0.724	0.226	0.382	0.497	0.826	0.86	0.802	0.33	0.791	0.278	0.257	0.542	0.862	0.735	0.441	0.123	0.455	0.199	0.264
2.83815	0.584	0.744	0.184	0.69	0.074	0.515	0.624	0.251	0.659	0.526	0.314	0.713	0.085	0.516	0.752	0.306	0.445	0.63	0.432	0.782	0.179	0.527	1.083	0.576	0.488	0.45	0.729	0.633	0.329	0.75	0.277	0.457	0.486	0.871	0.912	0.693	0.248	0.684	0.223	0.254	0.513	0.91	0.705	0.411	0.228	0.481	0.252	0.21
3.00494	0.572	0.671	0.139	0.671	0.027	0.493	0.602	0.392	0.699	0.622	0.246	0.753	0.068	0.582	0.654	0.421	0.701	0.682	0.442	0.603	0.081	0.616	0.988	0.562	0.478	0.425	0.768	0.781	0.368	0.733	0.208	0.5	0.536	0.837	0.868	0.676	0.42	0.826	0.206	0.374	0.577	0.872	0.717	0.45	0.132	0.545	0.289	0.272
3.17157	0.607	0.655	0.177	0.655	0.038	0.451	0.641	0.349	0.735	0.522	0.2	0.734	0.051	0.618	0.637	0.324	0.683	0.766	0.425	0.802	0.037	0.681	1.023	0.624	0.512	0.399	0.804	0.519	0.242	0.851	0.271	0.399	0.486	0.815	0.959	0.74	0.322	0.783	0.324	0.275	0.533	0.852	0.645	0.513	0.087	0.447	0.218	0.256
3.3383	0.62	0.631	0.181	0.793	0.092	0.612	0.775	0.267	0.719	0.534	0.348	0.719	0.164	0.491	0.643	0.324	0.586	0.689	0.567	0.81	0.124	0.575	0.952	0.608	0.584	0.516	0.813	0.721	0.304	0.695	0.28	0.441	0.485	0.809	0.83	0.772	0.299	0.839	0.221	0.256	0.621	0.921	0.627	0.414	0.095	0.56	0.197	0.395
3.50497	0.676	0.771	0.294	0.663	0.126	0.402	0.755	0.328	0.775	0.59	0.268	0.721	0.088	0.549	0.62	0.385	0.507	0.711	0.408	0.759	0.236	0.553	1.09	0.502	0.584	0.482	0.951	0.777	0.389	0.888	0.391	0.523	0.563	0.726	0.807	0.858	0.304	0.845	0.306	0.287	0.517	0.949	0.603	0.471	0.125	0.538	0.228	0.291
3.67171	0.688	0.682	0.204	0.736	0.173	0.478	0.641	0.349	0.653	0.522	0.227	0.762	0.105	0.456	0.556	0.351	0.547	0.577	0.452	0.721	0.064	0.627	1.131	0.678	0.593	0.48	0.75	0.763	0.404	0.77	0.19	0.399	0.513	0.842	0.851	0.74	0.268	0.783	0.27	0.329	0.56	0.933	0.618	0.513	0.195	0.42	0.191	0.31
3.83826	0.72	0.763	0.204	0.601	0.145	0.476	0.612	0.293	0.631	0.499	0.232	0.766	0.16	0.54	0.584	0.35	0.579	0.644	0.481	0.831	0.255	0.654	1.135	0.493	0.573	0.523	0.834	0.632	0.353	0.88	0.301	0.405	0.443	0.716	0.663	0.741	0.295	0.81	0.217	0.386	0.589	0.858	0.567	0.408	0.116	0.529	0.165	0.256
4.00495	0.61	0.765	0.206	0.792	0.365	0.481	0.644	0.433	0.738	0.525	0.285	0.738	0.054	0.729	0.748	0.57	0.47	0.689	0.428	0.805	0.148	0.791	0.891	0.627	0.705	0.484	0.807	0.685	0.326	0.719	0.355	0.456	0.598	0.846	0.773	0.716	0.325	0.867	0.246	0.332	0.536	0.855	0.459	0.435	0.036	0.45	0.14	0.258
4.17168	0.647	0.693	0.188	0.801	0.211	0.407	0.651	0.278	0.612	0.561	0.213	0.855	0.116	0.549	0.594	0.253	0.398	0.512	0.382	0.814	0.129	0.637	0.9	0.61	0.715	0.362	0.762	0.667	0.281	0.727	0.175	0.412	0.366	0.776	0.89	0.805	0.279	0.713	0.2	0.206	0.653	0.838	0.576	0.309	0.099	0.458	0.229	0.24
4.33833	0.655	0.723	0.381	0.777	0.293	0.597	0.679	0.306	0.7	0.596	0.275	0.809	0.174	0.69	0.626	0.363	0.595	0.719	0.414	0.846	0.242	0.748	0.988	0.779	0.645	0.545	0.93	0.864	0.449	0.732	0.397	0.421	0.381	0.815	0.813	0.836	0.282	0.823	0.204	0.238	0.577	0.82	0.528	0.504	0.158	0.543	0.18	0.432
4.50498	0.71	0.674	0.115	0.755	0.3	0.577	0.659	0.367	0.675	0.462	0.168	0.783	0.233	0.666	0.576	0.369	0.488	0.768	0.445	0.823	0.3	0.727	1.126	0.7	0.617	0.456	0.69	0.703	0.209	0.709	0.373	0.341	0.432	0.705	0.817	0.814	0.287	0.721	0.344	0.377	0.58	0.875	0.423	0.48	0.27	0.548	0.238	0.275
4.6717	0.614	0.652	0.229	0.896	0.412	0.579	0.608	0.398	0.713	0.527	0.341	0.821	0.267	0.621	0.556	0.319	0.58	0.599	0.507	0.885	0.362	0.895	1.0	0.764	0.767	0.426	0.78	0.823	0.407	0.662	0.274	0.435	0.423	0.802	0.77	0.712	0.32	0.699	0.296	0.386	0.507	0.888	0.512	0.489	0.143	0.419	0.191	0.308
4.8384	0.705	0.742	0.156	0.85	0.42	0.695	0.642	0.351	0.668	0.591	0.351	0.831	0.357	0.793	0.7	0.299	0.535	0.747	0.434	0.731	0.344	0.768	1.01	0.529	0.669	0.493	0.978	0.832	0.47	0.616	0.229	0.282	0.354	0.894	0.779	0.802	0.302	0.761	0.305	0.313	0.597	0.843	0.521	0.498	0.179	0.482	0.173	0.398
5.00505	0.796	0.655	0.177	0.79	0.579	0.478	0.749	0.295	0.599	0.549	0.282	0.843	0.375	0.861	0.664	0.351	0.547	0.523	0.452	0.883	0.469	0.708	0.888	0.516	0.701	0.426	0.831	0.763	0.404	0.689	0.352	0.372	0.567	0.815	0.797	0.821	0.403	0.892	0.189	0.356	0.479	0.852	0.564	0.459	0.114	0.501	0.11	0.337
5.17167	0.734	0.59	0.274	0.752	0.594	0.466	0.737	0.364	0.618	0.567	0.354	0.943	0.392	0.798	0.87	0.421	0.566	0.547	0.523	0.928	0.46	0.778	0.907	0.535	0.641	0.587	0.849	0.7	0.422	0.652	0.37	0.581	0.536	0.864	0.814	0.892	0.365	0.745	0.341	0.347	0.74	0.845	0.582	0.531	0.186	0.464	0.154	0.353
5.33842	0.653	0.671	0.274	0.833	0.703	0.628	0.602	0.283	0.591	0.459	0.165	0.916	0.473	0.798	0.654	0.664	0.458	0.764	0.361	0.766	0.541	0.859	1.123	0.751	0.614	0.587	0.93	0.781	0.449	0.625	0.316	0.473	0.374	0.756	0.814	0.811	0.338	0.718	0.341	0.347	0.577	0.736	0.582	0.396	0.294	0.545	0.235	0.407
5.50498	0.782	0.693	0.269	0.909	0.859	0.488	0.759	0.224	0.666	0.48	0.159	0.936	0.549	0.657	0.675	0.28	0.533	0.674	0.464	0.895	0.562	0.881	0.819	0.556	0.553	0.497	0.897	0.748	0.362	0.727	0.391	0.385	0.501	0.83	0.863	0.913	0.252	0.659	0.254	0.341	0.491	0.865	0.549	0.471	0.207	0.512	0.283	0.402
5.6717	0.702	0.631	0.181	0.983	0.77	0.53	0.64	0.403	0.584	0.507	0.266	0.963	0.436	0.79	0.697	0.378	0.505	0.608	0.486	0.972	0.612	0.901	0.762	0.499	0.584	0.435	0.975	0.829	0.331	0.667	0.171	0.306	0.567	0.836	0.857	0.718	0.326	0.758	0.302	0.392	0.513	0.596	0.518	0.441	0.176	0.479	0.17	0.395
5.83839	0.74	0.698	0.248	0.942	0.838	0.491	0.79	0.39	0.622	0.599	0.359	0.947	0.611	0.91	0.683	0.392	0.571	0.56	0.417	0.958	0.57	0.968	1.018	0.592	0.594	0.413	0.852	0.813	0.479	0.735	0.4	0.425	0.547	0.818	0.843	0.839	0.312	0.826	0.288	0.323	0.688	0.661	0.53	0.426	0.053	0.383	0.237	0.544
6.00514	0.754	0.687	0.237	1.012	0.881	0.4	0.671	0.38	0.637	0.641	0.238	1.043	0.599	0.898	0.698	0.382	0.504	0.544	0.46	1.108	0.667	0.876	1.141	0.661	0.472	0.559	0.921	0.882	0.521	0.642	0.334	0.493	0.451	0.885	0.913	0.909	0.301	0.653	0.358	0.473	0.676	0.729	0.492	0.468	0.068	0.454	0.225	0.424
6.17173	0.789	0.649	0.171	1.0	0.924	0.608	0.717	0.344	0.728	0.515	0.221	1.052	0.639	1.017	0.658	0.427	0.541	0.569	0.419	0.823	0.625	0.999	0.936	0.699	0.586	0.39	0.744	0.729	0.344	0.71	0.346	0.446	0.397	0.646	0.926	0.788	0.343	0.724	0.399	0.323	0.527	0.548	0.558	0.426	0.189	0.576	0.212	0.547
6.33849	0.685	0.644	0.167	0.888	1.055	0.436	0.627	0.471	0.649	0.518	0.386	1.11	0.611	0.856	0.818	0.392	0.652	0.587	0.417	0.849	0.597	0.968	0.991	0.647	0.567	0.549	0.933	0.813	0.371	0.68	0.319	0.587	0.412	0.71	0.843	0.866	0.285	0.663	0.45	0.323	0.607	0.742	0.53	0.426	0.08	0.492	0.183	0.516
6.5051	0.675	0.631	0.181	1.065	0.933	0.449	0.721	0.321	0.584	0.452	0.212	1.045	0.626	1.034	0.724	0.487	0.424	0.608	0.404	0.945	0.748	0.928	1.115	0.662	0.584	0.516	0.948	0.883	0.304	0.613	0.361	0.604	0.404	0.728	0.83	0.853	0.299	0.704	0.492	0.392	0.54	0.596	0.518	0.414	0.257	0.506	0.17	0.531
6.67192	0.534	0.677	0.282	0.976	1.115	0.602	0.658	0.421	0.66	0.474	0.234	1.013	0.728	0.947	0.772	0.423	0.554	0.636	0.425	0.966	0.633	1.029	1.055	0.385	0.527	0.465	0.915	0.906	0.407	0.687	0.355	0.465	0.431	0.78	0.878	0.819	0.4	0.722	0.349	0.359	0.615	0.646	0.43	0.462	0.115	0.417	0.19	0.55
6.83847	0.624	0.552	0.265	1.067	1.234	0.533	0.724	0.351	0.668	0.455	0.215	1.129	0.71	0.955	0.619	0.327	0.454	0.774	0.434	0.894	0.751	1.175	1.172	0.611	0.533	0.521	0.897	0.886	0.307	0.589	0.256	0.39	0.489	0.84	0.86	0.775	0.329	0.788	0.413	0.341	0.76	0.789	0.548	0.444	0.152	0.482	0.173	0.398
7.00516	0.688	0.587	0.246	1.157	1.08	0.594	0.704	0.44	0.65	0.546	0.279	1.166	0.773	1.019	0.709	0.497	0.545	0.678	0.497	1.039	0.705	1.102	0.856	0.674	0.516	0.534	0.96	0.815	0.425	0.679	0.265	0.319	0.501	0.634	0.842	0.892	0.391	0.769	0.476	0.431	0.714	0.718	0.476	0.426	0.161	0.572	0.263	0.542
7.1719	0.606	0.56	0.327	1.212	1.107	0.622	0.786	0.522	0.65	0.601	0.225	1.139	0.556	1.1	0.709	0.416	0.436	0.596	0.497	1.066	0.76	1.183	1.046	0.512	0.543	0.425	0.906	0.842	0.425	0.597	0.292	0.4	0.446	0.634	0.923	0.81	0.31	0.687	0.34	0.431	0.687	0.69	0.422	0.453	0.107	0.436	0.181	0.542
7.33853	0.685	0.644	0.248	1.105	1.136	0.572	0.763	0.227	0.731	0.518	0.332	1.245	0.773	1.1	0.737	0.555	0.516	0.56	0.661	1.12	0.733	1.158	1.1	0.782	0.675	0.305	1.042	0.732	0.398	0.735	0.319	0.452	0.574	0.791	0.897	0.839	0.366	0.663	0.478	0.296	0.58	0.688	0.53	0.561	0.08	0.411	0.237	0.354
7.5053	0.636	0.787	0.445	1.112	1.225	0.744	0.772	0.372	0.79	0.496	0.445	1.277	0.726	1.295	0.69	0.456	0.576	0.532	0.559	1.18	0.712	1.138	1.159	0.544	0.489	0.356	0.912	0.845	0.431	0.742	0.406	0.51	0.466	0.685	0.958	0.9	0.347	0.645	0.43	0.518	0.64	0.665	0.564	0.54	0.195	0.526	0.163	0.605
7.67188	0.649	0.717	0.375	1.367	1.209	0.51	0.836	0.382	0.775	0.508	0.458	1.154	0.765	1.307	0.783	0.52	0.588	0.629	0.49	1.138	0.751	1.285	1.09	0.583	0.584	0.482	0.87	1.02	0.389	0.672	0.418	0.523	0.536	0.781	0.807	0.858	0.439	0.818	0.442	0.395	0.733	0.678	0.576	0.498	0.152	0.483	0.228	0.373
7.83857	0.596	0.66	0.346	1.393	1.234	0.506	0.778	0.514	0.668	0.455	0.405	1.238	0.764	1.335	0.727	0.489	0.589	0.612	0.651	1.165	0.94	1.473	1.118	0.692	0.533	0.439	0.816	0.832	0.334	0.779	0.337	0.526	0.489	0.731	0.752	0.883	0.302	0.842	0.495	0.341	0.678	0.762	0.467	0.525	0.016	0.482	0.254	0.533
8.00519	0.558	0.547	0.286	1.331	1.39	0.422	0.693	0.293	0.604	0.553	0.448	1.28	0.918	1.406	0.72	0.35	0.552	0.617	0.535	1.129	0.823	1.384	1.081	0.736	0.573	0.306	0.996	0.929	0.38	0.663	0.301	0.486	0.389	0.689	0.826	0.822	0.268	0.675	0.271	0.44	0.589	0.641	0.486	0.489	0.198	0.448	0.138	0.5
8.17189	0.705	0.579	0.482	1.312	1.424	0.668	0.941	0.405	0.641	0.591	0.541	1.238	0.846	1.362	0.809	0.462	0.589	0.612	0.434	1.111	0.778	1.5	0.928	0.611	0.425	0.493	0.897	0.886	0.389	0.535	0.256	0.472	0.435	0.677	0.996	0.937	0.41	0.788	0.468	0.422	0.76	0.762	0.548	0.444	0.26	0.509	0.2	0.533
8.33854	0.858	0.625	0.392	1.357	1.443	0.579	0.716	0.398	0.713	0.446	0.558	1.336	0.837	1.434	0.746	0.373	0.58	0.654	0.751	1.156	0.823	1.627	1.109	0.683	0.686	0.481	0.888	0.823	0.407	0.662	0.355	0.516	0.396	0.721	0.933	0.929	0.375	0.753	0.405	0.386	0.67	0.698	0.594	0.435	0.224	0.555	0.272	0.471
8.5053	0.63	0.666	0.352	1.453	1.348	0.863	0.81	0.438	0.647	0.543	0.547	1.353	0.797	1.559	0.76	0.386	0.623	0.457	0.739	1.117	0.919	1.723	0.934	0.671	0.621	0.366	1.039	0.92	0.395	0.622	0.425	0.478	0.443	0.739	0.948	0.889	0.389	0.847	0.419	0.319	0.521	0.687	0.473	0.423	0.239	0.433	0.178	0.458
8.67199	0.604	0.617	0.546	1.43	1.57	0.518	0.763	0.417	0.704	0.409	0.549	1.489	0.936	1.669	0.71	0.392	0.598	0.506	0.661	1.229	0.814	1.781	1.1	0.565	0.513	0.386	0.933	0.867	0.452	0.735	0.319	0.452	0.493	0.602	0.924	0.92	0.285	0.691	0.396	0.323	0.661	0.661	0.585	0.48	0.161	0.492	0.183	0.516
8.83858	0.601	0.614	0.489	1.373	1.675	0.678	0.787	0.469	0.728	0.433	0.708	1.405	1.014	1.449	0.815	0.552	0.676	0.665	0.712	1.226	0.974	1.778	1.097	0.752	0.645	0.463	0.957	0.891	0.449	0.732	0.397	0.503	0.571	0.707	0.976	0.917	0.445	0.661	0.393	0.455	0.685	0.658	0.446	0.504	0.077	0.57	0.261	0.459
9.00527	0.695	0.423	0.511	1.502	1.831	0.652	0.869	0.442	0.716	0.53	0.694	1.579	1.005	1.679	0.728	0.471	0.583	0.499	0.597	1.216	1.018	1.851	0.924	0.849	0.654	0.4	0.813	0.825	0.332	0.699	0.199	0.46	0.544	0.632	0.861	0.885	0.386	0.768	0.55	0.473	0.624	0.697	0.519	0.495	0.096	0.484	0.282	0.401
9.17204	0.692	0.555	0.589	1.499	1.828	0.542	0.732	0.52	0.713	0.446	0.718	1.63	1.029	1.784	0.725	0.414	0.526	0.576	0.675	1.24	1.015	1.983	1.083	0.657	0.515	0.369	0.891	0.956	0.329	0.696	0.277	0.43	0.567	0.575	1.155	0.882	0.329	0.792	0.493	0.47	0.782	0.829	0.543	0.492	0.174	0.562	0.171	0.56
9.33871	0.682	0.493	0.581	1.706	2.035	0.642	0.913	0.486	0.811	0.409	0.628	1.728	1.02	1.694	0.797	0.487	0.597	0.618	0.962	1.393	1.087	2.055	1.155	0.755	0.586	0.518	0.882	0.974	0.374	0.661	0.403	0.501	0.69	0.78	1.011	0.928	0.321	0.784	0.457	0.461	0.693	0.819	0.535	0.51	0.058	0.473	0.189	0.525
9.50531	0.686	0.549	0.826	1.493	2.038	0.537	0.727	0.515	0.652	0.439	0.766	1.569	1.158	1.859	0.827	0.463	0.735	0.568	0.992	1.369	1.171	2.301	1.185	0.651	0.724	0.387	0.966	0.734	0.458	0.744	0.406	0.504	0.613	0.702	0.852	0.849	0.297	0.868	0.379	0.491	0.777	0.66	0.511	0.513	0.223	0.637	0.246	0.635
9.67189	0.695	0.557	0.673	1.664	2.208	0.463	0.869	0.415	0.716	0.422	0.775	1.741	1.194	2.111	0.809	0.39	0.772	0.634	0.974	1.459	1.18	2.337	1.167	0.714	0.519	0.4	0.948	0.959	0.332	0.753	0.28	0.595	0.625	0.578	0.996	0.804	0.386	0.795	0.55	0.419	0.624	0.697	0.465	0.441	0.15	0.484	0.201	0.536
9.83874	0.773	0.582	0.778	1.876	2.286	0.542	0.866	0.493	0.793	0.446	0.853	1.98	1.272	2.108	0.833	0.468	0.741	0.549	0.971	1.564	1.258	2.388	1.002	0.657	0.596	0.45	0.891	0.821	0.302	0.75	0.331	0.511	0.648	0.737	0.912	1.098	0.302	0.846	0.466	0.416	0.621	0.613	0.382	0.492	0.147	0.481	0.117	0.614
10.00534	0.773	0.717	1.021	1.661	2.421	0.65	0.812	0.412	0.74	0.446	0.88	1.711	1.326	2.162	0.887	0.414	0.607	0.657	0.971	1.564	1.258	2.388	0.948	0.792	0.596	0.45	0.972	0.74	0.41	0.696	0.358	0.592	0.648	0.656	0.993	0.963	0.383	0.684	0.547	0.497	0.621	0.694	0.516	0.492	0.174	0.508	0.252	0.398
10.17204	0.74	0.738	0.853	1.79	2.361	0.591	0.78	0.434	0.652	0.493	0.927	2.028	1.374	2.209	0.881	0.652	0.6	0.487	0.965	1.558	1.36	2.571	1.104	0.597	0.562	0.36	0.939	0.869	0.377	0.744	0.271	0.423	0.532	0.568	0.852	0.849	0.324	0.787	0.568	0.464	0.777	0.687	0.43	0.513	0.142	0.502	0.273	0.447
10.33877	0.817	0.574	1.093	2.11	2.789	0.642	0.805	0.594	0.622	0.517	0.87	2.078	1.425	2.26	0.797	0.541	0.759	0.726	1.205	1.77	1.437	2.783	0.912	0.836	0.559	0.437	1.098	0.866	0.321	0.687	0.403	0.501	0.69	0.78	1.065	0.954	0.375	0.757	0.538	0.488	0.855	0.819	0.615	0.564	0.22	0.554	0.27	0.471
10.50541	0.762	0.73	0.954	1.972	2.814	0.527	0.744	0.425	0.674	0.515	1.193	2.051	1.368	2.394	0.82	0.427	0.676	0.65	1.148	1.822	1.516	2.889	1.206	0.699	0.586	0.417	1.068	0.837	0.506	0.764	0.265	0.608	0.505	0.808	1.007	0.869	0.343	0.778	0.399	0.512	0.689	0.683	0.558	0.453	0.108	0.495	0.293	0.466
10.672	0.707	0.617	1.221	2.023	2.812	0.682	0.819	0.527	0.862	0.567	1.085	2.187	1.474	2.637	0.762	0.745	0.783	0.628	1.335	1.766	1.568	2.996	1.231	0.643	0.56	0.425	1.065	0.917	0.368	0.733	0.316	0.581	0.671	0.62	1.058	0.919	0.338	0.799	0.422	0.428	0.902	0.791	0.501	0.477	0.213	0.545	0.208	0.678
10.83869	0.681	0.649	1.278	2.134	3.03	0.527	0.717	0.344	0.674	0.623	1.139	2.24	1.611	2.637	0.982	0.427	0.622	0.596	1.31	1.876	1.678	3.105	1.017	0.618	0.586	0.336	0.96	0.81	0.317	0.764	0.184	0.473	0.667	0.646	0.872	0.815	0.343	0.724	0.399	0.512	0.851	0.629	0.477	0.534	0.162	0.522	0.212	0.466
