	MG1655-1	OCTA1-9_1	OCTA2-14_1	OCTA5-4_1	OCTA7-2_1	stfE-1	gtrS-1	rlmH-1	MG1655-2	OCTA1-9_2	OCTA2-14_2	OCTA5-4_2	OCTA7-2_2	stfE-2	gtrS-2	rlmH-2	MG1655-3	OCTA1-9_3	OCTA2-14_3	OCTA5-4_3	OCTA7-2_3	stfE-3	gtrS-3	rlmH-3
2.8384	0.478	0.224	0.201	0.161	0.315	0.36	0.246	0.389	0.222	0.128	0.093	0.28	0.306	0.249	0.363	0.359	0.316	0.123	0.245	0.242	0.136	0.224	0.165	0.361
3.00511	0.464	0.294	0.244	0.232	0.245	0.291	0.29	0.349	0.206	0.143	0.137	0.267	0.378	0.208	0.293	0.402	0.354	0.109	0.147	0.228	0.152	0.241	0.208	0.462
3.17179	0.506	0.167	0.173	0.217	0.258	0.219	0.217	0.474	0.278	0.128	0.093	0.252	0.334	0.249	0.392	0.444	0.373	0.151	0.132	0.327	0.165	0.252	0.25	0.418
3.3385	0.524	0.128	0.105	0.235	0.19	0.234	0.403	0.319	0.241	0.145	0.195	0.212	0.322	0.236	0.323	0.347	0.34	0.14	0.149	0.259	0.152	0.182	0.153	0.377
3.50518	0.499	0.16	0.222	0.324	0.25	0.209	0.321	0.407	0.301	0.063	0.113	0.215	0.24	0.183	0.327	0.35	0.345	0.144	0.152	0.263	0.184	0.327	0.242	0.38
3.67189	0.432	0.121	0.183	0.171	0.183	0.2	0.34	0.285	0.233	0.081	0.075	0.29	0.287	0.315	0.373	0.34	0.388	0.077	0.142	0.253	0.089	0.261	0.26	0.371
3.83841	0.379	0.181	0.243	0.203	0.271	0.228	0.284	0.254	0.182	0.168	0.19	0.178	0.344	0.145	0.347	0.454	0.261	0.108	0.115	0.198	0.117	0.259	0.29	0.456
4.00515	0.475	0.164	0.168	0.271	0.281	0.351	0.35	0.32	0.251	0.092	0.115	0.245	0.24	0.182	0.357	0.379	0.218	0.033	0.126	0.209	0.098	0.268	0.187	0.465
4.17187	0.34	0.057	0.147	0.164	0.204	0.218	0.359	1.126	0.228	0.073	0.123	0.168	0.249	0.135	0.422	0.359	0.331	0.154	0.162	0.188	0.165	0.279	0.11	0.446
4.33862	0.482	0.114	0.232	0.136	0.231	0.271	0.385	0.411	0.258	0.184	0.207	0.223	0.275	0.16	0.421	0.385	0.37	0.126	0.189	0.272	0.133	0.217	0.222	0.472
4.50524	0.425	0.057	0.09	0.108	0.118	0.161	0.359	0.331	0.143	0.101	0.095	0.168	0.306	0.164	0.422	0.473	0.331	0.098	0.105	0.103	0.079	0.25	0.11	0.39
4.67184	0.386	0.103	0.164	0.267	0.135	0.262	0.347	0.317	0.247	0.089	0.225	0.213	0.237	0.208	0.496	0.461	0.213	0.03	0.179	0.29	0.123	0.208	0.297	0.405
4.83861	0.532	0.164	0.139	0.186	0.139	0.265	0.265	0.348	0.194	0.092	0.115	0.188	0.24	0.097	0.442	0.464	0.275	0.09	0.126	0.18	0.183	0.268	0.215	0.494
5.00515	0.329	0.132	0.08	0.069	0.194	0.209	0.435	0.208	0.16	0.063	0.0	0.187	0.24	0.126	0.327	0.435	0.232	0.002	0.067	0.149	0.07	0.185	0.27	0.38
5.1719	0.375	0.064	0.126	0.115	0.21	0.31	0.337	0.308	0.093	0.079	0.101	0.175	0.256	0.17	0.429	0.48	0.369	0.105	0.112	0.11	0.114	0.256	0.202	0.311
5.33858	0.39	0.221	0.168	0.186	0.195	0.265	0.379	0.263	0.194	0.121	0.229	0.188	0.268	0.211	0.442	0.407	0.275	0.09	0.126	0.18	0.127	0.268	0.215	0.38
5.50518	0.425	0.142	0.204	0.25	0.118	0.161	0.359	0.331	0.143	0.158	0.095	0.111	0.249	0.135	0.479	0.388	0.161	0.012	0.077	0.103	0.108	0.279	0.195	0.361
5.67188	0.301	0.075	0.107	0.04	0.05	0.319	0.29	0.317	0.162	0.089	0.14	0.1	0.095	0.094	0.439	0.347	0.299	0.087	0.179	0.177	0.095	0.208	0.268	0.405
5.83865	0.4	0.032	0.121	0.111	0.291	0.189	0.445	0.272	0.092	0.102	0.153	0.056	0.193	0.078	0.424	0.389	0.289	0.129	0.136	0.134	0.051	0.191	0.225	0.418
6.00526	0.336	0.196	0.057	0.132	0.226	0.265	0.408	0.432	0.143	0.122	0.145	0.133	0.354	0.21	0.444	0.408	0.318	0.15	0.156	0.211	0.212	0.209	0.16	0.352
6.17203	0.336	0.196	0.171	0.218	0.169	0.179	0.322	0.375	0.114	0.065	0.002	0.161	0.269	0.125	0.387	0.437	0.176	0.065	0.07	0.154	0.069	0.209	0.16	0.494
6.3387	0.479	0.053	0.142	0.161	0.226	0.265	0.408	0.347	0.114	0.036	0.059	0.161	0.212	0.125	0.444	0.408	0.233	0.122	0.127	0.154	0.155	0.209	0.217	0.323
6.50529	0.315	0.061	0.178	0.168	0.261	0.214	0.528	0.296	0.065	0.072	0.237	0.14	0.275	0.046	0.366	0.443	0.157	0.043	0.134	0.161	0.161	0.243	0.252	0.444
6.67195	0.369	0.257	0.202	0.107	0.028	0.122	0.322	0.316	0.092	0.066	0.089	0.106	0.155	0.039	0.418	0.323	0.219	0.01	0.101	0.157	0.04	0.235	0.19	0.38
6.83868	0.429	0.146	0.12	0.111	0.174	0.125	0.44	0.234	0.096	0.155	0.121	0.109	0.215	0.127	0.421	0.441	0.053	0.1	0.075	0.16	0.101	0.181	0.251	0.383
7.00534	0.29	0.179	0.151	0.057	0.319	0.238	0.212	0.26	0.216	0.099	0.152	0.197	0.244	0.155	0.423	0.441	0.268	0.131	0.106	0.134	0.186	0.179	0.195	0.469
7.17211	0.454	0.086	0.23	0.165	0.114	0.236	0.437	0.288	0.234	0.18	0.118	0.163	0.212	0.124	0.418	0.352	0.276	0.153	0.101	0.242	0.097	0.149	0.247	0.266
7.33879	0.447	0.078	0.194	0.129	0.134	0.14	0.428	0.248	0.115	0.114	0.109	0.212	0.26	0.143	0.524	0.428	0.334	0.089	0.121	0.177	0.173	0.253	0.182	0.456
7.50547	0.44	0.186	0.13	0.179	0.098	0.077	0.278	0.328	0.078	0.079	0.103	0.005	0.168	0.08	0.403	0.365	0.296	0.024	0.0	0.17	0.081	0.19	0.204	0.393
7.6721	0.362	0.107	0.109	0.1	0.22	0.169	0.285	0.391	0.2	0.029	0.138	0.126	0.26	0.143	0.524	0.371	0.248	0.117	0.207	0.12	0.116	0.253	0.296	0.485
7.83882	0.351	0.068	0.269	0.147	0.178	0.123	0.326	0.373	0.222	0.129	0.153	0.227	0.301	0.212	0.482	0.471	0.283	0.134	0.136	0.165	0.129	0.234	0.312	0.412
8.0054	0.304	0.193	0.137	0.1	0.191	0.083	0.428	0.248	0.0	0.114	0.195	0.097	0.174	0.0	0.41	0.371	0.163	0.117	0.178	0.092	0.116	0.167	0.153	0.456
8.17209	0.48	0.082	0.141	0.047	0.194	0.172	0.374	0.309	0.033	0.089	0.199	0.101	0.32	0.06	0.413	0.375	0.167	0.092	0.181	0.095	0.205	0.17	0.185	0.317
8.33879	0.33	0.104	0.162	0.125	0.157	0.105	0.479	0.326	0.142	0.109	0.219	0.207	0.253	0.108	0.462	0.451	0.168	0.113	0.116	0.058	0.196	0.187	0.205	0.336
8.50547	0.39	0.107	0.252	0.1	0.134	0.14	0.342	0.334	0.086	0.114	0.138	0.212	0.231	0.143	0.495	0.428	0.163	0.031	0.092	0.12	0.259	0.195	0.182	0.456
8.6723	0.362	0.164	0.051	0.043	0.105	0.055	0.456	0.334	0.086	0.172	0.138	0.212	0.26	0.057	0.524	0.457	0.077	0.089	0.092	0.206	0.116	0.11	0.21	0.456
8.83889	0.354	0.043	0.188	0.093	0.072	0.195	0.424	0.304	0.134	0.224	0.076	0.178	0.285	0.112	0.49	0.453	0.257	0.054	0.144	0.171	0.142	0.223	0.234	0.425
9.00557	0.422	0.11	0.085	0.047	0.14	0.122	0.408	0.375	0.057	0.065	0.23	0.076	0.212	0.039	0.53	0.38	0.261	0.036	0.07	0.126	0.155	0.209	0.217	0.352
9.17211	0.347	0.121	0.153	0.143	0.179	0.132	0.417	0.27	0.126	0.16	0.155	0.143	0.364	0.106	0.454	0.503	0.247	0.132	0.137	0.136	0.136	0.217	0.17	0.361
9.3389	0.294	0.096	0.157	0.033	0.07	0.025	0.309	0.363	0.042	0.109	0.131	0.148	0.341	0.084	0.459	0.367	0.157	0.193	0.114	0.197	0.114	0.14	0.232	0.396
9.50556	0.433	0.15	0.21	0.086	0.179	0.217	0.474	0.299	0.126	0.075	0.098	0.0	0.221	0.106	0.483	0.418	0.19	0.047	0.137	0.164	0.079	0.217	0.255	0.418
9.67233	0.429	0.032	0.092	0.168	0.261	0.214	0.471	0.296	0.065	0.129	0.152	0.083	0.304	0.188	0.451	0.386	0.243	0.072	0.163	0.076	0.161	0.329	0.224	0.444
9.83895	0.415	0.132	0.163	0.068	0.103	0.112	0.256	0.222	0.08	0.142	0.165	0.181	0.288	0.115	0.379	0.513	0.205	0.086	0.09	0.061	0.145	0.169	0.237	0.456
10.00556	0.326	0.214	0.102	0.093	0.186	0.109	0.338	0.447	0.048	0.138	0.105	0.178	0.199	0.112	0.49	0.424	0.172	0.054	0.144	0.0	0.085	0.166	0.177	0.425
10.17225	0.422	0.139	0.084	0.161	0.11	0.147	0.234	0.285	0.059	0.063	0.172	0.074	0.294	0.15	0.5	0.406	0.1	0.064	0.183	0.096	0.18	0.175	0.187	0.349
10.33889	0.287	0.175	0.177	0.111	0.117	0.068	0.44	0.234	0.01	0.098	0.093	0.081	0.215	0.127	0.421	0.526	0.11	0.1	0.104	0.074	0.101	0.181	0.336	0.441
10.5056	0.272	0.217	0.02	0.068	0.103	0.055	0.313	0.364	0.223	0.142	0.108	0.067	0.231	0.115	0.408	0.342	0.262	0.086	0.09	0.089	0.145	0.169	0.237	0.371
10.67227	0.272	0.217	0.077	0.068	0.246	0.141	0.398	0.279	0.137	0.085	0.251	0.096	0.288	0.115	0.493	0.456	0.176	0.0	0.062	0.089	0.174	0.141	0.323	0.513
10.83893	0.426	0.0	0.23	0.107	0.171	0.122	0.408	0.288	0.092	0.095	0.204	0.106	0.297	0.153	0.475	0.437	0.191	0.067	0.072	0.1	0.155	0.264	0.247	0.38
11.00564	0.443	0.16	0.22	0.097	0.246	0.055	0.313	0.307	0.08	0.142	0.193	0.181	0.288	0.115	0.493	0.399	0.176	0.086	0.176	0.061	0.088	0.169	0.323	0.285
11.17227	0.458	0.032	0.233	0.14	0.287	0.092	0.38	0.229	0.098	0.182	0.148	0.136	0.269	0.067	0.42	0.467	0.263	0.128	0.045	0.13	0.126	0.204	0.221	0.294
11.33895	0.276	0.078	0.109	0.1	0.191	0.226	0.342	0.334	0.086	0.0	0.109	0.04	0.231	0.143	0.438	0.428	0.048	0.031	0.035	0.034	0.173	0.281	0.21	0.456
11.50563	0.394	0.082	0.226	0.104	0.223	0.0	0.459	0.309	0.176	0.175	0.227	0.129	0.234	0.146	0.527	0.432	0.225	0.121	0.096	0.124	0.119	0.198	0.3	0.374
11.67227	0.337	0.111	0.169	0.075	0.221	0.025	0.457	0.418	0.149	0.144	0.168	0.127	0.346	0.171	0.526	0.372	0.206	0.063	0.065	0.065	0.231	0.365	0.327	0.314
11.83909	0.383	0.043	0.158	0.064	0.24	0.016	0.275	0.323	0.195	0.134	0.13	0.146	0.536	0.162	0.459	0.448	0.249	0.11	0.198	0.198	0.192	0.27	0.231	0.418
12.00571	0.405	0.121	0.151	0.0	0.233	0.181	0.355	0.26	0.187	0.128	0.209	0.111	0.33	0.155	0.452	0.441	0.182	0.045	0.049	0.134	0.129	0.264	0.281	0.383
12.17244	0.412	0.186	0.273	0.064	0.125	0.187	0.39	0.352	0.052	0.134	0.244	0.146	0.279	0.162	0.544	0.391	0.277	0.11	0.112	0.141	0.278	0.184	0.288	0.304
12.33911	0.566	0.139	0.254	0.161	0.221	0.111	0.543	0.418	0.121	0.287	0.34	0.156	0.289	0.2	0.555	0.572	0.292	0.12	0.151	0.151	0.202	0.308	0.413	0.399
12.50581	0.447	0.193	0.223	0.272	0.22	0.14	0.428	0.334	0.343	0.114	0.195	0.126	0.317	0.143	0.438	0.428	0.305	0.089	0.121	0.12	0.088	0.253	0.268	0.285
12.67243	0.416	0.075	0.161	0.183	0.242	0.273	0.419	0.35	0.172	0.222	0.16	0.09	0.365	0.219	0.489	0.478	0.292	0.141	0.143	0.172	0.221	0.297	0.319	0.505
12.83918	0.365	0.168	0.198	0.218	0.28	0.229	0.459	0.251	0.119	0.118	0.227	0.129	0.32	0.26	0.442	0.489	0.167	0.178	0.21	0.095	0.262	0.341	0.3	0.403
13.00574	0.326	0.186	0.158	0.036	0.326	0.187	0.476	0.352	0.052	0.192	0.215	0.203	0.365	0.362	0.687	0.477	0.106	0.138	0.141	0.055	0.135	0.27	0.231	0.418
13.17245	0.487	0.118	0.148	0.14	0.373	0.064	0.351	0.343	0.126	0.124	0.148	0.107	0.326	0.267	0.506	0.438	0.091	0.042	0.017	0.045	0.183	0.261	0.306	0.58
13.33908	0.454	0.143	0.202	0.165	0.285	0.236	0.351	0.373	0.092	0.18	0.118	0.077	0.383	0.267	0.56	0.466	0.191	0.153	0.072	0.157	0.155	0.235	0.361	0.38
13.50583	0.447	0.164	0.194	0.129	0.277	0.169	0.285	0.306	0.115	0.086	0.195	0.126	0.345	0.143	0.495	0.428	0.248	0.089	0.178	0.12	0.173	0.253	0.296	0.399
13.67248	0.404	0.207	0.096	0.086	0.236	0.303	0.389	0.356	0.126	0.217	0.155	0.171	0.364	0.248	0.74	0.532	0.333	0.218	0.137	0.136	0.221	0.246	0.398	0.447
13.83915	0.304	0.25	0.223	0.186	0.22	0.083	0.37	0.334	0.172	0.2	0.195	0.183	0.345	0.343	0.61	0.486	0.391	0.203	0.121	0.206	0.173	0.338	0.468	0.571
14.00586	0.519	0.207	0.294	0.258	0.318	0.292	0.667	0.513	0.218	0.212	0.236	0.137	0.499	0.209	0.479	0.525	0.22	0.217	0.219	0.133	0.297	0.317	0.394	0.524
14.17249	0.398	0.2	0.0	0.136	0.254	0.372	0.374	0.278	0.21	0.148	0.172	0.074	0.292	0.375	0.701	0.576	0.268	0.124	0.069	0.212	0.205	0.311	0.387	0.431
14.3393	0.383	0.157	0.33	0.179	0.384	0.077	0.364	0.328	0.078	0.165	0.303	0.176	0.453	0.365	0.488	0.45	0.239	0.167	0.085	0.113	0.196	0.275	0.375	0.393
14.50591	0.459	0.175	0.118	0.054	0.342	0.285	0.432	0.534	0.159	0.264	0.288	0.075	0.378	0.317	0.589	0.605	0.34	0.241	0.271	0.157	0.262	0.423	0.533	0.46
14.67261	0.301	0.304	0.162	0.154	0.243	0.248	0.364	0.441	0.142	0.224	0.133	0.207	0.368	0.279	0.548	0.566	0.082	0.199	0.116	0.202	0.224	0.302	0.463	0.565
14.83923	0.459	0.233	0.29	0.197	0.428	0.113	0.489	0.391	0.245	0.091	0.202	0.276	0.493	0.403	0.675	0.605	0.168	0.155	0.243	0.157	0.234	0.51	0.504	0.431
15.00594	0.369	0.315	0.257	0.193	0.281	0.368	0.515	0.359	0.184	0.088	0.256	0.1	0.461	0.4	0.643	0.602	0.336	0.094	0.182	0.182	0.345	0.478	0.501	0.371
15.1726	0.444	0.218	0.276	0.097	0.271	0.187	0.39	0.35	0.144	0.136	0.189	0.234	0.308	0.419	0.575	0.621	0.206	0.141	0.086	0.086	0.307	0.498	0.663	0.419
15.33927	0.613	0.272	0.042	0.122	0.266	0.209	0.442	0.314	0.171	0.159	0.27	0.171	0.417	0.413	0.599	0.644	0.24	0.08	0.167	0.11	0.272	0.432	0.63	0.47
15.50596	0.38	0.269	0.211	0.262	0.348	0.292	0.324	0.483	0.195	0.328	0.295	0.168	0.471	0.438	0.653	0.641	0.322	0.105	0.249	0.164	0.412	0.401	0.597	0.38
15.67264	0.369	0.229	0.315	0.165	0.338	0.225	0.572	0.388	0.098	0.232	0.256	0.1	0.461	0.486	0.672	0.631	0.336	0.238	0.153	0.096	0.403	0.478	0.616	0.428
15.8392	0.477	0.193	0.221	0.272	0.215	0.301	0.362	0.32	0.178	0.252	0.276	0.034	0.423	0.448	0.606	0.565	0.336	0.173	0.116	0.088	0.364	0.41	0.637	0.562
16.00598	0.491	0.208	0.206	0.201	0.373	0.4	0.634	0.389	0.194	0.351	0.29	0.191	0.522	0.461	0.678	0.722	0.356	0.13	0.273	0.217	0.435	0.537	0.794	0.575
16.17257	0.469	0.186	0.387	0.35	0.384	0.305	0.535	0.471	0.193	0.165	0.303	0.205	0.453	0.451	0.603	0.565	0.21	0.196	0.2	0.113	0.453	0.447	0.803	0.45
16.33931	0.411	0.242	0.217	0.321	0.357	0.309	0.481	0.561	0.219	0.224	0.247	0.235	0.427	0.511	0.661	0.624	0.428	0.168	0.144	0.171	0.484	0.537	0.69	0.425
16.50595	0.511	0.342	0.202	0.279	0.37	0.464	0.551	0.459	0.092	0.237	0.346	0.249	0.526	0.581	0.675	0.637	0.362	0.096	0.158	0.157	0.497	0.435	0.875	0.437
16.67274	0.529	0.246	0.191	0.239	0.474	0.284	0.598	0.45	0.223	0.313	0.336	0.296	0.488	0.514	0.835	0.684	0.262	0.228	0.148	0.175	0.516	0.511	0.922	0.542
16.83934	0.54	0.228	0.202	0.25	0.428	0.321	0.551	0.402	0.177	0.266	0.346	0.249	0.526	0.609	0.846	0.694	0.219	0.153	0.243	0.271	0.583	0.606	0.875	0.58
17.00598	0.572	0.232	0.263	0.254	0.518	0.442	0.671	0.524	0.208	0.385	0.237	0.254	0.646	0.644	0.708	0.842	0.414	0.129	0.134	0.304	0.56	0.585	0.822	0.558
17.17279	0.564	0.338	0.285	0.303	0.425	0.379	0.579	0.461	0.2	0.293	0.259	0.218	0.639	0.723	0.701	0.664	0.347	0.15	0.127	0.154	0.497	0.579	0.929	0.608
17.33947	0.49	0.349	0.21	0.343	0.55	0.36	0.617	0.441	0.154	0.303	0.269	0.228	0.649	0.733	0.74	0.674	0.447	0.218	0.137	0.136	0.677	0.617	0.94	0.618
17.50603	0.551	0.296	0.241	0.461	0.666	0.388	0.532	0.639	0.189	0.276	0.299	0.287	0.678	0.762	0.742	0.818	0.319	0.192	0.196	0.167	0.849	0.729	1.028	0.647
17.67271	0.504	0.192	0.253	0.385	0.45	0.376	0.404	0.685	0.282	0.233	0.312	0.243	0.664	0.834	0.697	0.69	0.257	0.147	0.238	0.236	0.921	0.69	1.011	0.719
17.83941	0.437	0.239	0.241	0.347	0.466	0.331	0.503	0.554	0.332	0.362	0.356	0.173	0.793	0.876	0.656	0.876	0.377	0.192	0.168	0.253	0.935	0.701	1.228	0.59
18.00619	0.504	0.221	0.281	0.414	0.593	0.632	0.49	0.515	0.225	0.403	0.398	0.243	0.75	0.891	0.954	0.861	0.314	0.147	0.152	0.208	0.978	0.861	1.182	0.605
18.17273	0.525	0.328	0.359	0.521	0.785	0.366	0.595	0.561	0.476	0.253	0.247	0.349	0.827	1.024	0.918	0.71	0.457	0.168	0.144	0.171	1.112	0.879	1.26	0.653
18.33944	0.575	0.349	0.352	0.428	0.521	0.388	0.588	0.698	0.126	0.246	0.326	0.228	0.734	1.075	0.74	0.874	0.333	0.132	0.166	0.25	1.162	0.93	1.196	0.618
18.50608	0.468	0.185	0.445	0.492	0.671	0.455	0.597	0.622	0.302	0.311	0.306	0.265	0.8	1.169	0.776	0.825	0.389	0.31	0.231	0.229	1.313	0.912	1.26	0.684
18.67278	0.518	0.235	0.181	0.514	0.692	0.531	0.702	0.612	0.154	0.388	0.497	0.342	0.848	1.132	0.882	0.788	0.333	0.161	0.166	0.222	1.504	1.016	1.453	0.703
18.83949	0.571	0.374	0.178	0.481	0.775	0.531	0.73	0.784	0.291	0.188	0.239	0.397	0.904	1.273	0.709	0.815	0.403	0.129	0.107	0.191	1.587	1.016	1.42	0.845
19.00629	0.55	0.324	0.327	0.46	0.867	0.594	0.822	0.619	0.213	0.365	0.245	0.319	0.967	1.365	0.772	0.936	0.413	0.136	0.199	0.226	1.793	1.108	1.456	0.795
19.17273	0.65	0.253	0.37	0.674	0.853	0.635	0.749	0.631	0.228	0.236	0.316	0.503	1.152	1.521	0.872	1.035	0.347	0.207	0.298	0.211	2.12	1.206	1.556	0.893
19.33954	0.593	0.224	0.455	0.645	0.853	0.607	0.522	0.688	0.2	0.321	0.344	0.418	1.18	1.606	0.9	1.035	0.347	0.236	0.241	0.297	2.291	1.206	1.613	0.978
19.50616	0.572	0.317	0.292	0.71	0.888	0.642	0.756	0.723	0.236	0.3	0.237	0.425	1.159	1.613	0.879	1.184	0.499	0.157	0.163	0.247	2.555	1.269	1.82	0.814
19.6729	0.564	0.253	0.455	0.674	0.966	0.521	0.692	0.717	0.2	0.378	0.344	0.503	1.351	1.777	0.786	0.949	0.404	0.207	0.241	0.325	2.89	1.348	1.727	0.893
19.83956	0.529	0.36	0.391	0.781	1.187	0.654	0.798	0.906	0.223	0.398	0.422	0.381	1.372	1.969	0.978	1.255	0.433	0.143	0.319	0.346	3.226	1.481	1.891	0.799
20.00633	0.486	0.346	0.263	0.795	1.23	0.67	0.842	0.837	0.293	0.3	0.266	0.539	1.387	2.155	0.907	1.327	0.414	0.157	0.134	0.389	3.524	1.469	1.962	0.871
20.17292	0.615	0.36	0.363	0.895	1.33	0.74	0.769	0.849	0.251	0.398	0.365	0.723	1.571	2.169	1.007	1.255	0.29	0.257	0.176	0.403	3.996	1.652	1.977	0.998
20.33968	0.575	0.235	0.295	0.856	1.433	0.645	0.759	0.897	0.411	0.331	0.411	0.456	1.818	2.329	1.053	1.33	0.361	0.246	0.166	0.421	4.383	1.728	2.137	0.874
20.50624	0.525	0.442	0.359	0.949	1.697	0.908	0.794	0.989	0.305	0.395	0.418	0.72	2.053	2.507	1.174	1.337	0.428	0.253	0.23	0.485	4.933	1.82	2.059	1.052
20.67292	0.668	0.413	0.302	1.034	1.868	0.908	0.794	0.903	0.248	0.338	0.333	0.634	2.053	2.621	1.089	1.479	0.371	0.225	0.258	0.428	5.475	1.934	2.344	1.081
20.83957	0.636	0.239	0.469	0.975	1.837	0.845	0.903	0.925	0.332	0.276	0.556	0.659	2.278	2.704	1.085	1.532	0.377	0.192	0.196	0.538	5.99	2.129	2.428	1.075
21.00627	0.662	0.293	0.437	1.087	2.207	0.953	0.898	1.061	0.445	0.357	0.237	0.769	2.475	2.815	1.138	1.528	0.525	0.217	0.277	0.477	6.478	2.066	2.569	1.098
21.17307	0.799	0.315	0.401	1.169	2.317	1.028	0.859	1.105	0.327	0.432	0.428	0.789	2.698	3.096	1.102	1.692	0.422	0.324	0.239	0.613	7.258	2.342	2.767	1.145
21.33961	0.674	0.333	0.39	1.215	2.564	1.018	0.849	1.153	0.344	0.336	0.361	0.864	2.945	3.315	1.235	1.739	0.493	0.227	0.172	0.602	7.932	2.447	2.698	1.336
21.50636	0.605	0.293	0.294	1.49	2.667	1.066	1.011	1.229	0.304	0.326	0.494	0.882	3.22	3.332	1.253	1.986	0.45	0.217	0.247	0.591	8.634	2.609	2.744	1.297
21.67308	0.63	0.289	0.348	1.484	3.175	1.236	1.095	1.229	0.355	0.296	0.377	0.994	3.329	3.555	1.192	1.897	0.406	0.185	0.217	0.645	9.162	2.721	3.08	1.467
21.83972	0.744	0.204	0.319	1.484	3.461	1.322	1.152	1.372	0.584	0.439	0.377	0.908	3.701	4.013	1.249	1.982	0.492	0.213	0.217	0.731	9.905	2.806	2.937	1.467
22.00629	0.608	0.268	0.384	1.775	3.694	1.33	0.989	1.353	0.417	0.447	0.385	1.058	4.048	3.989	1.37	2.161	0.377	0.249	0.168	0.852	10.902	3.071	3.313	1.618
22.17305	0.79	0.364	0.48	1.786	4.249	1.483	0.799	1.42	0.458	0.343	0.395	1.098	4.403	4.058	1.295	2.229	0.505	0.289	0.178	0.72	11.462	3.425	3.325	1.542
