	MG1655-1	ADIP1-9_1	ADIP4-8_1	ADIP6-3_1	ADIP8-3_1	kgtP-1	proV-1	ybjL-1	MG1655-2	ADIP1-9_2	ADIP4-8_2	ADIP6-3_2	ADIP8-3_2	kgtP-2	proV-2	ybjL-2	MG1655-3	ADIP1-9_3	ADIP4-8_3	ADIP6-3_3	ADIP8-3_3	kgtP-3	proV-3	ybjL-3	kgtP_proV-1	kgtP_ybjL-1	kgtP_sspA-1	kgtP_proV_ybjL-1	ADIP3-2_4	ADIP4-1_4	ADIP3-2_5	ADIP4-1_5	kgtP_proV-2	kgtP_ybjL-2	kgtP_sspA-2	kgtP_proV_ybjL-2	ADIP3-4_4	ADIP7-2_4	ADIP3-4_5	ADIP7-2_5	kgtP_proV-3	kgtP_ybjL-3	kgtP_sspA-3	kgtP_proV_ybjL-3	ADIP3-8_4	ADIP7-5_4	ADIP3-8_5	ADIP7-5_5
11.00567	0.796	8.968	5.992	4.103	6.075	1.019	0.685	1.194	1.074	0.855	5.914	4.251	2.451	1.021	0.476	1.155	0.796	9.425	5.622	4.425	2.666	1.169	0.604	1.173	1.393	0.958	0.439	2.893	0.764	0.699	1.035	0.542	1.119	0.732	0.783	1.405	0.442	1.961	0.672	1.32	1.652	1.337	0.384	2.247	5.111	8.468	0.878	1.871
11.1724	0.741	9.862	6.541	4.652	6.538	0.993	0.573	1.254	1.049	0.772	6.348	4.369	2.54	1.225	0.479	1.186	0.799	10.119	6.142	4.859	2.841	1.401	0.722	1.262	1.453	0.99	0.442	3.068	0.796	0.702	1.124	0.718	1.265	0.822	0.901	1.494	0.444	1.935	0.617	1.409	1.684	1.254	0.387	2.337	5.832	8.472	1.053	1.989
11.33901	0.73	9.499	6.868	4.551	6.436	1.096	0.59	1.329	1.065	0.76	6.503	4.698	2.614	1.07	0.497	1.146	0.788	10.699	6.412	4.929	2.828	1.475	0.709	1.25	1.555	0.975	0.429	3.112	0.782	0.691	1.197	0.561	1.281	0.865	0.945	1.653	0.462	1.924	0.577	1.512	1.844	1.241	0.29	2.323	5.9	9.057	0.87	1.976
11.50571	0.801	9.819	7.106	4.963	6.902	1.083	0.633	1.258	1.193	0.831	7.083	5.194	2.769	1.2	0.483	1.219	0.888	11.016	6.62	5.195	2.925	1.232	0.837	1.35	1.454	1.043	0.5	3.123	0.736	0.819	1.096	0.544	1.408	0.932	0.842	1.551	0.505	1.909	0.591	1.496	1.743	1.397	0.362	2.422	6.536	9.836	0.941	2.074
11.67243	0.905	11.022	7.704	5.185	7.128	1.185	0.679	1.246	1.039	0.849	7.281	5.218	2.875	1.36	0.614	1.264	0.876	11.708	7.018	5.449	3.06	1.421	0.798	1.368	1.53	1.151	0.49	3.373	0.757	0.607	1.172	0.564	1.342	0.782	0.948	1.656	0.522	1.926	0.666	1.572	1.818	1.416	0.379	2.499	6.735	10.322	0.958	2.351
11.83906	0.885	11.238	8.261	5.655	7.341	1.251	0.602	1.34	0.963	0.829	7.925	5.574	2.913	1.311	0.508	1.243	0.799	11.724	7.347	5.862	3.329	1.429	0.951	1.348	1.711	1.133	0.614	3.412	0.853	0.845	1.21	0.804	1.38	1.051	0.987	1.838	0.473	1.964	0.76	1.581	1.856	1.512	0.387	2.537	7.065	10.422	1.053	2.304
12.00572	0.902	11.361	8.587	5.812	7.553	1.268	0.848	1.272	1.036	0.817	8.079	5.959	3.101	1.357	0.554	1.089	0.73	12.791	7.702	6.018	3.315	1.332	0.852	1.422	1.641	1.204	0.515	3.714	0.868	0.776	1.169	0.79	1.539	0.951	1.031	1.624	0.433	2.038	0.663	1.655	1.959	1.671	0.29	2.61	7.647	10.575	0.87	2.348
12.17249	0.827	12.041	9.15	6.343	7.943	1.279	0.659	1.283	1.077	0.772	8.441	6.204	3.286	1.311	0.422	1.358	0.742	13.473	8.694	6.522	3.673	1.515	0.865	1.462	1.654	1.305	0.614	3.756	1.025	0.874	1.439	0.574	1.695	1.051	1.044	1.896	0.559	2.107	0.588	1.753	1.971	1.57	0.301	2.595	7.667	11.454	0.967	2.534
12.33909	1.039	12.411	9.38	6.52	8.489	1.349	0.728	1.381	1.059	0.812	9.158	6.294	3.266	1.437	0.549	1.399	0.725	13.61	8.638	6.868	3.737	1.469	0.961	1.33	1.864	1.197	0.567	3.878	1.033	0.771	1.277	0.64	1.532	1.058	1.139	1.961	0.542	2.118	0.657	1.82	1.953	1.664	0.37	2.832	8.325	11.453	0.978	2.599
12.50586	0.842	13.674	9.89	6.765	9.113	1.351	0.759	1.411	1.179	0.873	9.899	6.569	3.475	1.411	0.521	1.372	0.899	14.364	9.206	7.261	3.863	1.674	0.91	1.391	1.899	1.41	0.629	4.119	0.986	0.889	1.311	0.677	1.711	1.098	1.061	1.999	0.545	2.122	0.631	1.798	2.014	1.672	0.315	2.382	8.725	12.254	0.981	2.723
12.67241	1.065	13.837	10.149	7.203	8.8	1.432	0.839	1.521	1.199	0.895	10.07	7.235	3.434	1.434	0.575	1.539	1.037	14.778	9.864	7.322	4.163	1.667	0.843	1.499	1.861	1.394	0.649	4.39	1.029	0.911	1.417	0.866	1.758	1.226	1.049	2.158	0.453	2.115	0.568	1.989	2.121	1.804	0.281	2.399	9.093	12.279	1.033	2.596
12.83914	1.083	13.899	10.636	7.687	9.659	1.535	0.685	1.481	1.218	0.826	10.758	7.29	3.856	1.48	0.591	1.413	0.968	15.445	10.008	7.922	4.271	1.742	1.063	1.546	1.966	1.56	0.668	4.24	1.108	0.871	1.522	0.829	1.778	1.22	1.213	2.236	0.614	2.219	0.7	2.094	2.226	1.853	0.47	2.62	9.697	13.227	1.165	2.874
13.0058	0.973	15.171	11.399	7.51	9.191	1.512	0.547	1.545	1.136	0.831	11.061	7.57	4.029	1.514	0.541	1.476	0.859	15.91	10.627	7.914	4.384	1.747	1.037	1.493	2.198	1.558	0.672	4.726	1.223	0.905	1.496	0.716	1.838	1.219	1.272	2.409	0.533	2.195	0.677	2.097	2.316	1.969	0.362	2.679	10.485	13.47	1.142	2.875
13.17244	1.145	15.228	11.914	7.853	10.165	1.712	0.662	1.602	1.222	0.746	11.577	8.285	4.143	1.629	0.569	1.591	1.117	16.94	10.97	8.773	4.47	1.804	0.751	1.665	2.198	1.615	0.586	4.926	1.223	0.991	1.582	0.801	2.009	1.362	1.186	2.581	0.591	2.367	0.591	2.154	2.401	1.998	0.39	2.822	10.857	13.642	1.199	3.018
13.33912	1.013	16.565	12.169	7.914	10.193	1.581	0.931	1.7	1.289	0.871	12.231	8.63	4.037	1.669	0.525	1.602	1.214	17.186	11.54	8.802	4.676	1.815	0.76	1.561	2.179	1.678	0.568	4.989	1.259	0.973	1.677	0.781	2.018	1.282	1.194	2.474	0.431	2.349	0.746	2.164	2.526	2.178	0.259	2.888	11.31	15.01	1.181	3.111
13.50586	1.19	17.121	13.066	8.78	10.746	1.615	0.822	1.791	1.267	0.877	12.814	8.525	4.53	1.846	0.558	1.608	1.191	17.686	11.922	9.126	4.856	1.878	1.024	1.767	2.357	1.771	0.631	5.512	1.266	0.979	1.741	0.931	2.11	1.518	1.344	2.796	0.494	2.412	0.723	2.342	2.475	2.299	0.293	3.152	12.15	15.451	1.301	3.204
13.6726	1.213	17.508	13.684	9.085	11.022	1.666	0.702	1.871	1.289	0.871	12.774	9.344	4.694	1.869	0.553	1.745	1.014	19.101	12.712	9.459	5.334	1.929	0.76	1.847	2.293	1.792	0.739	5.647	1.373	0.973	1.82	1.038	2.247	1.596	1.365	2.817	0.574	2.492	0.803	2.421	2.697	2.349	0.374	3.231	12.253	15.725	1.296	3.511
13.83918	1.366	18.298	13.994	9.544	11.049	1.735	0.713	1.854	1.271	0.882	13.198	9.887	4.53	1.852	0.651	1.757	1.111	19.63	13.25	9.829	5.139	2.14	1.056	2.0	2.502	1.94	0.721	5.737	1.352	1.155	2.001	0.846	2.312	1.574	1.431	2.967	0.414	2.417	0.786	2.487	2.793	2.414	0.271	3.153	12.989	16.004	1.278	3.347
14.00578	1.184	19.109	14.027	9.943	11.565	1.781	0.702	1.986	1.289	0.871	14.346	9.945	4.98	2.041	0.582	1.688	1.214	20.188	13.455	10.231	5.334	2.158	0.76	1.876	2.55	1.964	0.739	5.847	1.545	1.23	2.02	1.01	2.361	1.768	1.594	2.989	0.431	2.521	0.746	2.507	2.726	2.435	0.288	3.317	13.711	16.868	1.353	3.683
14.17259	1.192	19.548	15.187	10.538	11.9	1.903	0.739	1.937	1.239	0.793	14.249	10.681	5.297	1.991	0.534	1.811	1.022	20.251	14.072	10.88	5.592	2.165	0.881	2.026	2.784	2.022	0.689	6.39	1.662	1.067	2.083	0.928	2.48	1.656	1.513	3.135	0.639	2.471	0.697	2.626	2.875	2.668	0.268	3.606	14.068	17.34	1.475	3.743
14.33914	1.421	20.432	15.187	10.881	12.328	1.932	0.682	1.852	1.296	0.908	15.105	10.967	5.211	2.049	0.534	1.811	1.079	20.936	14.5	11.48	6.048	2.394	0.91	1.94	2.87	2.108	0.775	6.761	1.605	1.067	2.426	0.985	2.508	1.912	1.57	3.335	0.497	2.756	0.64	2.74	2.932	2.782	0.325	3.635	14.724	18.31	1.589	4.0
14.50593	1.249	20.918	15.444	11.08	12.671	2.017	0.711	2.194	1.353	0.793	16.19	11.509	5.81	2.134	0.791	2.096	1.079	22.077	15.413	12.193	6.048	2.422	1.224	2.169	2.956	2.279	0.689	6.846	1.919	1.209	2.426	1.071	2.651	1.941	1.598	3.335	0.639	2.728	0.811	2.655	3.189	3.039	0.325	3.892	14.981	18.881	1.503	4.0
14.67249	1.39	21.353	16.04	11.954	13.148	2.072	0.851	2.077	1.495	1.02	15.702	12.099	5.874	2.304	0.587	2.008	1.22	22.661	15.411	12.614	6.571	2.536	0.824	2.282	3.072	2.515	0.974	7.342	1.981	1.351	2.656	1.217	2.768	2.119	1.773	3.882	0.522	2.698	0.837	2.999	3.19	2.899	0.351	4.181	15.753	19.368	1.673	4.062
14.83925	1.352	21.973	16.134	12.515	13.476	2.091	0.728	2.382	1.54	0.867	15.794	12.372	6.08	2.179	0.638	1.999	1.267	23.615	15.503	13.027	6.545	2.581	0.811	2.156	3.17	2.377	0.705	7.714	2.075	1.226	2.697	1.085	2.837	2.011	1.756	3.862	0.628	2.83	0.686	3.041	3.262	3.281	0.229	4.105	15.897	19.939	1.634	4.156
15.00589	1.44	22.523	16.311	13.205	13.795	2.094	0.816	2.214	1.515	0.785	16.057	13.062	6.284	2.525	0.697	2.173	1.27	24.707	16.108	13.831	7.063	2.641	0.729	2.33	3.43	2.638	0.851	7.889	2.107	1.457	2.957	1.089	3.04	2.329	1.902	4.008	0.488	3.004	0.717	3.13	3.351	3.256	0.317	4.394	16.845	20.059	1.751	4.274
15.17259	1.44	23.407	16.824	13.091	14.28	2.38	0.702	2.642	1.629	0.842	16.399	13.918	6.369	2.354	0.555	2.088	1.327	25.021	16.394	14.773	6.949	2.727	1.071	2.416	3.602	2.695	0.965	8.46	2.279	1.543	3.186	1.117	3.382	2.5	1.845	4.436	0.574	3.09	0.774	3.244	3.607	3.37	0.346	4.708	17.444	20.887	1.837	4.16
15.33931	1.554	24.205	17.167	13.918	14.451	2.465	0.73	2.442	1.772	0.984	16.171	14.374	6.797	2.553	0.612	2.259	1.441	25.705	16.479	14.773	7.148	2.983	0.872	2.445	3.858	2.809	0.794	8.317	2.421	1.457	3.357	1.117	3.411	2.557	1.987	4.465	0.545	3.061	0.774	3.301	3.778	3.57	0.317	4.737	18.014	21.029	1.922	4.587
15.50601	1.575	24.088	16.724	14.728	15.491	2.572	0.836	2.691	1.794	0.777	16.043	15.043	6.74	2.46	0.745	2.565	1.519	25.565	16.095	15.529	7.521	2.949	0.894	2.552	3.797	2.923	0.958	8.949	2.619	1.393	3.639	1.142	3.493	2.613	2.041	4.663	0.565	3.197	0.737	3.439	3.859	3.796	0.28	5.077	18.492	20.792	2.172	4.614
15.67261	1.585	25.254	18.286	15.402	15.223	2.667	0.816	2.757	1.718	0.928	15.69	15.947	7.295	2.669	0.639	2.46	1.443	26.276	15.742	16.348	7.906	3.13	0.846	2.533	3.922	3.193	0.882	9.82	2.831	1.602	3.65	1.381	3.533	2.683	2.109	4.675	0.659	3.435	0.746	3.679	4.041	3.95	0.288	5.26	18.913	21.127	2.267	4.655
15.83929	1.724	25.418	17.051	15.997	15.503	2.835	0.842	2.869	1.886	0.868	15.941	16.57	7.462	2.752	0.808	2.457	1.44	26.21	16.679	16.941	8.33	3.327	0.9	2.787	4.233	3.36	1.079	10.301	3.055	1.713	4.275	1.32	3.701	2.936	2.191	5.071	0.685	3.375	0.714	3.789	4.066	4.146	0.371	5.685	19.992	21.863	2.379	4.965
16.00605	1.658	25.308	16.947	16.693	15.971	2.74	0.89	2.831	1.791	0.974	16.551	16.808	7.764	2.743	0.571	2.648	1.459	26.442	16.86	17.265	8.574	3.402	1.062	2.835	4.337	3.404	0.898	10.657	3.215	1.847	4.406	1.395	3.775	3.124	2.18	5.488	0.591	3.537	0.791	3.864	4.227	4.106	0.277	5.987	19.912	21.328	2.683	5.039
16.17258	1.652	25.749	17.563	17.223	16.501	3.077	0.97	2.911	1.87	0.996	16.025	16.938	7.813	3.022	0.737	2.784	1.625	27.281	16.818	16.966	8.821	3.396	1.084	2.971	4.558	3.567	1.035	11.39	3.378	1.783	4.599	1.56	4.111	2.944	2.201	5.736	0.642	3.702	0.871	3.914	4.192	4.213	0.414	6.15	21.268	21.942	2.677	5.202
16.3394	1.765	26.251	17.447	16.821	16.843	2.933	0.911	3.31	2.013	0.994	16.251	16.852	8.023	3.222	0.761	2.926	1.709	28.304	16.361	17.225	9.15	3.568	1.199	3.086	4.705	3.691	1.006	11.35	3.672	2.04	4.89	1.478	4.202	3.238	2.463	6.06	0.668	3.788	0.84	4.147	4.537	4.562	0.296	6.559	21.795	22.178	2.877	5.41
16.50597	1.918	26.23	17.41	16.785	17.234	3.4	0.751	3.234	2.08	1.005	16.386	16.786	8.482	3.289	0.831	3.108	1.805	26.85	16.437	16.586	9.35	3.577	1.065	3.266	5.169	3.837	1.13	11.519	3.933	1.85	5.039	1.542	4.55	3.299	2.526	6.206	0.679	3.94	0.794	4.211	4.602	4.624	0.28	6.505	22.262	21.706	3.144	5.357
16.67275	1.937	26.194	17.447	16.821	16.557	3.305	0.854	3.31	2.07	0.937	16.051	16.194	9.081	3.222	0.647	3.069	1.88	26.416	16.447	16.252	9.407	3.912	0.941	3.515	5.22	4.206	0.92	12.666	4.044	1.897	5.491	1.478	4.659	3.467	2.491	6.66	0.611	3.988	0.812	4.461	4.795	4.762	0.353	6.959	22.681	21.034	3.078	5.639
16.83935	2.099	25.841	17.113	16.457	17.224	3.41	0.871	3.586	2.262	0.955	16.002	16.461	9.194	3.499	0.921	3.289	1.813	26.554	16.742	16.576	10.009	4.19	0.932	3.449	5.301	4.232	1.082	13.157	4.384	2.002	5.63	1.585	4.768	3.692	2.742	6.916	0.599	4.18	0.743	4.598	4.988	5.187	0.313	7.643	23.331	21.075	3.355	5.692
17.00595	1.975	25.773	17.153	16.613	17.062	3.457	0.979	3.548	2.137	0.976	16.043	16.357	9.396	3.689	0.716	3.279	1.862	26.507	16.009	16.928	10.035	4.063	1.351	3.781	5.369	4.294	1.073	13.833	4.59	2.021	6.324	1.542	4.893	3.899	2.698	7.034	0.679	4.225	0.737	4.696	5.402	5.11	0.337	7.448	23.148	21.278	3.401	5.871
17.17266	2.271	25.068	16.568	16.428	16.966	3.668	0.928	3.615	2.29	1.184	15.802	16.375	9.881	3.957	0.864	3.489	1.899	26.296	15.74	16.548	10.639	4.276	1.132	3.621	5.816	4.776	1.082	14.073	4.842	2.26	6.632	1.929	5.255	4.122	3.0	7.775	0.685	4.438	0.858	4.684	5.332	5.273	0.284	8.245	24.219	20.76	3.928	5.95
17.33932	2.194	24.306	15.674	16.306	17.729	3.849	0.911	3.939	2.442	1.023	15.422	16.337	10.196	3.737	0.847	3.613	1.995	26.073	15.531	16.595	10.951	4.341	1.256	4.001	6.164	4.721	1.263	15.154	5.159	2.383	6.978	1.821	5.26	4.182	2.977	8.033	0.668	4.732	0.754	4.89	5.624	5.649	0.353	8.332	24.255	21.119	3.993	6.153
17.50608	2.229	23.966	15.861	16.436	17.513	3.826	1.148	4.002	2.305	1.145	14.866	16.437	10.106	3.971	0.971	3.619	2.03	26.156	15.632	16.636	11.287	4.602	1.091	4.063	6.479	5.061	1.155	15.827	5.728	2.446	7.119	1.795	5.86	4.466	2.865	8.458	0.677	4.736	0.734	5.007	5.884	5.877	0.334	8.957	23.368	20.7	4.311	6.067
17.67274	2.258	24.293	15.428	16.834	16.941	3.998	1.088	4.146	2.449	1.172	14.747	16.121	10.578	4.259	0.853	3.82	2.144	25.146	15.229	16.723	11.677	4.806	1.034	4.065	6.744	5.245	1.184	16.282	6.026	2.476	7.874	1.914	5.811	4.763	3.328	8.615	0.845	4.996	0.903	5.184	6.09	5.914	0.302	9.343	24.042	20.161	4.572	6.334
17.83953	2.458	23.566	15.462	16.464	17.456	4.254	1.005	4.402	2.676	1.145	14.637	16.008	10.62	4.171	0.914	3.99	2.202	25.242	15.003	16.722	11.801	4.888	1.233	4.206	6.878	5.404	1.241	16.569	6.442	2.475	8.233	2.138	6.203	4.637	3.208	9.0	0.819	5.136	0.906	5.235	6.283	5.991	0.334	9.786	24.225	20.528	4.797	6.296
18.00606	2.556	23.482	15.571	16.174	17.739	4.353	0.931	4.501	2.575	1.243	14.432	16.462	11.411	4.413	1.096	4.261	2.157	25.161	14.941	16.776	12.451	5.073	1.275	4.505	7.238	5.651	1.311	17.823	6.69	2.574	8.537	2.01	6.334	4.941	3.309	9.706	0.774	5.436	0.832	5.508	6.328	6.408	0.345	10.462	24.573	20.47	5.24	6.598
18.17272	2.344	23.978	15.314	16.433	17.485	4.571	1.002	4.603	2.735	1.258	14.375	16.35	11.608	4.688	1.167	4.363	2.316	24.659	14.571	16.78	12.736	5.178	1.348	4.523	7.374	6.132	1.327	18.972	7.171	2.59	8.99	2.086	6.756	5.106	3.414	9.988	0.874	5.769	0.989	5.785	6.891	6.658	0.302	10.745	24.3	19.874	5.373	6.763
18.33946	2.458	23.452	15.262	16.521	17.713	4.454	1.148	4.659	2.762	1.173	14.609	16.294	12.134	4.799	1.085	4.418	2.373	24.614	14.689	16.494	12.601	5.373	1.348	4.72	7.592	6.26	1.412	18.768	7.442	2.732	9.604	2.081	7.088	5.465	3.608	10.685	0.991	5.821	0.82	5.949	7.197	6.876	0.42	10.985	23.625	20.071	5.825	7.067
18.50616	2.667	24.205	15.398	16.4	17.589	4.776	1.073	4.81	2.856	1.327	14.289	16.514	12.103	4.949	0.983	4.74	2.468	23.88	14.397	16.541	13.138	5.636	1.242	5.154	7.823	6.317	1.45	19.242	7.67	2.712	9.86	2.23	7.119	5.638	3.699	11.253	0.888	6.256	0.888	6.011	7.372	6.936	0.346	11.44	23.976	19.717	6.001	7.069
18.67275	2.81	23.503	14.85	16.197	17.704	5.007	1.099	5.098	3.029	1.497	13.998	16.484	12.463	5.067	1.151	4.686	2.554	24.724	14.421	16.941	13.474	5.727	1.186	4.902	8.377	6.589	1.565	19.131	8.657	2.913	10.533	2.178	7.359	5.736	3.905	11.33	0.857	6.461	0.886	6.304	7.638	7.261	0.342	12.258	23.621	19.434	6.265	7.537
18.83947	2.708	23.951	15.079	16.424	16.901	5.161	1.142	5.194	3.012	1.339	14.226	16.196	12.98	5.449	1.165	4.697	2.538	24.74	13.964	16.966	14.417	6.108	1.341	5.255	8.783	6.936	1.634	18.898	8.831	3.154	10.822	2.245	7.765	6.313	3.886	12.759	1.013	6.442	0.957	6.198	7.903	7.324	0.414	12.888	23.466	19.658	6.588	7.144
19.00616	3.042	23.768	14.913	16.317	17.024	5.439	1.159	5.187	3.147	1.443	14.003	16.319	13.298	5.242	1.096	5.061	2.472	24.99	13.912	16.519	14.509	6.017	1.504	5.477	8.982	7.194	1.425	18.767	9.576	3.26	11.453	2.267	8.02	6.113	3.995	12.764	1.002	7.037	1.06	6.623	8.157	7.637	0.374	13.349	23.172	19.584	7.184	7.256
19.17284	2.907	23.68	14.804	16.698	16.807	5.422	1.192	5.512	3.242	1.448	13.981	16.387	13.185	5.797	1.184	5.1	2.793	25.167	14.004	16.818	14.402	6.317	1.397	5.318	9.176	7.192	1.547	18.754	9.95	3.269	12.055	2.394	8.672	6.394	4.096	13.113	1.121	7.166	1.007	6.926	8.261	7.773	0.462	13.898	22.029	19.943	7.43	7.39
19.33963	2.966	23.305	15.302	16.592	16.156	5.708	1.368	5.855	3.3	1.623	13.534	16.681	14.0	5.796	1.362	5.3	2.767	25.301	13.872	16.538	15.213	6.228	1.37	5.803	9.339	7.152	1.664	17.957	10.25	3.242	12.441	2.421	8.864	6.642	4.322	13.696	1.183	7.592	0.983	7.093	8.427	8.337	0.382	14.653	23.425	19.632	7.625	7.469
19.50617	3.158	23.98	14.449	16.257	16.078	5.673	1.415	5.791	3.35	1.642	13.74	16.174	14.062	6.076	1.293	5.436	3.044	25.065	14.079	16.576	14.848	6.567	1.304	6.113	10.283	7.497	1.798	18.569	10.999	3.52	13.104	2.53	9.093	6.728	4.289	14.676	1.287	7.674	1.029	7.261	8.883	8.108	0.399	14.831	22.185	19.987	8.281	7.754
19.67282	3.175	23.589	14.764	16.487	16.223	5.863	1.23	6.153	3.425	1.715	14.17	16.492	14.979	5.981	1.394	5.655	3.176	25.536	13.764	17.01	15.939	6.845	1.378	5.96	10.079	8.124	1.786	17.914	11.457	3.48	14.135	2.836	9.518	6.924	4.739	15.136	1.244	8.239	1.044	7.541	8.962	8.389	0.384	15.52	21.996	19.963	8.819	8.12
19.83958	3.374	23.892	14.856	16.404	15.51	6.03	1.26	6.206	3.593	1.544	13.431	16.436	15.07	6.233	1.253	6.051	2.945	24.945	13.798	16.723	15.683	7.009	1.463	6.355	10.693	8.249	1.699	17.484	11.892	3.62	14.197	2.601	10.161	7.252	4.702	15.94	1.303	8.373	1.018	7.359	9.351	8.862	0.445	16.61	21.667	19.703	8.921	7.993
20.00616	3.319	23.703	15.079	16.573	15.593	6.322	1.287	6.44	3.626	1.83	13.195	16.205	15.294	6.267	1.365	5.913	3.147	24.39	13.448	16.666	16.254	7.045	1.579	6.218	10.853	8.239	1.815	18.287	12.489	3.623	14.709	2.75	9.891	7.784	4.739	16.627	1.33	8.468	1.044	7.713	9.536	9.134	0.413	17.24	22.139	20.279	9.564	8.034
20.17297	3.319	23.417	14.936	16.487	15.363	6.465	1.43	6.612	3.798	1.887	13.482	16.377	15.294	6.64	1.308	6.171	3.147	25.02	13.391	16.522	16.598	7.017	1.636	6.505	11.655	8.468	1.872	18.0	13.263	3.824	15.626	2.836	10.149	7.784	4.825	17.028	1.474	8.898	1.102	8.172	10.224	9.134	0.413	17.641	21.48	20.193	9.822	8.034
20.33955	3.384	23.629	14.53	16.508	15.614	6.7	1.298	6.961	3.948	2.04	13.248	16.597	15.001	6.473	1.376	6.435	3.241	24.77	13.329	16.828	15.701	7.279	1.702	6.882	11.739	8.609	2.052	17.933	13.599	3.946	16.477	2.87	10.577	7.782	5.144	17.161	1.541	9.33	1.084	7.973	10.31	9.105	0.396	18.061	22.034	19.665	10.395	7.978
20.50627	3.644	23.497	14.752	16.477	15.582	6.792	1.525	7.168	3.894	1.925	13.04	16.424	15.857	6.91	1.517	6.613	3.186	25.303	13.379	16.542	16.617	7.832	1.675	7.119	12.13	9.087	2.083	18.278	14.4	4.15	17.739	3.077	10.91	8.0	5.239	18.511	1.683	9.858	1.139	8.529	10.754	9.493	0.565	18.923	21.847	20.213	10.783	8.278
20.6729	3.559	23.493	14.163	16.428	15.448	6.933	1.558	6.965	3.923	2.072	13.081	16.289	15.723	7.193	1.494	6.84	3.474	24.635	13.334	16.491	16.051	7.827	1.877	7.144	12.489	9.502	1.97	17.853	15.037	4.121	18.316	2.816	11.269	8.675	5.463	19.287	1.63	10.108	1.087	8.665	10.887	9.797	0.399	20.559	22.615	19.987	11.488	8.24
20.83967	3.746	24.174	14.725	16.356	15.92	6.885	1.522	7.376	4.165	2.119	13.044	16.443	15.824	7.345	1.373	6.821	3.376	24.708	13.124	16.557	16.005	8.09	1.665	7.008	12.281	9.579	2.072	17.432	15.159	4.249	18.407	3.113	11.635	8.384	5.497	20.146	1.765	10.453	1.223	9.01	11.001	9.909	0.422	19.474	22.091	19.907	12.17	8.528
21.00621	3.702	23.665	14.736	16.085	15.563	7.448	1.673	7.423	4.324	2.272	13.826	16.375	16.181	7.48	1.723	7.298	3.646	24.778	13.621	16.748	17.053	8.228	1.648	7.63	12.345	9.559	2.285	17.71	16.583	4.207	19.605	3.217	12.128	8.532	5.577	19.487	1.917	10.853	1.287	9.266	11.116	9.826	0.485	19.9	22.042	20.016	12.405	8.813
21.17298	3.882	23.705	14.93	16.135	15.155	7.538	1.797	7.8	4.101	2.396	13.22	16.137	16.031	7.426	1.476	7.217	3.482	24.843	13.3	16.624	17.415	8.459	1.8	7.862	11.942	9.869	2.264	17.471	17.257	4.042	20.078	3.251	12.181	9.016	5.695	19.445	1.955	11.253	1.241	9.295	11.516	9.967	0.525	18.829	22.138	20.033	12.831	8.813
21.33958	4.075	24.266	14.449	16.314	15.276	7.534	1.73	7.853	4.209	2.501	13.54	16.26	16.267	7.823	1.637	7.412	3.503	25.437	13.363	16.376	16.853	7.999	1.705	7.602	12.259	10.332	2.313	18.311	17.557	4.493	20.979	3.074	12.3	9.105	5.806	19.029	2.088	11.74	1.344	9.696	11.746	10.37	0.456	18.468	21.842	19.472	13.693	8.756
21.50646	3.968	24.134	14.845	16.278	15.699	8.024	1.712	8.0	4.473	2.567	13.048	16.223	15.974	8.056	1.619	7.789	3.711	25.015	13.329	16.424	16.929	8.402	1.914	7.862	12.571	10.327	2.436	17.414	18.373	4.7	21.708	3.251	11.838	9.359	6.066	19.502	2.298	12.111	1.412	10.239	11.716	10.425	0.525	18.457	21.995	19.804	14.518	8.899
21.67305	4.139	23.705	15.216	16.306	15.613	8.396	1.654	8.629	4.616	2.653	13.42	16.337	16.488	7.998	1.705	7.789	3.797	25.73	13.672	16.681	16.557	8.488	2.057	8.091	12.8	10.641	2.55	17.814	19.403	4.729	21.908	3.394	12.01	9.33	6.324	19.016	2.384	12.483	1.412	10.239	12.374	10.597	0.468	18.114	22.567	20.719	15.033	8.871
21.83969	4.264	24.215	14.69	16.439	15.545	8.266	1.664	8.585	4.627	2.863	13.408	16.27	16.335	8.469	1.8	8.173	3.75	25.383	13.632	16.7	16.748	8.873	2.01	8.19	12.988	10.859	2.704	17.977	19.539	4.769	23.676	3.52	12.455	9.862	6.309	18.865	2.709	13.013	1.507	10.168	11.617	10.784	0.448	18.706	22.963	20.482	16.052	9.085
22.00631	4.311	23.963	14.787	16.106	15.298	8.024	1.712	8.83	4.559	3.082	13.534	16.023	16.059	8.427	1.82	8.418	3.968	25.558	13.243	16.281	16.529	9.203	1.914	8.435	13.057	11.156	2.636	17.471	20.575	4.7	23.824	3.594	12.61	10.017	6.553	18.816	2.613	13.57	1.498	10.696	12.002	10.768	0.468	18.028	22.653	20.404	16.406	8.985
22.17308	4.601	24.29	14.437	16.332	15.839	8.263	1.739	9.327	4.65	3.027	13.385	16.25	16.085	8.409	1.904	8.485	4.086	25.634	13.523	16.252	16.5	9.158	1.944	8.474	13.278	11.065	2.496	17.3	21.475	5.049	25.099	3.688	12.402	10.009	6.278	18.362	3.015	13.675	1.525	10.484	11.991	10.901	0.465	18.259	22.983	20.208	17.149	8.856
