	MG1655-1	HMDA7-1_1	rpsG1-1	nusA_sspA-1	ybeX-1	mpl-1	rpsG1_ybeX-1	rpsG1_mpl-1	MG1655-2	HMDA7-1_2	rpsG1-2	nusA_sspA-2	ybeX-2	mpl-2	rpsG1_ybeX-2	rpsG1_mpl-2	MG1655-3	HMDA7-1_3	rpsG1-3	nusA_sspA-3	ybeX-3	mpl-3	rpsG1_ybeX-3	rpsG1_mpl-3	rpsG1_ybeX_mpl-1	nusA_sspA_ybeX-1	nusA_sspA_mpl-1	nusA_sspA_ybeX_mpl-1	proV_ptsP-1	proV_ptsP_ybeX-1	proV_ptsP_mpl-1	proV_ptsP_ybeX_mpl-1	rpsG1_ybeX_mpl-2	nusA_sspA_ybeX-2	nusA_sspA_mpl-2	nusA_sspA_ybeX_mpl-2	proV_ptsP-2	proV_ptsP_ybeX-2	proV_ptsP_mpl-2	proV_ptsP_ybeX_mpl-2	rpsG1_ybeX_mpl-3	nusA_sspA_ybeX-3	nusA_sspA_mpl-3	nusA_sspA_ybeX_mpl-3	proV_ptsP-3	proV_ptsP_ybeX-3	proV_ptsP_mpl-3	proV_ptsP_ybeX_mpl-3
1.67185	0.829	0.405	0.247	0.349	0.662	0.888	0.404	0.92	0.675	0.511	0.403	0.574	0.703	1.085	0.543	0.83	0.924	0.534	0.412	0.543	0.828	0.924	0.285	0.74	0.572	0.696	0.506	0.504	0.342	0.608	0.409	0.579	0.508	0.6	0.796	0.505	0.51	0.377	0.568	0.378	0.435	0.729	0.471	0.581	0.577	0.347	0.602	0.502
1.8386	0.765	0.437	0.312	0.511	0.727	1.082	0.404	1.081	0.739	0.511	0.435	0.607	0.703	0.956	0.608	0.96	0.762	0.501	0.315	0.543	0.796	0.924	0.414	0.838	0.604	0.632	0.506	0.698	0.407	0.705	0.474	0.579	0.508	0.697	0.796	0.473	0.607	0.474	0.6	0.443	0.403	0.826	0.665	0.678	0.513	0.347	0.505	0.567
2.00528	0.735	0.504	0.314	0.546	0.729	0.987	0.439	0.986	0.677	0.416	0.535	0.803	0.64	1.055	0.546	0.865	0.829	0.6	0.414	0.513	0.701	0.927	0.384	0.743	0.574	0.634	0.671	0.603	0.539	0.707	0.379	0.582	0.478	0.667	0.831	0.508	0.609	0.38	0.764	0.478	0.437	0.731	0.603	0.584	0.612	0.317	0.702	0.473
2.17191	0.832	0.439	0.444	0.61	0.664	0.89	0.504	1.083	0.774	0.449	0.437	0.706	0.737	0.99	0.675	0.93	0.765	0.6	0.317	0.643	0.701	1.024	0.287	0.646	0.606	0.796	0.606	0.7	0.409	0.707	0.573	0.646	0.511	0.764	0.734	0.669	0.641	0.509	0.667	0.64	0.502	0.828	0.603	0.681	0.58	0.414	0.605	0.667
2.33857	0.772	0.444	0.254	0.551	0.798	0.992	0.411	1.12	0.78	0.518	0.442	0.743	0.742	1.157	0.615	0.935	0.769	0.637	0.451	0.615	0.803	1.028	0.389	0.749	0.481	0.735	0.515	0.673	0.544	0.745	0.513	0.555	0.677	0.769	0.803	0.707	0.614	0.482	0.705	0.871	0.506	0.768	0.705	0.783	0.617	0.419	0.481	0.707
2.50518	0.862	0.502	0.344	0.64	0.727	0.985	0.34	1.178	0.772	0.446	0.403	0.607	0.703	0.956	0.543	1.024	0.86	0.695	0.347	0.511	0.634	0.892	0.285	0.643	0.507	0.793	0.571	0.504	0.504	0.608	0.474	0.676	0.508	0.762	0.828	0.667	0.704	0.409	0.665	0.669	0.5	0.923	0.698	0.678	0.674	0.444	0.602	0.599
2.67195	0.663	0.433	0.21	0.441	0.755	0.981	0.303	1.077	0.734	0.441	0.334	0.731	0.698	1.048	0.538	0.858	0.726	0.594	0.343	0.7	0.791	0.887	0.377	0.832	0.6	0.789	0.598	0.693	0.531	0.635	0.566	0.38	0.666	0.757	0.824	0.791	0.699	0.501	0.66	0.665	0.593	0.918	0.66	0.672	0.604	0.408	0.694	0.495
2.83864	0.725	0.495	0.337	0.6	0.623	0.849	0.333	1.075	0.764	0.504	0.397	0.697	0.696	0.949	0.6	1.017	0.82	0.689	0.308	0.6	0.789	0.885	0.375	0.732	0.469	0.819	0.66	0.658	0.593	0.632	0.596	0.539	0.502	0.884	0.821	0.756	0.729	0.498	0.658	0.63	0.397	0.851	0.561	0.67	0.472	0.341	0.691	0.782
3.00525	0.765	0.437	0.312	0.608	0.662	0.888	0.243	0.92	0.675	0.543	0.5	0.736	0.605	0.956	0.608	1.024	0.86	0.631	0.347	0.608	0.796	0.892	0.317	0.708	0.507	0.826	0.668	0.601	0.439	0.705	0.409	0.547	0.573	0.794	1.022	0.667	0.704	0.506	0.665	0.637	0.532	0.923	0.698	0.71	0.674	0.412	0.699	0.502
3.17217	0.566	0.53	0.34	0.441	0.755	0.981	0.4	1.012	0.669	0.538	0.431	0.731	0.73	0.984	0.57	0.858	0.855	0.594	0.343	0.603	0.694	0.92	0.312	0.735	0.568	0.821	0.759	0.758	0.499	0.797	0.501	0.638	0.504	0.789	0.824	0.694	0.634	0.598	0.692	0.665	0.496	0.853	0.693	0.769	0.604	0.44	0.662	0.851
3.33878	0.728	0.498	0.307	0.506	0.658	0.884	0.239	1.174	0.734	0.409	0.399	0.699	0.698	0.951	0.473	0.955	0.92	0.529	0.31	0.635	0.694	0.984	0.312	0.8	0.665	0.886	0.695	0.693	0.531	0.635	0.566	0.671	0.504	0.854	0.921	0.662	0.634	0.468	0.66	0.729	0.528	0.95	0.596	0.769	0.669	0.311	0.759	0.56
3.50545	0.829	0.534	0.312	0.64	0.662	1.05	0.307	1.114	0.772	0.543	0.435	0.801	0.8	1.182	0.478	0.96	0.924	0.534	0.444	0.543	0.828	0.989	0.317	0.805	0.604	0.89	0.797	0.795	0.536	0.737	0.603	0.676	0.605	0.794	1.087	0.861	0.607	0.603	0.665	0.669	0.597	0.955	0.795	0.872	0.61	0.444	0.764	0.696
3.67208	0.725	0.528	0.337	0.503	0.72	0.978	0.237	1.107	0.731	0.6	0.397	0.664	0.696	0.884	0.535	0.855	0.82	0.689	0.34	0.697	0.821	1.014	0.375	0.797	0.662	0.916	0.756	0.658	0.432	0.826	0.564	0.668	0.566	0.884	0.724	0.756	0.697	0.595	0.69	0.533	0.591	0.916	0.658	0.767	0.602	0.438	0.659	0.653
3.83869	0.871	0.446	0.418	0.553	0.638	0.961	0.316	1.025	0.685	0.553	0.444	0.713	0.744	0.997	0.553	0.872	0.836	0.639	0.356	0.715	0.902	0.901	0.391	0.751	0.58	0.835	0.809	0.676	0.611	0.812	0.483	0.493	0.582	0.771	1.032	0.969	0.649	0.42	0.707	0.647	0.444	0.932	0.772	0.721	0.717	0.453	0.71	0.71
4.00545	0.832	0.536	0.444	0.61	0.664	1.052	0.309	1.083	0.677	0.546	0.34	0.803	0.705	0.99	0.578	0.962	0.862	0.633	0.349	0.61	0.83	0.991	0.481	0.84	0.574	0.925	0.865	0.765	0.603	0.74	0.605	0.646	0.608	0.958	0.992	0.767	0.544	0.606	0.603	0.64	0.535	0.86	0.797	0.875	0.677	0.608	0.702	0.57
4.17216	0.668	0.502	0.409	0.446	0.759	0.985	0.34	0.92	0.836	0.446	0.403	0.671	0.8	1.182	0.575	0.96	0.762	0.598	0.412	0.705	0.731	0.892	0.414	0.708	0.701	0.923	0.765	0.763	0.504	0.608	0.409	0.644	0.767	0.956	0.99	0.764	0.542	0.571	0.697	0.637	0.694	0.826	0.795	0.775	0.577	0.509	0.796	0.761
4.33882	0.661	0.495	0.499	0.406	0.72	0.946	0.527	1.075	0.667	0.407	0.397	0.6	0.825	1.143	0.471	0.92	0.95	0.689	0.437	0.536	0.886	0.885	0.472	0.7	0.662	0.722	0.789	0.755	0.626	0.729	0.564	0.474	0.599	0.658	1.112	0.659	0.632	0.563	0.658	0.565	0.688	1.013	0.69	0.767	0.666	0.405	0.594	0.492
4.50535	0.739	0.411	0.416	0.551	0.766	1.056	0.314	1.088	0.747	0.453	0.506	0.614	0.742	0.995	0.615	1.291	0.834	0.637	0.354	0.518	0.803	0.996	0.518	0.911	0.772	1.027	0.806	0.867	0.511	0.648	0.513	0.684	0.806	0.801	0.9	0.772	0.646	0.417	0.672	0.547	0.636	0.735	0.673	0.816	0.779	0.516	0.707	0.707
4.67209	0.767	0.439	0.411	0.513	0.664	0.955	0.245	1.019	0.839	0.416	0.437	0.609	0.737	1.088	0.61	1.027	0.829	0.633	0.414	0.481	0.798	1.056	0.514	1.002	0.671	0.925	0.865	0.797	0.603	0.707	0.508	0.485	0.705	0.796	0.895	0.864	0.544	0.38	0.603	0.737	0.858	0.925	0.862	0.907	0.709	0.414	0.605	0.764
4.83881	0.656	0.523	0.494	0.531	0.748	0.974	0.394	1.264	0.823	0.305	0.393	0.595	0.723	1.138	0.563	1.044	0.751	0.717	0.433	0.466	0.816	0.977	0.467	1.179	0.755	0.782	0.783	0.782	0.524	0.595	0.494	0.63	0.691	0.782	0.978	0.783	0.595	0.557	0.685	0.463	0.748	0.911	0.782	0.858	0.661	0.433	0.686	0.581
5.00549	0.663	0.627	0.534	0.603	0.723	1.045	0.4	1.174	0.766	0.409	0.593	0.505	0.795	1.145	0.7	1.181	0.823	0.723	0.634	0.474	0.888	0.984	0.506	1.026	0.762	0.918	0.889	0.855	0.596	0.7	0.501	0.638	0.763	0.789	1.018	0.694	0.602	0.565	0.854	0.632	0.787	0.918	0.757	0.963	0.766	0.44	0.694	0.592
5.17221	0.638	0.439	0.605	0.416	0.729	0.955	0.342	1.019	0.871	0.254	0.599	0.512	0.899	1.055	0.61	1.091	0.765	0.6	0.543	0.384	0.895	0.991	0.481	1.002	0.768	0.796	0.703	0.992	0.506	0.74	0.573	0.743	0.705	0.861	1.09	0.961	0.739	0.509	0.667	0.64	0.858	0.828	0.7	0.907	0.774	0.317	0.605	0.7
5.33893	0.661	0.592	0.531	0.406	0.753	1.075	0.333	1.107	0.925	0.245	0.494	0.47	0.793	1.046	0.6	1.049	0.723	0.689	0.502	0.407	0.821	0.917	0.504	0.991	0.889	0.884	0.756	0.884	0.593	0.632	0.564	0.636	0.696	0.787	0.983	0.885	0.6	0.466	0.787	0.565	0.785	0.754	0.787	0.799	0.699	0.405	0.691	0.556
5.5056	0.654	0.521	0.621	0.399	0.617	0.972	0.489	1.456	0.756	0.399	0.617	0.56	0.721	1.136	0.689	1.139	0.717	0.585	0.592	0.367	0.879	1.007	0.658	1.209	0.882	0.78	0.845	0.877	0.586	0.819	0.557	0.531	0.786	0.651	0.879	0.78	0.722	0.36	0.682	0.461	0.875	0.844	0.586	0.952	0.594	0.399	0.683	0.739
5.6723	0.668	0.502	0.603	0.349	0.63	0.953	0.34	1.211	0.675	0.317	0.532	0.477	0.703	1.053	0.672	1.283	0.827	0.631	0.638	0.511	0.893	0.989	0.608	1.129	0.798	0.89	0.894	0.86	0.439	0.737	0.474	0.644	0.961	0.859	0.893	0.861	0.607	0.409	0.794	0.767	0.856	0.729	0.795	0.904	0.674	0.444	0.667	0.761
5.83895	0.713	0.42	0.713	0.426	0.71	1.064	0.484	1.193	0.718	0.33	0.645	0.459	0.716	1.034	0.684	1.36	0.809	0.678	0.523	0.394	0.777	1.003	0.556	1.203	0.846	0.808	0.742	0.872	0.581	0.587	0.552	0.558	0.943	0.743	1.068	0.84	0.684	0.484	0.548	0.715	0.871	0.742	0.742	0.882	0.589	0.394	0.581	0.635
6.00559	0.743	0.418	0.711	0.23	0.643	1.127	0.386	1.352	0.748	0.231	0.61	0.585	0.811	1.064	0.649	1.228	0.807	0.708	0.521	0.457	0.904	0.903	0.683	1.265	0.94	0.773	0.772	0.966	0.482	0.778	0.453	0.619	0.876	0.773	0.872	0.869	0.682	0.449	0.74	0.809	0.836	0.805	0.675	0.976	0.683	0.295	0.578	0.632
6.17233	0.721	0.491	0.72	0.305	0.748	0.974	0.426	1.361	0.726	0.305	0.619	0.498	0.723	1.171	0.853	1.367	0.719	0.62	0.724	0.499	0.881	1.042	0.661	1.276	0.949	0.718	0.751	0.976	0.524	0.595	0.559	0.63	1.079	0.75	1.01	0.783	0.627	0.492	0.782	0.56	0.877	0.749	0.685	0.955	0.758	0.433	0.686	0.872
6.33895	0.725	0.398	0.693	0.342	0.785	0.978	0.495	1.527	0.764	0.342	0.72	0.503	0.728	1.175	0.762	1.243	0.917	0.624	0.696	0.471	0.886	1.111	0.795	1.443	0.986	0.787	0.756	0.949	0.529	0.729	0.596	0.571	0.954	0.755	1.08	0.982	0.729	0.498	0.787	0.565	0.849	0.657	0.69	1.057	0.763	0.696	0.691	0.556
6.50562	0.75	0.586	0.621	0.399	0.746	1.133	0.489	1.488	0.756	0.335	0.811	0.56	0.786	0.942	0.689	1.139	0.749	0.618	0.786	0.593	0.717	1.007	0.658	1.305	0.979	0.877	0.748	0.974	0.586	0.722	0.589	0.66	0.98	0.683	1.008	0.942	0.592	0.49	0.747	0.526	1.037	0.715	0.683	0.984	0.594	0.399	0.78	0.546
6.6724	0.545	0.575	0.803	0.387	0.768	1.122	0.639	1.606	0.807	0.29	0.703	0.548	0.677	1.189	0.838	1.513	0.899	0.574	0.71	0.387	0.867	1.189	0.872	1.323	1.065	0.865	0.766	0.929	0.412	0.773	0.642	0.614	1.065	0.639	0.996	0.961	0.871	0.637	0.767	0.546	1.058	0.897	0.638	0.938	0.645	0.484	0.734	0.625
6.83901	0.637	0.313	0.766	0.317	0.763	0.957	0.635	1.569	0.64	0.479	0.731	0.576	0.673	1.152	0.833	1.347	0.894	0.506	0.802	0.479	0.894	1.184	0.77	1.479	1.125	0.796	0.825	1.02	0.601	0.865	0.444	0.609	1.028	0.763	0.894	1.117	0.769	0.631	0.73	0.638	1.247	0.731	0.665	0.932	0.64	0.512	0.632	0.618
7.00575	0.704	0.476	0.801	0.417	0.766	1.12	0.637	1.571	0.74	0.32	0.83	0.578	0.868	1.154	0.771	1.446	0.929	0.572	0.708	0.611	0.768	1.025	0.837	1.579	0.934	0.702	0.828	1.055	0.571	0.771	0.478	0.611	1.03	0.733	0.994	1.152	0.772	0.441	0.668	0.705	1.217	0.798	0.732	1.032	0.643	0.417	0.732	0.654
7.1724	0.654	0.489	0.815	0.431	0.779	1.133	0.521	1.585	0.756	0.432	1.037	0.657	0.818	1.265	0.98	1.429	0.717	0.618	0.915	0.625	0.975	1.104	0.949	1.79	1.076	0.715	0.748	1.038	0.586	0.689	0.654	0.66	1.238	0.748	0.976	1.039	0.592	0.49	0.682	0.558	1.166	0.715	0.747	0.952	0.691	0.431	0.683	0.675
7.33901	0.718	0.489	0.815	0.496	0.714	1.036	0.489	1.811	0.659	0.302	0.843	0.657	0.818	1.362	0.948	1.72	0.846	0.488	0.883	0.593	0.975	1.136	0.852	1.435	1.238	1.006	0.942	1.071	0.586	0.786	0.557	0.563	1.077	0.683	0.911	1.039	0.786	0.49	0.65	0.558	1.36	0.65	0.683	0.887	0.658	0.302	0.651	0.772
7.50569	0.753	0.426	0.817	0.498	0.748	1.071	0.652	1.814	0.758	0.628	0.91	0.595	0.788	1.203	0.886	1.723	0.816	0.717	0.918	0.596	0.978	1.139	0.887	1.696	1.078	0.782	0.977	1.041	0.589	0.724	0.494	0.533	1.273	0.75	1.107	1.171	0.724	0.46	0.685	0.625	1.136	0.717	0.75	0.987	0.758	0.433	0.751	0.549
7.67249	0.721	0.491	0.914	0.434	0.716	1.136	0.717	2.007	0.661	0.596	1.007	0.821	0.885	1.074	0.983	1.561	0.848	0.684	0.982	0.692	0.881	1.203	0.854	1.696	1.175	0.814	1.074	1.17	0.653	0.724	0.753	0.921	1.434	0.75	1.01	1.171	0.627	0.395	0.782	0.722	1.33	0.814	0.685	0.987	0.661	0.433	0.783	0.872
7.83905	0.649	0.42	1.036	0.588	0.774	1.161	0.614	1.903	0.847	0.394	0.935	0.878	0.878	1.067	1.039	1.908	1.003	0.484	1.008	0.782	0.777	1.132	1.041	1.59	1.265	0.711	0.871	1.13	0.581	0.781	0.584	0.654	1.33	0.775	1.068	1.163	0.684	0.645	0.742	0.521	1.42	0.742	0.678	0.882	0.589	0.426	0.646	0.765
8.00574	0.76	0.433	0.954	0.538	0.755	1.175	0.627	2.015	0.734	0.635	1.046	0.699	0.795	1.178	1.055	1.763	0.758	0.626	0.892	0.991	0.823	1.146	1.056	1.705	1.182	0.918	0.986	1.049	0.596	0.635	0.469	0.768	1.377	0.692	1.115	1.05	0.505	0.404	0.854	0.729	1.337	0.724	0.757	0.963	0.798	0.505	0.662	0.657
8.17239	0.857	0.53	1.148	0.538	0.787	1.175	0.627	2.112	0.734	0.668	1.143	0.699	0.924	1.372	0.958	1.763	1.017	0.529	0.925	0.829	0.823	1.243	0.959	1.834	1.279	0.886	1.147	1.081	0.434	0.732	0.501	0.735	1.474	0.757	1.212	1.05	0.699	0.565	0.692	0.665	1.369	0.659	0.854	0.963	0.701	0.311	0.759	0.851
8.33922	0.808	0.418	1.001	0.585	0.772	1.127	0.741	2.095	0.845	0.521	1.095	0.908	0.908	1.258	0.94	1.906	0.839	0.676	1.102	0.876	0.872	1.291	0.941	1.91	1.425	0.773	0.965	1.127	0.611	0.714	0.582	0.749	1.651	0.741	1.162	1.128	0.682	0.578	0.772	0.712	1.45	0.643	0.837	1.137	0.78	0.392	0.74	0.826
8.5057	0.753	0.491	1.14	0.692	0.845	1.265	0.717	2.104	0.855	0.66	1.136	1.015	1.014	1.203	1.047	1.917	0.816	0.62	1.079	0.886	0.881	1.203	0.951	1.89	1.466	0.976	1.139	1.267	0.621	0.595	0.591	0.824	1.467	0.75	1.204	0.977	0.53	0.686	0.782	0.56	1.524	0.652	0.847	0.987	0.661	0.498	0.557	0.646
8.6725	0.822	0.431	1.113	0.697	0.85	1.269	0.851	2.174	0.828	0.762	1.108	0.987	0.89	1.369	1.15	2.051	0.853	0.592	1.181	0.988	0.918	1.241	1.053	2.025	1.471	0.916	1.08	1.175	0.593	0.729	0.564	0.862	1.762	0.852	1.274	1.176	0.729	0.466	0.754	0.824	1.561	0.851	0.949	0.896	0.602	0.502	0.788	0.75
8.83923	0.85	0.523	1.205	0.822	0.748	1.136	0.717	2.298	0.92	0.725	1.136	0.821	0.885	1.268	0.95	1.917	0.848	0.717	1.208	1.016	0.978	1.203	1.048	2.181	1.434	0.814	1.074	1.235	0.589	0.692	0.656	0.663	1.628	0.879	1.269	1.138	0.692	0.654	0.75	0.56	1.524	0.846	0.782	0.987	0.661	0.336	0.654	0.678
9.00581	0.76	0.498	1.31	0.797	0.787	1.336	0.724	2.5	0.766	0.765	1.24	0.925	0.924	1.372	1.185	2.054	0.855	0.723	1.377	1.088	0.92	1.308	1.088	2.19	1.441	0.821	1.341	1.34	0.596	0.829	0.598	0.735	1.733	0.951	1.212	1.179	0.634	0.404	0.757	0.729	1.66	0.756	0.887	0.963	0.863	0.634	0.662	0.754
9.17274	0.847	0.489	1.3	0.787	0.714	1.23	0.909	2.425	0.659	0.819	1.231	1.109	0.883	1.459	1.174	2.172	1.007	0.618	1.271	1.11	0.911	1.395	1.175	2.307	1.528	0.877	1.168	1.168	0.651	0.722	0.654	0.757	1.755	0.941	1.299	1.071	0.818	0.748	0.779	0.719	1.844	0.844	0.876	0.984	0.691	0.592	0.78	0.643
9.33926	0.817	0.426	1.399	0.919	0.845	1.329	0.911	2.621	0.952	0.822	1.297	1.079	0.788	1.397	1.241	2.369	1.01	0.717	1.305	1.177	1.01	1.397	1.081	2.375	1.563	0.976	1.235	1.235	0.589	0.821	0.688	0.727	1.822	1.041	1.269	1.268	0.724	0.557	0.846	0.56	1.847	0.814	0.944	1.052	0.693	0.433	0.686	0.743
9.506	0.815	0.521	1.429	0.819	1.037	1.36	1.038	2.909	0.756	0.948	1.295	1.174	1.012	1.491	1.239	2.431	0.846	0.714	1.368	1.207	0.911	1.395	1.175	2.307	1.561	1.006	1.362	1.264	0.651	0.786	0.654	0.724	1.852	0.974	1.299	1.168	0.722	0.49	0.876	0.752	1.747	0.812	1.038	0.952	0.658	0.496	0.748	0.546
9.6725	0.808	0.676	1.292	0.844	0.837	1.417	0.934	2.805	0.812	1.038	1.482	1.102	0.94	1.387	1.36	2.261	0.936	0.772	1.393	1.36	1.033	1.614	1.232	2.556	1.812	1.096	1.353	1.45	0.579	0.811	0.647	0.716	2.038	0.966	1.388	1.257	0.779	0.546	0.837	0.615	1.805	0.708	0.933	1.04	0.683	0.489	0.578	0.47
9.83929	0.825	0.595	1.407	0.862	0.884	1.336	1.047	2.694	0.96	0.926	1.401	1.184	0.827	1.469	1.249	2.539	0.92	0.788	1.377	1.411	0.92	1.502	1.25	2.837	1.764	1.08	1.438	1.275	0.531	0.829	0.663	0.768	1.959	0.886	1.6	1.244	0.699	0.598	0.66	0.665	1.919	0.756	0.984	0.963	0.701	0.505	0.694	0.754
10.00593	0.75	0.521	1.429	1.013	0.94	1.327	0.941	3.006	0.95	1.045	1.586	1.206	0.947	1.459	1.368	2.463	1.04	0.811	1.497	1.465	0.879	1.492	1.272	2.695	1.754	0.974	1.362	1.232	0.521	0.689	0.654	0.757	2.046	1.038	1.589	1.362	0.818	0.49	0.747	0.816	1.941	0.844	0.973	0.887	0.755	0.334	0.586	0.481
10.1726	0.829	0.631	1.509	1.126	0.953	1.47	1.116	2.958	0.869	1.125	1.6	1.286	0.929	1.506	1.352	2.577	0.924	0.825	1.673	1.578	1.216	1.442	1.352	2.746	1.736	1.02	1.638	1.442	0.633	0.802	0.571	0.773	2.126	1.053	1.605	1.249	0.833	0.571	0.697	0.864	2.118	0.923	1.053	1.066	0.771	0.444	0.667	0.858
10.33931	0.961	0.601	1.544	1.161	0.956	1.699	1.021	3.348	0.936	1.16	1.699	1.483	0.899	1.476	1.387	2.742	0.862	0.892	1.708	1.581	1.219	1.541	1.29	2.943	1.771	1.087	1.544	1.38	0.442	0.74	0.67	0.646	2.161	1.152	1.607	1.446	0.739	0.606	0.894	0.769	2.185	0.957	1.121	0.972	0.806	0.608	0.702	0.797
10.50591	1.056	0.631	1.671	1.158	0.953	1.438	1.148	3.313	0.772	1.255	1.6	1.48	1.058	1.57	1.384	2.868	0.957	0.986	1.673	1.675	1.216	1.733	1.352	2.908	1.866	1.085	1.735	1.507	0.763	0.834	0.765	0.773	2.288	1.247	1.605	1.443	0.736	0.668	0.891	0.831	2.279	1.117	1.053	1.098	0.707	0.444	0.796	0.696
10.67271	0.952	0.625	1.663	1.15	0.947	1.657	1.045	3.499	0.861	1.344	1.819	1.408	1.019	1.757	1.376	2.956	1.111	0.915	1.666	1.797	1.015	1.628	1.28	3.092	1.826	1.11	1.662	1.466	0.82	0.826	0.693	0.862	2.28	1.433	1.856	1.273	0.729	0.498	1.045	0.63	2.304	1.045	1.143	1.09	0.893	0.438	0.853	0.686
