ReferenceSeq	Position	MutationType	Gene	Details	12PD_A1_F50_I1_R1	12PD_A1_F50_I2_R1	12PD_A1_F50_I3_R1	12PD_A2_F50_I1_R1	12PD_A2_F50_I2_R1	12PD_A3_F50_I1_R1	12PD_A3_F50_I2_R1	12PD_A3_F50_I3_R1	12PD_A4_F50_I1_R1	12PD_A4_F50_I2_R1	12PD_A4_F50_I3_R1	12PD_A5_F50_I1_R1	12PD_A5_F50_I2_R1	12PD_A6_F50_I1_R1	12PD_A6_F50_I2_R1	12PD_A7_F50_I1_R1	12PD_A7_F50_I2_R1	12PD_A8_F50_I1_R1	12PD_A8_F50_I2_R1	12PD_A8_F50_I3_R1	23BD_A1_F50_I1_R1	23BD_A1_F50_I2_R1	23BD_A2_F50_I1_R1	23BD_A2_F50_I2_R1	23BD_A2_F50_I3_R1	23BD_A3_F50_I1_R1	23BD_A3_F50_I2_R1	23BD_A3_F50_I3_R1	23BD_A4_F50_I1_R1	23BD_A4_F50_I2_R1	23BD_A4_F50_I3_R1	23BD_A5_F50_I1_R1	23BD_A5_F50_I2_R1	23BD_A5_F50_I3_R1	23BD_A6_F50_I1_R1	23BD_A7_F50_I1_R1	23BD_A7_F50_I2_R1	23BD_A7_F50_I3_R1	23BD_A8_F50_I1_R1	23BD_A8_F50_I2_R1	ADIP_A1_F50_I1_R1	ADIP_A1_F50_I2_R1	ADIP_A2_F50_I1_R1	ADIP_A2_F50_I2_R1	ADIP_A2_F50_I3_R1	ADIP_A3_F50_I1_R1	ADIP_A3_F50_I2_R1	ADIP_A3_F50_I3_R1	ADIP_A4_F50_I1_R1	ADIP_A4_F50_I2_R1	ADIP_A5_F50_I1_R1	ADIP_A5_F50_I2_R1	ADIP_A6_F50_I1_R1	ADIP_A6_F50_I2_R1	ADIP_A6_F50_I3_R1	ADIP_A7_F50_I1_R1	ADIP_A7_F50_I2_R1	ADIP_A8_F50_I1_R1	ADIP_A8_F50_I2_R1	ADIP_A8_F50_I3_R1	COUM_A1_F50_I1_R1	COUM_A2_F50_I1_R1	COUM_A2_F50_I2_R1	COUM_A2_F50_I3_R1	COUM_A3_F50_I1_R1	COUM_A3_F50_I2_R1	COUM_A3_F50_I3_R1	COUM_A4_F50_I1_R1	COUM_A4_F50_I2_R1	COUM_A4_F50_I3_R1	COUM_A5_F50_I1_R1	COUM_A5_F50_I2_R1	COUM_A5_F50_I3_R1	COUM_A6_F50_I1_R1	COUM_A6_F50_I2_R1	COUM_A6_F50_I3_R1	COUM_A7_F50_I1_R1	COUM_A7_F50_I2_R1	COUM_A8_F50_I1_R1	COUM_A8_F50_I2_R1	GLUT_A1_F50_I1_R1	GLUT_A1_F50_I2_R1	GLUT_A1_F50_I3_R1	GLUT_A2_F50_I1_R1	GLUT_A2_F50_I2_R1	GLUT_A2_F50_I3_R2	GLUT_A3_F50_I1_R1	GLUT_A3_F50_I2_R2	GLUT_A3_F50_I3_R1	GLUT_A4_F50_I1_R1	GLUT_A4_F50_I2_R2	GLUT_A4_F50_I3_R1	GLUT_A5_F50_I1_R1	GLUT_A5_F50_I2_R1	GLUT_A5_F50_I3_R2	GLUT_A6_F50_I1_R1	GLUT_A6_F50_I2_R2	GLUT_A6_F50_I3_R1	GLUT_A7_F50_I1_R2	GLUT_A7_F50_I2_R1	GLUT_A7_F50_I3_R2	GLUT_A8_F50_I1_R2	GLUT_A8_F50_I2_R1	GLUT_A8_F50_I3_R1	HMDA_A1_F50_I1_R1	HMDA_A2_F50_I1_R1	HMDA_A2_F50_I2_R1	HMDA_A3_F50_I1_R1	HMDA_A3_F50_I2_R1	HMDA_A3_F50_I3_R1	HMDA_A4_F50_I1_R1	HMDA_A4_F50_I2_R1	HMDA_A4_F50_I3_R1	HMDA_A5_F50_I1_R1	HMDA_A5_F50_I2_R1	HMDA_A5_F50_I3_R1	HMDA_A6_F50_I1_R1	HMDA_A6_F50_I2_R1	HMDA_A7_F50_I1_R1	HMDA_A7_F50_I2_R1	HMDA_A7_F50_I3_R1	HMDA_A8_F50_I1_R1	HMDA_A8_F50_I2_R1	HMDA_A8_F50_I3_R1	HEXA_A1_F50_I1_R1	HEXA_A1_F50_I2_R1	HEXA_A1_F50_I3_R1	HEXA_A2_F50_I1_R1	HEXA_A2_F50_I2_R1	HEXA_A2_F50_I3_R1	HEXA_A3_F50_I1_R1	HEXA_A3_F50_I2_R1	HEXA_A3_F50_I3_R1	HEXA_A4_F50_I1_R1	HEXA_A4_F50_I2_R1	HEXA_A4_F50_I3_R1	HEXA_A5_F50_I1_R1	HEXA_A5_F50_I2_R1	HEXA_A5_F50_I3_R1	HEXA_A5_F50_I4_R1	HEXA_A6_F50_I1_R1	HEXA_A7_F50_I1_R1	HEXA_A7_F50_I2_R1	HEXA_A7_F50_I3_R1	IBUA_A1_F50_I1_R1	IBUA_A1_F50_I2_R1	IBUA_A2_F50_I1_R1	IBUA_A2_F50_I2_R1	IBUA_A2_F50_I3_R1	IBUA_A3_F50_I1_R1	IBUA_A3_F50_I2_R1	IBUA_A4_F50_I1_R1	IBUA_A4_F50_I2_R1	IBUA_A4_F50_I3_R1	IBUA_A5_F50_I1_R1	IBUA_A5_F50_I2_R1	IBUA_A6_F50_I1_R1	IBUA_A6_F50_I2_R1	IBUA_A7_F50_I1_R1	IBUA_A7_F50_I2_R1	IBUA_A7_F50_I3_R1	IBUA_A8_F50_I1_R1	IBUA_A8_F50_I2_R1	IBUA_A8_F50_I3_R1	BUT_A1_F50_I1_R1	BUT_A1_F50_I2_R1	BUT_A1_F50_I3_R1	BUT_A2_F50_I1_R1	BUT_A3_F50_I1_R1	BUT_A3_F50_I2_R1	BUT_A3_F50_I3_R1	BUT_A4_F50_I1_R1	BUT_A4_F50_I2_R1	BUT_A4_F50_I3_R1	BUT_A5_F50_I1_R1	BUT_A5_F50_I2_R1	BUT_A6_F50_I1_R1	BUT_A6_F50_I2_R1	BUT_A6_F50_I3_R1	BUT_A7_F50_I1_R1	BUT_A7_F50_I2_R1	BUT_A7_F50_I3_R1	BUT_A8_F50_I1_R1	BUT_A8_F50_I2_R1	OCTA_A1_F50_I1_R1	OCTA_A1_F50_I2_R1	OCTA_A1_F50_I3_R1	OCTA_A2_F50_I1_R1	OCTA_A2_F50_I2_R1	OCTA_A2_F50_I3_R1	OCTA_A3_F50_I1_R1	OCTA_A3_F50_I2_R1	OCTA_A3_F50_I3_R1	OCTA_A4_F50_I1_R1	OCTA_A4_F50_I2_R1	OCTA_A4_F50_I3_R1	OCTA_A5_F50_I1_R1	OCTA_A5_F50_I2_R1	OCTA_A5_F50_I3_R1	OCTA_A6_F50_I1_R1	OCTA_A6_F50_I2_R1	OCTA_A6_F50_I3_R1	OCTA_A7_F50_I1_R1	OCTA_A7_F50_I2_R1	PUTR_A1_F50_I1_R1	PUTR_A1_F50_I2_R1	PUTR_A2_F50_I1_R1	PUTR_A2_F50_I2_R1	PUTR_A2_F50_I3_R1	PUTR_A3_F50_I1_R1	PUTR_A3_F50_I2_R1	PUTR_A3_F50_I3_R1	PUTR_A4_F50_I1_R1	PUTR_A4_F50_I2_R1	PUTR_A4_F50_I3_R1	PUTR_A5_F50_I1_R1	PUTR_A5_F50_I2_R1	PUTR_A5_F50_I3_R1	PUTR_A6_F50_I1_R1	PUTR_A6_F50_I2_R1	PUTR_A6_F50_I3_R1	PUTR_A7_F50_I1_R1	PUTR_A7_F50_I2_R1	PUTR_A7_F50_I3_R1	NaCl_A1_F82_I1_R1	NaCl_A2_F82_I1_R1	NaCl_A3_F82_I1_R1	NaCl_A4_F82_I1_R1	NaCl_A5_F82_I1_R1	NaCl_A6_F85_I1_R1	GLUC_A3_F412_I1_R1	GLUC_A4_F403_I1_R1	GLUC_A4_F403_I2_R1	GLUC_A4_F403_I3_R1	GLUC_A5_F150_I1_R1	GLUC_A6_F406_I1_R1	GLUC_A6_F406_I2_R1	GLUC_A6_F406_I3_R1	GLUC_A7_F88_I1_R1	GLUC_A7_F88_I2_R1	GLUC_A8_F380_I1_R1	GLUC_A8_F380_I2_R1	GLUC_A8_F380_I3_R1	GLUC_A9_F433_I1_R1	GLUC_A9_F433_I2_R1	GLUC_A9_F433_I3_R1	GLUC_A10_F418_I1_R1	GLUC_A10_F418_I2_R1	GLUC_A10_F418_I3_R1
NC_000913	1077452	SNP	putA	P477P(CCG_CCA)												1	1																																																																																																																																																																																																																																												
NC_000913	1084191	SNP	efeB	V272V(GTA_GTG)										1																																																																																																																																																																																																																																															
NC_000913	1087671	SNP	pgaC	H59R(CAC_CGC)																			1																																																																																																																																																																																																																																						
NC_000913	1088769	SNP	pgaB	G363G(GGG_GGA)																	1																																																																																																																																																																																																																																								
NC_000913	1089445	DEL	pgaB	coding(413/2019nt)										1																																																																																																																																																																																																																																															
NC_000913	1091158	SNP	pgaA	T378A(ACC_GCC)																		1	1	1																																																																																																																																																																																																																																					
NC_000913	1096841	MOB	"ycdU, serX"	intergenic(+12/+720)																								1																																																																																																																																																																																																																																	
NC_000913	1097218	INS	"ycdU, serX"	intergenic(+389/+347)					1													1	1	1																																																																																																																																																																																																																																					
NC_000913	1097450	SNP	"ycdU, serX"	intergenic(+621/+115)												1																																																																																																																																																																																																																																													
NC_000913	1097480	SNP	"ycdU, serX"	intergenic(+651/+85)						1																																																																																																																																																																																																																																																			
NC_000913	1097492	INS	"ycdU, serX"	intergenic(+663/+73)			1																																																																																																																																																																																																																																																						
NC_000913	1097864	SNP	"serX, ghrA"	intergenic(-212/-22)	1																																																																																																																																																																																																																																																								
NC_000913	1098052	SNP	ghrA	D56A(GAT_GCT)																																																				1																																																																																																																																																																																																					
NC_000913	1099158	SNP	ycdX	D94N(GAT_AAT)																											1																																																																																																																																																																																																																														
NC_000913	1103122	SNP	csgD	A25A(GCT_GCC)																												1																																																																																																																																																																																																																													
NC_000913	1104872	SNP	csgA	F142L(TTT_TTG)																																																				1																																																																																																																																																																																																					
NC_000913	1109302	SNP	"opgC, opgG"	intergenic(-361/-33)			1																																																																																																																																																																																																																																																						
NC_000913	1109596	SNP	opgG	Y88H(TAC_CAC)								1																																																																																																																																																																																																																																																	
NC_000913	1109893	SNP	opgG	R187C(CGC_TGC)																		1	1	1																																																																																																																																																																																																																																					
NC_000913	1111899	SNP	opgH	D346G(GAT_GGT)								1																																																																																																																																																																																																																																																	
NC_000913	1112435	DEL	opgH	coding(1573-1577/2544nt)																																																																																																																														1																																																																																																																											
NC_000913	1113464	SNP	"opgH, yceK"	intergenic(+58/-115)																																																																																																																					1	1																																																																																																																																			
NC_000913	1114450	SNP	mdtG	R347R(CGT_CGC)	1																																																																																																																																																																																																																																																								
NC_000913	1115423	SNP	mdtG	C23Y(TGT_TAT)			1																																																																																																																																																																																																																																																						
NC_000913	1116797	SNP	"lpxL, yceA"	intergenic(-215/-10)			1			1	1																																																																																																																																																																																																																																																		
NC_000913	1119351	SNP	yceO	G33R(GGA_AGA)																										1	1	1																																																																																																																																																																																																																													
NC_000913	1122826	SNP	yceB	Q150*(CAA_TAA)																		1																																																																																																																																																																																																																																							
NC_000913	1124108	INS	"grxB, mdtH"	intergenic(-54/+10)																	1	1	1	1																																																																																																																																																																																																																																					
NC_000913	1124503	SNP	mdtH	H275R(CAC_CGC)							1																																																																																																																																																																																																																																																		
NC_000913	1124614	SNP	mdtH	V238A(GTG_GCG)				1																																																																																																																																																																																																																																																					
NC_000913	1125128	SNP	mdtH	G67S(GGT_AGT)	1																																																																																																																																																																																																																																																								
NC_000913	1125906	SNP	rimJ	W115*(TGG_TGA)												1	1																																																																																																																																																																																																																																												
NC_000913	1129249	SNP	murJ	L471L(TTG_CTG)						1	1																																																																																																																																																																																																																																																		
NC_000913	1129652	SNP	flgN	R60H(CGC_CAC)										1																																																																																																																																																																																																																																															
NC_000913	1132321	SNP	flgD	T156T(ACC_ACT)																1	1																																																																																																																																																																																				1	1	1																																																		
NC_000913	1133069	SNP	flgE	T166A(ACT_GCT)											1																																																																																																																																																																																																																																														
NC_000913	1133140	SNP	flgE	S189R(AGT_AGG)																																																			1																																																																																																																																																																																																						
NC_000913	1133235	SNP	flgE	I221S(ATT_AGT)																																																				1																																																																																																																																																																																																					
NC_000913	1133542	SNP	flgE	E323D(GAA_GAC)																																																																																																																					1																																																																																																																																				
NC_000913	1140385	SNP	flgL	R118H(CGT_CAT)													1																																																																																																																																																																																																																																												
NC_000913	1140553	SNP	flgL	H174R(CAC_CGC)										1	1																																																																																																																																																																																																																																														
NC_000913	1142200	SNP	rne	R723H(CGT_CAT)																		1	1	1																																																																																																																																																																																																																																					
NC_000913	1143323	SNP	rne	D349N(GAC_AAC)																																																																																																																																																														1																																																																																											
NC_000913	1145255	SNP	rluC	N106H(AAT_CAT)																																																				1																																																																																																																																																																																																					
NC_000913	1145762	SNP	rluC	T275A(ACG_GCG)						1																																																																																																																																																																																																																																																			
NC_000913	1147646	SNP	plsX	D9G(GAT_GGT)								1																																																																																																																																																																																																																																																	
NC_000913	1148553	SNP	plsX	R311R(CGA_CGG)												1	1																																																																																																																																																																																																																																												
NC_000913	1148579	SNP	plsX	A320V(GCA_GTA)				1																																																																																																																																																																																																																																																					
NC_000913	1148867	SNP	fabH	T37A(ACC_GCC)																										1	1	1																																																																																																																																																																																																																													
NC_000913	1151418	SNP	"fabG, acpP"	intergenic(+14/-197)																										1	1	1																																																																																																																																																																																																																													
NC_000913	1151492	INS	"fabG, acpP"	intergenic(+88/-123)																																																																																																																																																																																																							1																																																		
NC_000913	1151990	SNP	fabF	G18S(GGC_AGC)																																																																																																																																																																																																						1																																																			
NC_000913	1154782	SNP	yceG	E224G(GAA_GGA)	1	1	1	1	1	1	1																																																																																																																																																																																																																																																		
NC_000913	1157282	SNP	ycfH	D169A(GAT_GCT)																																																			1																																																																																																																																																																																																						
NC_000913	1158225	SNP	ptsG	L119L(CTC_CTT)				1	1																																																																																																																																																																																																																																																				
NC_000913	1163318	SNP	thiK	P20L(CCG_CTG)								1																																																																																																																																																																																																																																																	
NC_000913	1163578	SNP	thiK	A107T(GCA_ACA)																	1																																																																																																																																																																																																																																								
NC_000913	1165959	SNP	"ycfP, ndh"	intergenic(+274/-126)																1																																																																																																																																																																																																																																									
NC_000913	1168483	SNP	ycfQ	C117Y(TGC_TAC)																																																													1																																																																																																																																																																																												
NC_000913	1168895	SNP	"ycfQ, bhsA"	intergenic(-63/-178)																																																																																																																																																																																																								1	1	1																																															
NC_000913	1169759	SNP	ldtC	D206N(GAT_AAT)				1	1																																																																																																																																																																																																																																																				
NC_000913	1169838	SNP	ldtC	G179G(GGA_GGG)										1	1																																																																																																																																																																																																																																														
NC_000913	1172139	SNP	mfd	I609T(ATT_ACT)																	1																																																																																																																																																																																																																																								
NC_000913	1174596	SNP	ycfT	S190S(AGT_AGC)																										1	1	1																																																																																																																																																																																																																													
NC_000913	1184728	SNP	potA	K289N(AAA_AAC)																																																				1																																																																																																																																																																																																					
NC_000913	1187352	SNP	roxA	L297L(CTG_TTG)																																																																																																					1																																																																																																																																																				
NC_000913	1188512	SNP	phoQ	L422*(TTA_TGA)																																																																																																																					1	1																																																																																																																																			
NC_000913	1188526	SNP	phoQ	G417G(GGC_GGT)																1																																																																																																																																																																																																																																									
NC_000913	1192212	SNP	hflD	D140D(GAT_GAC)																			1																																																																																																																																																																																																																																						
NC_000913	1192714	SNP	mnmA	C354R(TGC_CGC)																										1	1	1																																																																																																																																																																																																																													
NC_000913	1194916	SNP	rluE	Q12H(CAA_CAC)																																																			1	1																																																																																																																																																																																																					
NC_000913	1196220	SNP	icd	H366H(CAC_CAT)																																																																																																																					1	1																																																																																																																																			
NC_000913	1196232	SNP	icd	T370T(ACC_ACT)																																																																																																																					1	1																																																																																																																																			
NC_000913	1196245	SNP	icd	L375L(TTA_CTA)																																																																																																																					1	1																																																																																																																																			
NC_000913	1196247	SNP	icd	L375L(TTA_TTG)																																																																																																																					1	1																																																																																																																																			
NC_000913	1196319	SNP	icd	G399G(GGC_GGA)																																																						1																																																																																																																																																																																																			
NC_000913	1196495	SNP	"icd, ymfD"	intergenic(+122/+372)										1																																																																																																																																																																																																																																															
NC_000913	1196616	SNP	"icd, ymfD"	intergenic(+243/+251)																																																			1																																																																																																																																																																																																						
NC_000913	1197576	SNP	ymfE	D221G(GAC_GGC)				1																																																																																																																																																																																																																																																					
NC_000913	1198201	SNP	ymfE	E13K(GAA_AAA)																																																																																																															1	1	1																																																																																																																																								
NC_000913	1198498	DEL	"ymfE, lit"	intergenic(-261/-190)																																																																																																																																																																																										1	1																																																														
NC_000913	1198505	INS	"ymfE, lit"	intergenic(-268/-190)																																																																																																								1																																																																																	1																																																																
NC_000913	1198749	SNP	lit	I19V(ATT_GTT)																		1																																																																																																																																																																																																																																							
NC_000913	1200772	SNP	intE	V12A(GTC_GCC)																																																																																																																																																																																																					1																																																				
NC_000913	1201206	SNP	"xisE, ymfI"	intergenic(-174/-291)					1																																																																																																																																																																																																																																																				
NC_000913	1201688	SNP	ymfI	T64T(ACA_ACC)																																																			1	1																																																																																																																																																																																																					
NC_000913	1202079	SNP	ymfJ	N2K(AAT_AAG)																																																			1																																																																																																																																																																																																						
NC_000913	1202387	SNP	cohE	T183A(ACA_GCA)			1																																																																																																																																																																																																																																																						
NC_000913	1203225	SNP	"croE, ymfL"	intergenic(+1/-43)			1			1	1																																																																																																																																																																																																																																																		
NC_000913	1203537	SNP	ymfL	D90D(GAC_GAT)																	1																																																																																																																																																																																																																																								
NC_000913	1205497	SNP	aaaE	pseudogene(1094/1134nt)				1	1																																																																																																																																																																																																																																																				
NC_000913	1211308	SNP	"mcrA, icdC"	intergenic(+129/-105)																																																																																																																																																																																																															1		1																																								
NC_000913	1212088	INS	"iraM, ycgX"	intergenic(-85/+615)																										1	1	1																																																																																																																																																																									1	1	1																																																		
NC_000913	1213552	SNP	bluR	W170R(TGG_CGG)																												1																																																																																																																																																																																																																													
NC_000913	1213848	SNP	bluR	E71A(GAA_GCA)																																																			1																																																																																																																																																																																																						
NC_000913	1214780	SNP	bluF	L232L(CTT_CTG)																																																				1																																																																																																																																																																																																					
NC_000913	1214838	SNP	bluF	E213G(GAA_GGA)																	1																																																																																																																																																																																																																																								
NC_000913	1216705	SNP	"ariR, ymgC"	intergenic(+70/-43)										1	1																																																																																																																																																																																																																																														
NC_000913	1217003	SNP	"ymgC, ycgG"	intergenic(+7/-325)																										1	1	1																																																																																																																																																																																																																													
NC_000913	1217327	SNP	"ymgC, ycgG"	intergenic(+331/-1)																																																			1																																																																																																																																																																																																						
NC_000913	1217877	SNP	ycgG	T184P(ACG_CCG)																																																			1																																																																																																																																																																																																						
NC_000913	1219569	SNP	"ymgF, ycgH"	intergenic(+368/-32)																																																																																																																1																																																																																																																																									
NC_000913	1221238	SNP	ycgH	pseudogene(1638/2574nt)																																																																																																																					1	1																																																																																																																																			
NC_000913	1225048	SNP	minD	V105A(GTT_GCT)																										1	1	1																																																																																																																																																																																																																													
NC_000913	1225326	SNP	minD	G12G(GGG_GGA)																	1																																																																																																																																																																																																																																								
NC_000913	1226817	SNP	ycgJ	Y73C(TAC_TGC)							1																																																																																																																																																																																																																																																		
NC_000913	1226899	SNP	ycgJ	G100G(GGT_GGC)					1																																																																																																																																																																																																																																																				
NC_000913	1226979	SNP	"ycgJ, pliG"	intergenic(+11/+92)			1																																																																																																																																																																																																																																																						
NC_000913	1228980	SNP	ycgN	R56C(CGC_TGC)								1																																																																																																																																																																																																																																																	
NC_000913	1230727	SNP	"hlyE, umuD"	intergenic(-333/-40)																													1	1		1																																																																																																																																																																																																																									
NC_000913	1232002	SNP	umuC	R273W(CGG_TGG)																										1	1	1																																																																																																																																																																																																																													
NC_000913	1232757	SNP	dsbB	T92A(ACC_GCC)																			1	1																																																																																																																																																																																																																																					
NC_000913	1233845	SNP	nhaB	R291R(CGT_CGC)								1																																																																																																																																																																																																																																																	
NC_000913	1234629	SNP	nhaB	I30T(ATC_ACC)							1																																																																																																																																																																																																																																																		
NC_000913	1236437	SNP	ycgB	S269G(AGC_GGC)																		1																																																																																																																																																																																																																																							
NC_000913	1237152	SNP	ycgB	A30A(GCA_GCG)																										1																																																																																																																																																																																																																															
NC_000913	1238031	SNP	dadA	I154T(ATC_ACC)																										1																																																																																																																																																																																																																															
NC_000913	1238213	SNP	dadA	G215R(GGG_CGG)																																																																																																															1																																																																																																																																										
NC_000913	1241779	SNP	cvrA	L98P(CTG_CCG)							1																																																																																																																																																																																																																																																		
NC_000913	1242307	SNP	ldcA	L258L(CTG_CTA)											1																																																																																																																																																																																																																																														
NC_000913	1243818	DEL	ycgR	coding(710/735nt)																												1																																																																																																																																																																																																																													
NC_000913	1245862	INS	treA	coding(1515/1698nt)											1																																																																																																																																																																																																																																														
NC_000913	1246015	SNP	treA	A454A(GCA_GCG)	1	1	1	1	1	1	1																																																																																																																																																																																																																																																		
NC_000913	1249386	SNP	dhaL	E124E(GAA_GAG)		1																																																																																																																																																																																																																																																							
NC_000913	1253248	SNP	ycgV	N902T(AAC_ACC)																																																			1	1																																																																																																																																																																																																					
NC_000913	1254563	SNP	ycgV	T464A(ACA_GCA)			1																																																																																																																																																																																																																																																						
NC_000913	1257682	SNP	ychF	V44A(GTA_GCA)																		1	1	1																																																																																																																																																																																																																																					
NC_000913	1258521	DEL	"pth, ychH"	intergenic(-8/-270)	1																																																																																																																																																																																																																																																								
NC_000913	1259033	SNP	ychH	K81K(AAA_AAG)													1																																																																																																																																																																																																																																												
NC_000913	1259406	SNP	dauA	G466G(GGC_GGT)																																																																																																																																																																																																					1	1	1																																																		
NC_000913	1260214	DEL	dauA	coding(590/1680nt)								1																																																																																																																																																																																																																																																	
NC_000913	1260849	SNP	"dauA, prs"	intergenic(-46/+79)																										1	1	1																																																																																																																																																																																																																													
NC_000913	1262619	SNP	ispE	G87R(GGA_AGA)												1	1																																																																																																																																																																																																																																												
NC_000913	1263618	SNP	"lolB, hemA"	intergenic(-118/-96)																																																			1																																																																																																																																																																																																						
NC_000913	1265009	SNP	"hemA, prfA"	intergenic(+39/-3)																																																																																																																																																											1	1		1																																																																																											
NC_000913	1265331	SNP	prfA	D107G(GAC_GGC)																										1	1	1																																																																																																																																																																																																																													
NC_000913	1265930	SNP	prfA	N307H(AAC_CAC)																																																			1	1																																																																																																																																																																																																					
NC_000913	1266451	SNP	prmC	T120A(ACC_GCC)																										1	1	1																																																																																																																																																																																																																													
NC_000913	1270311	SNP	ldrC	H12R(CAC_CGC)																	1																																																																																																																																																																																																																																								
NC_000913	1270861	SNP	chaA	V330A(GTG_GCG)																1																																																																																																																																																																																					1	1	1																																																		
NC_000913	1273196	SNP	chaC	F230F(TTC_TTT)													1																																																																																																																																																																																																																																												
NC_000913	1274435	SNP	ychO	T218A(ACA_GCA)																				1																																																																																																																																																																																																																																					
NC_000913	1277396	SNP	narX	K75Q(AAA_CAA)																																																			1																																																																																																																																																																																																						
NC_000913	1279364	SNP	"narK, narG"	intergenic(+16/-500)																		1																																																																																																																																																																																																																																							
NC_000913	1281664	SNP	narG	R601C(CGT_TGT)																	1																																																																																																																																																																																																																																								
NC_000913	1288215	SNP	purU	L137P(CTG_CCG)							1																																																																																																																																																																																																																																																		
NC_000913	1290753	SNP	rssB	C171Y(TGC_TAC)																	1																																																																																																																																																																																																																																								
NC_000913	1293015	MOB	"hns, tdk"	intergenic(-93/-505)																																																										1	1	1																																																																																																																																																																																													
NC_000913	1293038	MOB	"hns, tdk"	intergenic(-116/-481)																																																								1																																																																																																																																																																																																	
NC_000913	1293124	MOB	"hns, tdk"	intergenic(-202/-400)																																																																																																																																													1																																																																																																												
NC_000913	1293196	MOB	"hns, tdk"	intergenic(-274/-328)																																																																	1	1	1																																																																			1	1	1																																																																																																																	
NC_000913	1293196	MOB	"hns, tdk"	intergenic(-274/-328)																																																																																																																																																																																																			1																																																						
